teamA,teamB,date,tournament,teamA_win
Top Esports,Ninjas in Pyjamas,2024-03-27,LPL Spring 2024,1
Rare Atom,LNG Esports,2024-03-27,LPL Spring 2024,0
LGD Gaming,Royal Never Give Up,2024-03-26,LPL Spring 2024,1
Weibo Gaming,Invictus Gaming,2024-03-26,LPL Spring 2024,1
TT,Funplus Phoenix,2024-03-25,LPL Spring 2024,0
Team WE,Ultra Prime,2024-03-25,LPL Spring 2024,1
JD Gaming,Edward Gaming,2024-03-24,LPL Spring 2024,1
Top Esports,Anyone s Legend,2024-03-24,LPL Spring 2024,1
Rare Atom,LGD Gaming,2024-03-24,LPL Spring 2024,0
Bilibili Gaming,Ninjas in Pyjamas,2024-03-23,LPL Spring 2024,1
Team WE,LNG Esports,2024-03-23,LPL Spring 2024,0
OMG,Invictus Gaming,2024-03-23,LPL Spring 2024,1
JD Gaming,Weibo Gaming,2024-03-22,LPL Spring 2024,0
TT,Top Esports,2024-03-22,LPL Spring 2024,0
Funplus Phoenix,Royal Never Give Up,2024-03-22,LPL Spring 2024,0
Rare Atom,Ninjas in Pyjamas,2024-03-21,LPL Spring 2024,0
Ultra Prime,Edward Gaming,2024-03-21,LPL Spring 2024,0
OMG,Bilibili Gaming,2024-03-20,LPL Spring 2024,0
LNG Esports,Anyone s Legend,2024-03-20,LPL Spring 2024,1
Team WE,TT,2024-03-19,LPL Spring 2024,0
LGD Gaming,Weibo Gaming,2024-03-19,LPL Spring 2024,1
Royal Never Give Up,Ninjas in Pyjamas,2024-03-18,LPL Spring 2024,0
Invictus Gaming,JD Gaming,2024-03-18,LPL Spring 2024,0
Team WE,Top Esports,2024-03-17,LPL Spring 2024,0
Rare Atom,Funplus Phoenix,2024-03-17,LPL Spring 2024,0
Ultra Prime,OMG,2024-03-17,LPL Spring 2024,0
Bilibili Gaming,Weibo Gaming,2024-03-16,LPL Spring 2024,1
LNG Esports,Edward Gaming,2024-03-16,LPL Spring 2024,1
Anyone s Legend,JD Gaming,2024-03-16,LPL Spring 2024,0
Funplus Phoenix,Invictus Gaming,2024-03-15,LPL Spring 2024,1
Royal Never Give Up,OMG,2024-03-15,LPL Spring 2024,1
LGD Gaming,TT,2024-03-15,LPL Spring 2024,0
Top Esports,JD Gaming,2024-03-14,LPL Spring 2024,0
Rare Atom,Team WE,2024-03-14,LPL Spring 2024,1
Bilibili Gaming,Ultra Prime,2024-03-14,LPL Spring 2024,1
Weibo Gaming,Edward Gaming,2024-03-13,LPL Spring 2024,1
Royal Never Give Up,Anyone s Legend,2024-03-13,LPL Spring 2024,1
Invictus Gaming,LNG Esports,2024-03-12,LPL Spring 2024,0
Ninjas in Pyjamas,TT,2024-03-12,LPL Spring 2024,1
Funplus Phoenix,JD Gaming,2024-03-11,LPL Spring 2024,1
OMG,LGD Gaming,2024-03-11,LPL Spring 2024,1
Team WE,Weibo Gaming,2024-03-10,LPL Spring 2024,1
Ultra Prime,Top Esports,2024-03-10,LPL Spring 2024,0
Bilibili Gaming,Rare Atom,2024-03-10,LPL Spring 2024,1
JD Gaming,Royal Never Give Up,2024-03-09,LPL Spring 2024,1
TT,Edward Gaming,2024-03-09,LPL Spring 2024,1
Anyone s Legend,Invictus Gaming,2024-03-09,LPL Spring 2024,0
Top Esports,OMG,2024-03-08,LPL Spring 2024,1
Funplus Phoenix,Bilibili Gaming,2024-03-08,LPL Spring 2024,0
LGD Gaming,LNG Esports,2024-03-08,LPL Spring 2024,1
Weibo Gaming,Ninjas in Pyjamas,2024-03-07,LPL Spring 2024,1
JD Gaming,Ultra Prime,2024-03-07,LPL Spring 2024,1
Anyone s Legend,Rare Atom,2024-03-07,LPL Spring 2024,0
Royal Never Give Up,TT,2024-03-05,LPL Spring 2024,0
Edward Gaming,Invictus Gaming,2024-03-05,LPL Spring 2024,0
Team WE,Bilibili Gaming,2024-03-04,LPL Spring 2024,0
LGD Gaming,Top Esports,2024-03-04,LPL Spring 2024,0
OMG,JD Gaming,2024-03-03,LPL Spring 2024,0
Anyone s Legend,Ninjas in Pyjamas,2024-03-03,LPL Spring 2024,1
Weibo Gaming,Funplus Phoenix,2024-03-03,LPL Spring 2024,0
Edward Gaming,Rare Atom,2024-03-02,LPL Spring 2024,1
LNG Esports,Ultra Prime,2024-03-02,LPL Spring 2024,1
Team WE,Royal Never Give Up,2024-03-02,LPL Spring 2024,1
JD Gaming,TT,2024-03-01,LPL Spring 2024,1
Top Esports,Invictus Gaming,2024-03-01,LPL Spring 2024,1
LGD Gaming,Bilibili Gaming,2024-03-01,LPL Spring 2024,0
Weibo Gaming,Anyone s Legend,2024-02-29,LPL Spring 2024,0
Edward Gaming,OMG,2024-02-29,LPL Spring 2024,0
Funplus Phoenix,Ninjas in Pyjamas,2024-02-29,LPL Spring 2024,1
LNG Esports,Royal Never Give Up,2024-02-28,LPL Spring 2024,1
Ultra Prime,Rare Atom,2024-02-28,LPL Spring 2024,1
JD Gaming,Team WE,2024-02-27,LPL Spring 2024,1
Bilibili Gaming,TT,2024-02-27,LPL Spring 2024,1
Invictus Gaming,LGD Gaming,2024-02-26,LPL Spring 2024,1
Top Esports,Funplus Phoenix,2024-02-26,LPL Spring 2024,0
Ninjas in Pyjamas,LNG Esports,2024-02-25,LPL Spring 2024,1
Weibo Gaming,OMG,2024-02-25,LPL Spring 2024,0
Edward Gaming,Anyone s Legend,2024-02-25,LPL Spring 2024,1
JD Gaming,Bilibili Gaming,2024-02-24,LPL Spring 2024,0
Royal Never Give Up,Rare Atom,2024-02-24,LPL Spring 2024,0
TT,Ultra Prime,2024-02-24,LPL Spring 2024,1
LNG Esports,Top Esports,2024-02-23,LPL Spring 2024,0
Invictus Gaming,Team WE,2024-02-23,LPL Spring 2024,0
Funplus Phoenix,LGD Gaming,2024-02-23,LPL Spring 2024,1
Edward Gaming,Ninjas in Pyjamas,2024-02-22,LPL Spring 2024,0
Rare Atom,OMG,2024-02-22,LPL Spring 2024,0
TT,Anyone s Legend,2024-02-22,LPL Spring 2024,0
Royal Never Give Up,Top Esports,2024-02-21,LPL Spring 2024,0
Ultra Prime,Weibo Gaming,2024-02-21,LPL Spring 2024,0
Invictus Gaming,Bilibili Gaming,2024-02-20,LPL Spring 2024,1
Funplus Phoenix,LNG Esports,2024-02-20,LPL Spring 2024,1
Edward Gaming,Team WE,2024-02-19,LPL Spring 2024,0
JD Gaming,LGD Gaming,2024-02-19,LPL Spring 2024,1
TT,Rare Atom,2024-02-18,LPL Spring 2024,0
Anyone s Legend,OMG,2024-02-18,LPL Spring 2024,1
Ninjas in Pyjamas,Ultra Prime,2024-02-18,LPL Spring 2024,1
Weibo Gaming,Top Esports,2024-02-07,LPL Spring 2024,0
Invictus Gaming,Royal Never Give Up,2024-02-07,LPL Spring 2024,1
LNG Esports,Bilibili Gaming,2024-02-06,LPL Spring 2024,0
Edward Gaming,Funplus Phoenix,2024-02-06,LPL Spring 2024,0
Ultra Prime,Anyone s Legend,2024-02-05,LPL Spring 2024,0
Team WE,LGD Gaming,2024-02-05,LPL Spring 2024,1
Royal Never Give Up,Weibo Gaming,2024-02-04,LPL Spring 2024,0
JD Gaming,LNG Esports,2024-02-04,LPL Spring 2024,1
OMG,Ninjas in Pyjamas,2024-02-04,LPL Spring 2024,0
Bilibili Gaming,Edward Gaming,2024-02-03,LPL Spring 2024,1
Invictus Gaming,TT,2024-02-03,LPL Spring 2024,1
Top Esports,Rare Atom,2024-02-03,LPL Spring 2024,1
Anyone s Legend,LGD Gaming,2024-02-02,LPL Spring 2024,1
Ultra Prime,Funplus Phoenix,2024-02-02,LPL Spring 2024,1
Ninjas in Pyjamas,Team WE,2024-02-02,LPL Spring 2024,1
LNG Esports,Weibo Gaming,2024-02-01,LPL Spring 2024,1
TT,OMG,2024-02-01,LPL Spring 2024,0
Ninjas in Pyjamas,JD Gaming,2024-01-31,LPL Spring 2024,0
Rare Atom,Invictus Gaming,2024-01-31,LPL Spring 2024,0
LGD Gaming,Edward Gaming,2024-01-30,LPL Spring 2024,1
Royal Never Give Up,Ultra Prime,2024-01-30,LPL Spring 2024,1
Bilibili Gaming,Anyone s Legend,2024-01-29,LPL Spring 2024,1
Funplus Phoenix,Team WE,2024-01-29,LPL Spring 2024,0
OMG,LNG Esports,2024-01-28,LPL Spring 2024,0
Rare Atom,JD Gaming,2024-01-28,LPL Spring 2024,0
TT,Weibo Gaming,2024-01-28,LPL Spring 2024,0
Top Esports,Edward Gaming,2024-01-27,LPL Spring 2024,1
Ultra Prime,LGD Gaming,2024-01-27,LPL Spring 2024,0
Invictus Gaming,Ninjas in Pyjamas,2024-01-27,LPL Spring 2024,0
Bilibili Gaming,Royal Never Give Up,2024-01-26,LPL Spring 2024,1
OMG,Funplus Phoenix,2024-01-26,LPL Spring 2024,0
Anyone s Legend,Team WE,2024-01-26,LPL Spring 2024,0
LNG Esports,TT,2024-01-25,LPL Spring 2024,0
Weibo Gaming,Rare Atom,2024-01-25,LPL Spring 2024,1
Ultra Prime,Invictus Gaming,2024-01-24,LPL Spring 2024,0
Ninjas in Pyjamas,LGD Gaming,2024-01-24,LPL Spring 2024,1
Anyone s Legend,Funplus Phoenix,2024-01-23,LPL Spring 2024,1
OMG,Team WE,2024-01-23,LPL Spring 2024,1
Royal Never Give Up,Edward Gaming,2024-01-22,LPL Spring 2024,1
Bilibili Gaming,Top Esports,2024-01-22,LPL Spring 2024,1
Bilibili Gaming,Top Esports,2024-04-20,LPL Spring Playoffs 2024,1
Top Esports,JD Gaming,2024-04-14,LPL Spring Playoffs 2024,1
Bilibili Gaming,Top Esports,2024-04-11,LPL Spring Playoffs 2024,1
JD Gaming,Ninjas in Pyjamas,2024-04-10,LPL Spring Playoffs 2024,1
Top Esports,JD Gaming,2024-04-07,LPL Spring Playoffs 2024,1
Bilibili Gaming,Ninjas in Pyjamas,2024-04-06,LPL Spring Playoffs 2024,1
Weibo Gaming,JD Gaming,2024-04-05,LPL Spring Playoffs 2024,0
Ninjas in Pyjamas,Funplus Phoenix,2024-04-04,LPL Spring Playoffs 2024,1
LNG Esports,Weibo Gaming,2024-04-03,LPL Spring Playoffs 2024,0
Ninjas in Pyjamas,Team WE,2024-04-02,LPL Spring Playoffs 2024,1
Weibo Gaming,Invictus Gaming,2024-04-01,LPL Spring Playoffs 2024,1
OMG,Team WE,2024-03-31,LPL Spring Playoffs 2024,0
Invictus Gaming,Weibo Gaming,2024-06-29,LPL Summer Placements 2024,0
Ultra Prime,Ninjas in Pyjamas,2024-06-29,LPL Summer Placements 2024,0
JD Gaming,Edward Gaming,2024-06-28,LPL Summer Placements 2024,1
Funplus Phoenix,TT,2024-06-28,LPL Summer Placements 2024,1
LGD Gaming,Bilibili Gaming,2024-06-27,LPL Summer Placements 2024,1
Royal Never Give Up,Team WE,2024-06-27,LPL Summer Placements 2024,1
LNG Esports,OMG,2024-06-26,LPL Summer Placements 2024,1
Top Esports,Rare Atom,2024-06-26,LPL Summer Placements 2024,1
Weibo Gaming,Anyone s Legend,2024-06-25,LPL Summer Placements 2024,0
Invictus Gaming,Ultra Prime,2024-06-25,LPL Summer Placements 2024,1
JD Gaming,Funplus Phoenix,2024-06-24,LPL Summer Placements 2024,1
TT,Edward Gaming,2024-06-24,LPL Summer Placements 2024,1
Top Esports,LNG Esports,2024-06-23,LPL Summer Placements 2024,1
