league,date,Team,GP,W,L,AGT,K,D,KD,CKPM,GSPD,GD15,FB%,FT%,F3T%,PPG,HLD%,GRB%,FD%,DRG%,ELD%,FBN%,BN%,LNE%,JNG%,WPM,CWPM,WCPM,winrate%
LPL,2023-01-14,Anyone's Legend,2.0,0.0,2.0,35.75833333333333,27.0,47.0,0.574468085106383,1.1015704584643786,-0.13605855,,0.5,0.5,,,0.25,,0.5,0.36363636363636365,,,0.0,,0.4453266787658802,3.78545,1.159388202689116,1.2834203705431415,0.0
LPL,2023-01-16,Anyone's Legend,4.0,0.0,4.0,32.175,34.0,79.0,0.43037974683544306,0.8826316297584402,-0.161247525,,0.5,0.25,,,0.125,,0.25,0.2777777777777778,,,0.0,,0.4506234423430431,3.2777499999999997,1.1728312554785054,1.0777275351050617,0.0
LPL,2023-01-31,Anyone's Legend,7.0,1.0,6.0,31.68333333333333,57.0,110.0,0.5181818181818182,0.7614053911120535,-0.07736628971428572,,0.5714285714285714,0.42857142857142855,,,0.35714285714285715,,0.14285714285714285,0.3333333333333333,,,0.2,,0.4775594488454224,3.3080428571428575,1.192807622858085,1.427280110979062,0.14285714285714285
LPL,2023-02-03,Anyone's Legend,10.0,2.0,8.0,33.71,94.0,144.0,0.6527777777777778,0.7135390767416849,-0.0593705908,,0.6,0.4,,,0.4,,0.1,0.391304347826087,,,0.25,,0.48333542450588995,3.3215899999999996,1.2461853813988841,1.5335492163614142,0.2
LPL,2023-02-06,Anyone's Legend,12.0,2.0,10.0,31.762500000000003,96.0,169.0,0.5680473372781065,0.6982119957261967,-0.09324599233333335,,0.5,0.3333333333333333,,,0.3333333333333333,,0.08333333333333333,0.37254901960784315,,,0.23529411764705882,,0.4684004104983643,3.158675,1.2101182111122812,1.4476182030544846,0.16666666666666666
LPL,2023-02-10,Anyone's Legend,15.0,3.0,12.0,31.256666666666668,127.0,202.0,0.6287128712871287,0.7038921144046973,-0.0847941672,,0.4666666666666667,0.4666666666666667,,,0.3,,0.2,0.4126984126984127,,,0.25,,0.47458879638513696,3.3058466666666666,1.1966457990653627,1.3990662044438258,0.2
LPL,2023-02-15,Anyone's Legend,18.0,4.0,14.0,31.610185185185188,155.0,246.0,0.6300813008130082,0.7034967570062356,-0.09847547822222223,,0.5555555555555556,0.4444444444444444,,,0.3333333333333333,,0.2222222222222222,0.37662337662337664,,,0.25,,0.46108195341524183,3.2007999999999996,1.1682852850592809,1.384688026988289,0.2222222222222222
LPL,2023-02-19,Anyone's Legend,21.0,6.0,15.0,31.712698412698415,194.0,279.0,0.6953405017921147,0.7100561573565647,-0.09372429085714287,,0.5714285714285714,0.42857142857142855,,,0.30952380952380953,,0.23809523809523808,0.4111111111111111,,,0.27586206896551724,,0.46703069563219096,3.2131142857142856,1.1664071427967184,1.403697481886172,0.2857142857142857
LPL,2023-02-24,Anyone's Legend,24.0,7.0,17.0,31.88611111111111,221.0,316.0,0.6993670886075949,0.7063145633132227,-0.08931143783333333,,0.5416666666666666,0.4166666666666667,,,0.3125,,0.25,0.41346153846153844,,,0.2647058823529412,,0.46495758032103146,2.811475,1.170530055875654,1.3966840899260025,0.2916666666666667
LPL,2023-02-28,Anyone's Legend,27.0,9.0,18.0,31.98765432098765,265.0,347.0,0.7636887608069164,0.7118950970876085,-0.07204092992592592,,0.5925925925925926,0.4074074074074074,,,0.37037037037037035,,0.25925925925925924,0.4117647058823529,,,0.32432432432432434,,0.4725091706595675,2.499088888888889,1.203785550946048,1.3637971996799199,0.3333333333333333
