league,date,Team,GP,W,L,AGT,K,D,KD,CKPM,GSPD,GD15,FB%,FT%,F3T%,PPG,HLD%,GRB%,FD%,DRG%,ELD%,FBN%,BN%,LNE%,JNG%,WPM,CWPM,WCPM,winrate%
LEC,2024-01-13,Fnatic,1.0,1.0,0.0,39.5,20.0,9.0,2.2222222222222223,0.7341772151898734,0.103077,461.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,0.6666666666666666,,0.0,0.6666666666666666,0.5088729016786571,0.5195530726256983,3.3924,0.9113924050632911,1.6708860759493671,1.0
LEC,2024-01-14,Fnatic,2.0,2.0,0.0,34.59166666666667,32.0,14.0,2.2857142857142856,0.6534445873815735,0.15221200000000001,2117.0,1.0,0.5,0.5,4.5,1.0,0.75,0.0,0.6,,0.5,0.75,0.5134585695820526,0.538273945639274,3.22905,1.028408162104919,1.5092218139432405,1.0
LEC,2024-01-15,Fnatic,3.0,2.0,1.0,33.644444444444446,37.0,30.0,1.2333333333333334,0.656102165865931,0.11226610000000002,929.3333333333334,0.6666666666666666,0.3333333333333333,0.3333333333333333,5.333333333333333,0.6666666666666666,0.5,0.0,0.4666666666666667,,0.3333333333333333,0.6,0.5149604036734642,0.5560930524761396,3.1605666666666665,1.0110647589885813,1.6045730728125538,0.6666666666666666
LEC,2024-01-20,Fnatic,4.0,2.0,2.0,32.22083333333333,45.0,50.0,0.9,0.7425238515908614,0.056143575000000015,799.25,0.75,0.25,0.5,4.75,0.5,0.375,0.0,0.4444444444444444,,0.25,0.5,0.508340118423301,0.5515768316106258,3.1307,1.0266348840893786,1.5164888385986819,0.5
LEC,2024-01-21,Fnatic,5.0,3.0,2.0,31.956666666666667,60.0,56.0,1.0714285714285714,0.7299414113697765,0.07374886,986.6,0.8,0.4,0.6,4.8,0.6,0.4,0.2,0.5217391304347826,,0.2,0.375,0.507208575425336,0.5659673476414417,3.11944,1.0219551564624414,1.4915082229825054,0.6
LEC,2024-01-22,Fnatic,6.0,4.0,2.0,31.319444444444443,70.0,59.0,1.1864406779661016,0.6852987274842924,0.08805621666666667,1008.0,0.6666666666666666,0.5,0.6666666666666666,5.0,0.6666666666666666,0.5,0.16666666666666666,0.48148148148148145,,0.3333333333333333,0.4444444444444444,0.5082902512106111,0.5639690018224136,3.263033333333334,1.0115819036871054,1.5746770736544573,0.6666666666666666
LEC,2024-01-27,Fnatic,7.0,4.0,3.0,32.48095238095238,87.0,82.0,1.0609756097560976,0.7322477233225857,0.06812554285714285,824.7142857142857,0.5714285714285714,0.42857142857142855,0.5714285714285714,4.857142857142857,0.5714285714285714,0.4523809523809524,0.2857142857142857,0.48484848484848486,,0.2857142857142857,0.3333333333333333,0.5062008539447697,0.5652144622291551,3.293,1.0626161021283285,1.6213147323339128,0.5714285714285714
LEC,2024-01-28,Fnatic,8.0,4.0,4.0,33.37916666666666,108.0,111.0,0.972972972972973,0.7982797831173465,0.04813732500000001,374.125,0.5,0.375,0.625,4.375,0.5,0.4888888888888889,0.25,0.4358974358974359,0.0,0.25,0.3076923076923077,0.5041881234392973,0.5563215477311431,3.30365,1.0810495935639681,1.6549949286073002,0.5
LEC,2024-01-29,Fnatic,9.0,5.0,4.0,33.237037037037034,132.0,118.0,1.11864406779661,0.8168855946851319,0.06193895555555557,696.3333333333334,0.5555555555555556,0.3333333333333333,0.6666666666666666,4.444444444444445,0.5555555555555556,0.4791666666666667,0.3333333333333333,0.45454545454545453,0.0,0.3333333333333333,0.35714285714285715,0.5033647733962796,0.5637921070928098,3.3381000000000003,1.0647751319737868,1.6545610857263922,0.5555555555555556
LEC,2024-02-04,Fnatic,2.0,2.0,0.0,37.80833333333334,32.0,22.0,1.4545454545454546,0.7665197680814877,0.0468265,1885.5,1.0,1.0,1.0,7.0,0.5,0.3333333333333333,1.0,0.7272727272727273,0.6666666666666666,0.5,0.5,0.5059630104629171,0.5514119633949963,4.43735,1.0833654739850405,1.8194032587459457,1.0
LEC,2024-02-05,Fnatic,5.0,3.0,2.0,33.730000000000004,62.0,73.0,0.8493150684931506,0.8306716083791157,0.007796699999999997,1091.6,0.8,0.8,0.6,6.0,0.4,0.3181818181818182,1.0,0.5833333333333334,0.6666666666666666,0.4,0.5714285714285714,0.5027988533071961,0.5303017221811187,3.6696,1.0762820336742396,1.684469188514851,0.6
LEC,2024-02-12,Fnatic,8.0,5.0,3.0,33.93541666666667,115.0,136.0,0.8455882352941176,0.931346955476609,-0.0012874375000000021,737.375,0.625,0.875,0.375,5.75,0.375,0.3783783783783784,1.0,0.675,0.5,0.375,0.5384615384615384,0.5087271787704193,0.5348559778065352,3.7287625,1.0547832721943584,1.859530164014941,0.625
