tournament    vs  teamA   scoreA  scoreB  teamB   round   patch   date
LCK 2025 Rounds 3-5  DRX vs OK BRION	DRX	1   2	OK BRION	WEEK15	15.16	2025-08-31
LCK 2025 Rounds 3-5  NS vs KT Rolster	Nongshim RedForce	0   2	KT Rolster	WEEK15	15.16	2025-08-31
LCK 2025 Rounds 3-5  DN Freecs vs Dplus KIA	DN Freecs	1   2	Dplus KIA	WEEK15	15.16	2025-08-30
LCK 2025 Rounds 3-5  T1 vs GEN	T1	1   2	Gen.G eSports	WEEK15	15.16	2025-08-30
LCK 2025 Rounds 3-5  HLE vs NS	Hanwha Life eSports	2   0	Nongshim RedForce	WEEK15	15.16	2025-08-29
LCK 2025 Rounds 3-5  BNK FearX vs DRX	BNK FearX	2   1	DRX	WEEK15	15.16	2025-08-29
LCK 2025 Rounds 3-5  GEN vs KT Rolster	Gen.G eSports	2   0	KT Rolster	WEEK15	15.16	2025-08-28
LCK 2025 Rounds 3-5  Dplus KIA vs OK BRION	Dplus KIA	2   0	OK BRION	WEEK15	15.16	2025-08-28
LCK 2025 Rounds 3-5  DN Freecs vs BNK FearX	DN Freecs	0   2	BNK FearX	WEEK15	15.16	2025-08-27
LCK 2025 Rounds 3-5  T1 vs HLE	T1	2   1	Hanwha Life eSports	WEEK15	15.16	2025-08-27
LCK 2025 Rounds 3-5  KT Rolster vs T1	KT Rolster	2   0	T1	WEEK14	15.16	2025-08-24
LCK 2025 Rounds 3-5  BNK FearX vs Dplus KIA	BNK FearX	0   2	Dplus KIA	WEEK14	15.16	2025-08-24
LCK 2025 Rounds 3-5  OK BRION vs DN Freecs	OK BRION	1   2	DN Freecs	WEEK14	15.16	2025-08-23
LCK 2025 Rounds 3-5  HLE vs GEN	Hanwha Life eSports	1   2	Gen.G eSports	WEEK14	15.16	2025-08-23
LCK 2025 Rounds 3-5  Dplus KIA vs DRX	Dplus KIA	2   1	DRX	WEEK14	15.16	2025-08-22
LCK 2025 Rounds 3-5  NS vs T1	Nongshim RedForce	1   2	T1	WEEK14	15.16	2025-08-22
LCK 2025 Rounds 3-5  OK BRION vs BNK FearX	OK BRION	1   2	BNK FearX	WEEK14	15.16	2025-08-21
LCK 2025 Rounds 3-5  KT Rolster vs HLE	KT Rolster	1   2	Hanwha Life eSports	WEEK14	15.16	2025-08-21
LCK 2025 Rounds 3-5  GEN vs NS	Gen.G eSports	2   0	Nongshim RedForce	WEEK14	15.16	2025-08-20
LCK 2025 Rounds 3-5  DRX vs DN Freecs	DRX	2   0	DN Freecs	WEEK14	15.16	2025-08-20
LCK 2025 Rounds 3-5  OK BRION vs Dplus KIA	OK BRION	2   0	Dplus KIA	WEEK13	15.15	2025-08-17
LCK 2025 Rounds 3-5  HLE vs GEN	Hanwha Life eSports	1   2	Gen.G eSports	WEEK13	15.15	2025-08-17
LCK 2025 Rounds 3-5  DRX vs BNK FearX	DRX	2   1	BNK FearX	WEEK13	15.15	2025-08-16
LCK 2025 Rounds 3-5  NS vs KT Rolster	Nongshim RedForce	1   2	KT Rolster	WEEK13	15.15	2025-08-16
LCK 2025 Rounds 3-5  HLE vs T1	Hanwha Life eSports	0   2	T1	WEEK13	15.15	2025-08-15
LCK 2025 Rounds 3-5  OK BRION vs DN Freecs	OK BRION	1   2	DN Freecs	WEEK13	15.15	2025-08-15
LCK 2025 Rounds 3-5  Dplus KIA vs DRX	Dplus KIA	2   0	DRX	WEEK13	15.15	2025-08-14
LCK 2025 Rounds 3-5  GEN vs NS	Gen.G eSports	2   0	Nongshim RedForce	WEEK13	15.15	2025-08-14
LCK 2025 Rounds 3-5  BNK FearX vs DN Freecs	BNK FearX	2   1	DN Freecs	WEEK13	15.15	2025-08-13
LCK 2025 Rounds 3-5  T1 vs KT Rolster	T1	2   0	KT Rolster	WEEK13	15.15	2025-08-13
LCK 2025 Rounds 3-5  DN Freecs vs Dplus KIA	DN Freecs	0   2	Dplus KIA	WEEK12	15.15	2025-08-10
LCK 2025 Rounds 3-5  KT Rolster vs GEN	KT Rolster	0   2	Gen.G eSports	WEEK12	15.15	2025-08-10
LCK 2025 Rounds 3-5  NS vs T1	Nongshim RedForce	0   2	T1	WEEK12	15.15	2025-08-09
LCK 2025 Rounds 3-5  DRX vs OK BRION	DRX	1   2	OK BRION	WEEK12	15.15	2025-08-09
LCK 2025 Rounds 3-5  KT Rolster vs HLE	KT Rolster	0   2	Hanwha Life eSports	WEEK12	15.15	2025-08-08
LCK 2025 Rounds 3-5  BNK FearX vs Dplus KIA	BNK FearX	2   0	Dplus KIA	WEEK12	15.15	2025-08-08
LCK 2025 Rounds 3-5  GEN vs T1	Gen.G eSports	2   1	T1	WEEK12	15.15	2025-08-07
LCK 2025 Rounds 3-5  DRX vs DN Freecs	DRX	1   2	DN Freecs	WEEK12	15.15	2025-08-07
LCK 2025 Rounds 3-5  OK BRION vs BNK FearX	OK BRION	0   2	BNK FearX	WEEK12	15.15	2025-08-06
LCK 2025 Rounds 3-5  HLE vs NS	Hanwha Life eSports	2   0	Nongshim RedForce	WEEK12	15.15	2025-08-06
LCK 2025 Rounds 3-5  NS vs GEN	Nongshim RedForce	0   2	Gen.G eSports	WEEK11	15.14	2025-08-03
LCK 2025 Rounds 3-5  DN Freecs vs OK BRION	DN Freecs	0   2	OK BRION	WEEK11	15.14	2025-08-03
LCK 2025 Rounds 3-5  BNK FearX vs DRX	BNK FearX	1   2	DRX	WEEK11	15.14	2025-08-02
LCK 2025 Rounds 3-5  T1 vs HLE	T1	2   0	Hanwha Life eSports	WEEK11	15.14	2025-08-02
LCK 2025 Rounds 3-5  Dplus KIA vs DN Freecs	Dplus KIA	2   0	DN Freecs	WEEK11	15.14	2025-08-01
LCK 2025 Rounds 3-5  GEN vs KT Rolster	Gen.G eSports	2   0	KT Rolster	WEEK11	15.14	2025-08-01
LCK 2025 Rounds 3-5  NS vs HLE	Nongshim RedForce	0   2	Hanwha Life eSports	WEEK11	15.14	2025-07-31
LCK 2025 Rounds 3-5  BNK FearX vs OK BRION	BNK FearX	2   0	OK BRION	WEEK11	15.14	2025-07-31
LCK 2025 Rounds 3-5  KT Rolster vs T1	KT Rolster	0   2	T1	WEEK11	15.14	2025-07-30
LCK 2025 Rounds 3-5  DRX vs Dplus KIA	DRX	1   2	Dplus KIA	WEEK11	15.14	2025-07-30
LCK 2025 Rounds 3-5  T1 vs NS	T1	2   0	Nongshim RedForce	WEEK10	15.14	2025-07-27
LCK 2025 Rounds 3-5  DN Freecs vs DRX	DN Freecs	1   2	DRX	WEEK10	15.14	2025-07-27
LCK 2025 Rounds 3-5  HLE vs KT Rolster	Hanwha Life eSports	2   0	KT Rolster	WEEK10	15.14	2025-07-26
LCK 2025 Rounds 3-5  Dplus KIA vs BNK FearX	Dplus KIA	2   0	BNK FearX	WEEK10	15.14	2025-07-26
LCK 2025 Rounds 3-5  OK BRION vs DRX	OK BRION	2   1	DRX	WEEK10	15.14	2025-07-25
LCK 2025 Rounds 3-5  T1 vs GEN	T1	2   1	Gen.G eSports	WEEK10	15.14	2025-07-25
LCK 2025 Rounds 3-5  KT Rolster vs NS	KT Rolster	2   0	Nongshim RedForce	WEEK10	15.14	2025-07-24
LCK 2025 Rounds 3-5  DN Freecs vs BNK FearX	DN Freecs	0   2	BNK FearX	WEEK10	15.14	2025-07-24
LCK 2025 Rounds 3-5  GEN vs HLE	Gen.G eSports	2   0	Hanwha Life eSports	WEEK10	15.14	2025-07-23
LCK 2025 Rounds 3-5  Dplus KIA vs OK BRION	Dplus KIA	1   2	OK BRION	WEEK10	15.14	2025-07-23
LCK 2025 Road to MSI    HLE vs T1	Hanwha Life eSports	0   3	T1	ROUND4	15.11	2025-06-15
LCK 2025 Road to MSI    T1 vs KT Rolster	T1	3   1	KT Rolster	ROUND3	15.11	2025-06-14
LCK 2025 Road to MSI    GEN vs HLE	Gen.G eSports	3   2	Hanwha Life eSports	ROUND3	15.11	2025-06-13
LCK 2025 Road to MSI    NS vs KT Rolster	Nongshim RedForce	0   3	KT Rolster	ROUND2	15.11	2025-06-08
LCK 2025 Road to MSI    KT Rolster vs Dplus KIA	KT Rolster	3   0	Dplus KIA	ROUND1	15.11	2025-06-07
LCK 2025 Rounds 1-2   Dplus KIA vs KT Rolster	Dplus KIA	1   2	KT Rolster	TIEBREAKERS	15.10	2025-06-04
LCK 2025 Rounds 1-2   Dplus KIA vs NS	Dplus KIA	2   1	Nongshim RedForce	WEEK9	15.10	2025-06-01
LCK 2025 Rounds 1-2   HLE vs BNK FearX	Hanwha Life eSports	2   0	BNK FearX	WEEK9	15.10	2025-06-01
LCK 2025 Rounds 1-2   OK BRION vs GEN	OK BRION	0   2	Gen.G eSports	WEEK9	15.10	2025-05-31
LCK 2025 Rounds 1-2   KT Rolster vs DRX	KT Rolster	2   0	DRX	WEEK9	15.10	2025-05-31
LCK 2025 Rounds 1-2   Dplus KIA vs DN Freecs	Dplus KIA	2   1	DN Freecs	WEEK9	15.10	2025-05-30
LCK 2025 Rounds 1-2   NS vs T1	Nongshim RedForce	2   0	T1	WEEK9	15.10	2025-05-30
LCK 2025 Rounds 1-2   KT Rolster vs GEN	KT Rolster	1   2	Gen.G eSports	WEEK9	15.10	2025-05-29
LCK 2025 Rounds 1-2   DRX vs OK BRION	DRX	2   1	OK BRION	WEEK9	15.10	2025-05-29
LCK 2025 Rounds 1-2   T1 vs HLE	T1	0   2	Hanwha Life eSports	WEEK9	15.10	2025-05-28
LCK 2025 Rounds 1-2   BNK FearX vs DN Freecs	BNK FearX	2   1	DN Freecs	WEEK9	15.10	2025-05-28
LCK 2025 Rounds 1-2   BNK FearX vs KT Rolster	BNK FearX	1   2	KT Rolster	WEEK8	15.10	2025-05-25
LCK 2025 Rounds 1-2   OK BRION vs NS	OK BRION	1   2	Nongshim RedForce	WEEK8	15.10	2025-05-25
LCK 2025 Rounds 1-2   DN Freecs vs T1	DN Freecs	0   2	T1	WEEK8	15.10	2025-05-24
LCK 2025 Rounds 1-2   HLE vs Dplus KIA	Hanwha Life eSports	1   2	Dplus KIA	WEEK8	15.10	2025-05-24
LCK 2025 Rounds 1-2   NS vs KT Rolster	Nongshim RedForce	1   2	KT Rolster	WEEK8	15.10	2025-05-23
LCK 2025 Rounds 1-2   GEN vs DRX	Gen.G eSports	2   0	DRX	WEEK8	15.10	2025-05-23
LCK 2025 Rounds 1-2   T1 vs BNK FearX	T1	2   0	BNK FearX	WEEK8	15.10	2025-05-22
LCK 2025 Rounds 1-2   OK BRION vs Dplus KIA	OK BRION	2   0	Dplus KIA	WEEK8	15.10	2025-05-22
LCK 2025 Rounds 1-2   DN Freecs vs DRX	DN Freecs	0   2	DRX	WEEK8	15.10	2025-05-21
LCK 2025 Rounds 1-2   GEN vs HLE	Gen.G eSports	2   1	Hanwha Life eSports	WEEK8	15.10	2025-05-21
LCK 2025 Rounds 1-2   GEN vs T1	Gen.G eSports	2   0	T1	WEEK7	15.9	2025-05-18
LCK 2025 Rounds 1-2   HLE vs DN Freecs	Hanwha Life eSports	2   0	DN Freecs	WEEK7	15.9	2025-05-18
LCK 2025 Rounds 1-2   KT Rolster vs OK BRION	KT Rolster	2   1	OK BRION	WEEK7	15.9	2025-05-17
LCK 2025 Rounds 1-2   DRX vs NS	DRX	1   2	Nongshim RedForce	WEEK7	15.9	2025-05-17
LCK 2025 Rounds 1-2   DN Freecs vs GEN	DN Freecs	0   2	Gen.G eSports	WEEK7	15.9	2025-05-16
LCK 2025 Rounds 1-2   Dplus KIA vs BNK FearX	Dplus KIA	2   0	BNK FearX	WEEK7	15.9	2025-05-16
LCK 2025 Rounds 1-2   T1 vs OK BRION	T1	2   1	OK BRION	WEEK7	15.9	2025-05-15
