tournament    vs  teamA   scoreA  scoreB  teamB   round   patch   date
LCP 2025 Season Finals  GAM Esports vs TSW	GAM Esports	2   0	Team Secret Whales	WEEK5	15.16	2025-08-24
LCP 2025 Season Finals  DFM vs SHG	DetonatioN FocusMe	2   0	Fukuoka SoftBank HAWKS gaming	WEEK5	15.16	2025-08-24
LCP 2025 Season Finals  MVKE vs TSW	Team Secret Whales	2   1	MGN Vikings Esports	WEEK5	15.16	2025-08-23
LCP 2025 Season Finals  CHF vs SHG	Fukuoka SoftBank HAWKS gaming	2   1	Chiefs Esports Club	WEEK5	15.16	2025-08-23
LCP 2025 Season Finals  CFO vs GAM Esports	CTBC Flying Oyster	2   0	GAM Esports	WEEK5	15.16	2025-08-22
LCP 2025 Season Finals  PSG Talon vs DFM	PSG Talon	2   0	DetonatioN FocusMe	WEEK5	15.16	2025-08-22
LCP 2025 Season Finals  SHG vs DFM	Fukuoka SoftBank HAWKS gaming	1   2	DetonatioN FocusMe	WEEK4	15.16	2025-08-17
LCP 2025 Season Finals  PSG Talon vs CHF	PSG Talon	2   0	Chiefs Esports Club	WEEK4	15.16	2025-08-17
LCP 2025 Season Finals  TSW vs GAM Esports	Team Secret Whales	0   2	GAM Esports	WEEK4	15.16	2025-08-16
LCP 2025 Season Finals  CFO vs MVKE	CTBC Flying Oyster	2   1	MGN Vikings Esports	WEEK4	15.16	2025-08-16
LCP 2025 Season Finals  PSG Talon vs MVKE	PSG Talon	0   2	MGN Vikings Esports	WEEK4	15.16	2025-08-15
LCP 2025 Season Finals  GAM Esports vs SHG	GAM Esports	2   0	Fukuoka SoftBank HAWKS gaming	WEEK4	15.16	2025-08-15
LCP 2025 Season Finals  CFO vs TSW	Team Secret Whales	0   2	CTBC Flying Oyster	WEEK3	15.15	2025-08-10
LCP 2025 Season Finals  SHG vs DFM	DetonatioN FocusMe	1   2	Fukuoka SoftBank HAWKS gaming	WEEK3	15.15	2025-08-10
LCP 2025 Season Finals  PSG Talon vs GAM Esports	PSG Talon	0   2	GAM Esports	WEEK3	15.15	2025-08-09
LCP 2025 Season Finals  MVKE vs CHF	Chiefs Esports Club	1   2	MGN Vikings Esports	WEEK3	15.15	2025-08-09
LCP 2025 Season Finals  GAM Esports vs TSW	Team Secret Whales	2   0	GAM Esports	WEEK2	15.15	2025-08-03
LCP 2025 Season Finals  SHG vs MVKE	MGN Vikings Esports	2   0	Fukuoka SoftBank HAWKS gaming	WEEK2	15.15	2025-08-03
LCP 2025 Season Finals  CFO vs PSG Talon	PSG Talon	0   2	CTBC Flying Oyster	WEEK2	15.15	2025-08-02
LCP 2025 Season Finals  DFM vs CHF	DetonatioN FocusMe	2   1	Chiefs Esports Club	WEEK2	15.15	2025-08-02
LCP 2025 Season Finals  GAM Esports vs CFO	GAM Esports	1   2	CTBC Flying Oyster	WEEK1	15.14	2025-07-27
LCP 2025 Season Finals  CHF vs SHG	Fukuoka SoftBank HAWKS gaming	2   1	Chiefs Esports Club	WEEK1	15.14	2025-07-27
LCP 2025 Season Finals  TSW vs TALON	PSG Talon	0   2	Team Secret Whales	WEEK1	15.14	2025-07-26
LCP 2025 Season Finals  MVKE vs DFM	MGN Vikings Esports	2   0	DetonatioN FocusMe	WEEK1	15.14	2025-07-26
LCP 2025 Mid Season Qualifying Series   CFO vs GAM Esports	CTBC Flying Oyster	3   2	GAM Esports	FINALS	15.10	2025-06-08
LCP 2025 Mid Season Qualifying Series   TALON vs GAM Esports	PSG Talon	1   3	GAM Esports	ROUND3	15.10	2025-06-07
LCP 2025 Mid Season Qualifying Series   GAM Esports vs TSW	GAM Esports	3   1	Team Secret Whales	ROUND2	15.10	2025-06-06
LCP 2025 Mid Season Qualifying Series   CFO vs TALON	CTBC Flying Oyster	3   2	PSG Talon	ROUND3	15.10	2025-06-01
LCP 2025 Mid Season Qualifying Series   TSW vs TALON	Team Secret Whales	0   2	PSG Talon	ROUND2	15.10	2025-05-31
LCP 2025 Mid Season Qualifying Series   CFO vs GAM Esports	CTBC Flying Oyster	2   1	GAM Esports	ROUND2	15.10	2025-05-31
LCP 2025 Mid Season Qualifying Series   GAM Esports vs MVKE	GAM Esports	2   1	MGN Vikings Esports	ROUND1	15.10	2025-05-30
LCP 2025 Mid Season Qualifying Series   TALON vs SHG	PSG Talon	2   0	Fukuoka SoftBank HAWKS gaming	ROUND1	15.10	2025-05-30
LCP 2025 Mid Season   CFO vs TSW	CTBC Flying Oyster	2   1	Team Secret Whales	WEEK6	15.10	2025-05-25
LCP 2025 Mid Season   SHG vs CHF	Fukuoka SoftBank HAWKS gaming	2   1	Chiefs Esports Club	WEEK6	15.10	2025-05-25
LCP 2025 Mid Season   TALON vs MVKE	MGN Vikings Esports	1   2	PSG Talon	WEEK6	15.10	2025-05-24
LCP 2025 Mid Season   GAM Esports vs DFM	GAM Esports	2   0	DetonatioN FocusMe	WEEK6	15.10	2025-05-24
LCP 2025 Mid Season   SHG vs CFO	CTBC Flying Oyster	2   0	Fukuoka SoftBank HAWKS gaming	WEEK6	15.10	2025-05-23
LCP 2025 Mid Season   TSW vs CHF	Chiefs Esports Club	1   2	Team Secret Whales	WEEK6	15.10	2025-05-23
LCP 2025 Mid Season   TALON vs GAM Esports	GAM Esports	1   2	PSG Talon	WEEK5	15.10	2025-05-18
LCP 2025 Mid Season   MVKE vs DFM	MGN Vikings Esports	2   0	DetonatioN FocusMe	WEEK5	15.10	2025-05-18
LCP 2025 Mid Season   CHF vs CFO	CTBC Flying Oyster	2   0	Chiefs Esports Club	WEEK5	15.10	2025-05-17
LCP 2025 Mid Season   SHG vs TSW	Team Secret Whales	2   0	Fukuoka SoftBank HAWKS gaming	WEEK5	15.10	2025-05-17
