tournament    vs  teamA   scoreA  scoreB  teamB   round   patch   date
LEC 2025 Summer Season  NAVI vs GIANTX	Natus Vincere	0   2	GIANTX	WEEK4	15.16	2025-08-26
LEC 2025 Summer Season  VIT vs MKOI	Team Vitality	0   2	Movistar KOI	WEEK4	15.16	2025-08-26
LEC 2025 Summer Season  Team BDS vs TH	Team BDS	1   2	Team Heretics	WEEK4	15.16	2025-08-25
LEC 2025 Summer Season  SK Gaming vs G2 Esports	SK Gaming	0   2	G2 Esports	WEEK4	15.16	2025-08-25
LEC 2025 Summer Season  G2 Esports vs Team BDS	G2 Esports	2   0	Team BDS	WEEK3	15.16	2025-08-18
LEC 2025 Summer Season  KC vs VIT	Karmine Corp	1   2	Team Vitality	WEEK3	15.16	2025-08-18
LEC 2025 Summer Season  Fnatic vs G2 Esports	Fnatic	0   2	G2 Esports	WEEK3	15.16	2025-08-17
LEC 2025 Summer Season  VIT vs NAVI	Team Vitality	2   0	Natus Vincere	WEEK3	15.16	2025-08-17
LEC 2025 Summer Season  TH vs SK Gaming	Team Heretics	1   2	SK Gaming	WEEK3	15.16	2025-08-16
LEC 2025 Summer Season  MKOI vs NAVI	Movistar KOI	2   0	Natus Vincere	WEEK3	15.16	2025-08-16
LEC 2025 Summer Season  KC vs MKOI	Karmine Corp	2   1	Movistar KOI	WEEK2	15.15	2025-08-10
LEC 2025 Summer Season  Fnatic vs Team BDS	Fnatic	2   0	Team BDS	WEEK2	15.15	2025-08-10
LEC 2025 Summer Season  MKOI vs GIANTX	Movistar KOI	2   1	GIANTX	WEEK2	15.15	2025-08-09
LEC 2025 Summer Season  G2 Esports vs TH	G2 Esports	2   0	Team Heretics	WEEK2	15.15	2025-08-09
LEC 2025 Summer Season  GIANTX vs VIT	GIANTX	2   0	Team Vitality	WEEK1	15.15	2025-08-04
LEC 2025 Summer Season  SK Gaming vs Fnatic	SK Gaming	0   2	Fnatic	WEEK1	15.15	2025-08-04
LEC 2025 Summer Season  GIANTX vs KC	GIANTX	1   2	Karmine Corp	WEEK1	15.15	2025-08-03
LEC 2025 Summer Season  Team BDS vs SK Gaming	Team BDS	2   0	SK Gaming	WEEK1	15.15	2025-08-03
LEC 2025 Summer Season  TH vs Fnatic	Team Heretics	1   2	Fnatic	WEEK1	15.15	2025-08-02
LEC 2025 Summer Season  NAVI vs KC	Natus Vincere	0   2	Karmine Corp	WEEK1	15.15	2025-08-02
LEC 2025 Spring Playoffs    G2 Esports vs MKOI	G2 Esports	1   3	Movistar KOI	FINALS	15.10	2025-06-08
LEC 2025 Spring Playoffs    MKOI vs KC	Movistar KOI	3   2	Karmine Corp	ROUND3	15.10	2025-06-07
LEC 2025 Spring Playoffs    Fnatic vs KC	Karmine Corp	3   0	Fnatic	ROUND2	15.10	2025-06-02
LEC 2025 Spring Playoffs    KC vs TH	Karmine Corp	3   1	Team Heretics	ROUND1	15.10	2025-06-01
LEC 2025 Spring Playoffs    Fnatic vs GIANTX	Fnatic	3   1	GIANTX	ROUND1	15.10	2025-05-31
LEC 2025 Spring Playoffs    MKOI vs G2 Esports	Movistar KOI	1   3	G2 Esports	ROUND3	15.10	2025-05-26
LEC 2025 Spring Playoffs    KC vs MKOI	Karmine Corp	2   3	Movistar KOI	ROUND1	15.10	2025-05-25
LEC 2025 Spring Playoffs    Fnatic vs G2 Esports	Fnatic	1   3	G2 Esports	ROUND1	15.10	2025-05-24
LEC 2025 Spring Season  TH vs VIT	Team Heretics	1   0	Team Vitality	TIEBREAKERS	15.9	2025-05-13
LEC 2025 Spring Season  MKOI vs Rogue	Rogue	0   2	Movistar KOI	WEEK7	15.9	2025-05-12
LEC 2025 Spring Season  TH vs GIANTX	Team Heretics	0   2	GIANTX	WEEK7	15.9	2025-05-12
LEC 2025 Spring Season  KC vs G2 Esports	G2 Esports	1   2	Karmine Corp	WEEK7	15.9	2025-05-11
LEC 2025 Spring Season  VIT vs SK Gaming	SK Gaming	0   2	Team Vitality	WEEK7	15.9	2025-05-11
LEC 2025 Spring Season  KC vs VIT	Team Vitality	1   2	Karmine Corp	WEEK7	15.9	2025-05-10
LEC 2025 Spring Season  G2 Esports vs SK Gaming	SK Gaming	0   2	G2 Esports	WEEK7	15.9	2025-05-10
LEC 2025 Spring Season  MKOI vs SK Gaming	Movistar KOI	2   0	SK Gaming	WEEK6	15.9	2025-05-05
LEC 2025 Spring Season  TH vs Fnatic	Fnatic	2   0	Team Heretics	WEEK6	15.9	2025-05-05
LEC 2025 Spring Season  G2 Esports vs VIT	G2 Esports	2   0	Team Vitality	WEEK6	15.9	2025-05-04
LEC 2025 Spring Season  GIANTX vs Team BDS	GIANTX	2   0	Team BDS	WEEK6	15.9	2025-05-04
LEC 2025 Spring Season  KC vs Rogue	Karmine Corp	2   0	Rogue	WEEK6	15.9	2025-05-03
LEC 2025 Spring Season  Fnatic vs Team BDS	Fnatic	2   0	Team BDS	WEEK6	15.9	2025-05-03
LEC 2025 Spring Season  VIT vs Team BDS	Team Vitality	2   1	Team BDS	WEEK5	15.8	2025-04-28
LEC 2025 Spring Season  TH vs SK Gaming	SK Gaming	0   2	Team Heretics	WEEK5	15.8	2025-04-28
LEC 2025 Spring Season  MKOI vs GIANTX	Movistar KOI	2   1	GIANTX	WEEK5	15.8	2025-04-27
LEC 2025 Spring Season  G2 Esports vs Fnatic	G2 Esports	1   2	Fnatic	WEEK5	15.8	2025-04-27
LEC 2025 Spring Season  MKOI vs Fnatic	Movistar KOI	2   1	Fnatic	WEEK5	15.8	2025-04-26
LEC 2025 Spring Season  G2 Esports vs GIANTX	GIANTX	2   1	G2 Esports	WEEK5	15.8	2025-04-26
LEC 2025 Spring Season  MKOI vs VIT	Team Vitality	2   0	Movistar KOI	WEEK4	15.8	2025-04-21
LEC 2025 Spring Season  SK Gaming vs Rogue	SK Gaming	1   2	Rogue	WEEK4	15.8	2025-04-21
LEC 2025 Spring Season  G2 Esports vs Team BDS	Team BDS	2   0	G2 Esports	WEEK4	15.8	2025-04-20
LEC 2025 Spring Season  TH vs VIT	Team Heretics	2   0	Team Vitality	WEEK4	15.8	2025-04-20
LEC 2025 Spring Season  GIANTX vs KC	Karmine Corp	2   1	GIANTX	WEEK4	15.8	2025-04-19
LEC 2025 Spring Season  Fnatic vs Rogue	Fnatic	2   0	Rogue	WEEK4	15.8	2025-04-19
LEC 2025 Spring Season  TH vs KC	Team Heretics	1   2	Karmine Corp	WEEK3	15.7	2025-04-14
LEC 2025 Spring Season  GIANTX vs SK Gaming	GIANTX	0   2	SK Gaming	WEEK3	15.7	2025-04-14
LEC 2025 Spring Season  MKOI vs Team BDS	Team BDS	0   2	Movistar KOI	WEEK3	15.7	2025-04-13
LEC 2025 Spring Season  VIT vs Fnatic	Team Vitality	0   2	Fnatic	WEEK3	15.7	2025-04-13
LEC 2025 Spring Season  SK Gaming vs KC	Karmine Corp	2   0	SK Gaming	WEEK3	15.7	2025-04-12
LEC 2025 Spring Season  G2 Esports vs Rogue	Rogue	0   2	G2 Esports	WEEK3	15.7	2025-04-12
LEC 2025 Spring Season  Team BDS vs TH	Team Heretics	2   1	Team BDS	WEEK3	15.7	2025-04-12
LEC 2025 Spring Season  TH vs MKOI	Movistar KOI	2   0	Team Heretics	WEEK2	15.7	2025-04-07
LEC 2025 Spring Season  Rogue vs GIANTX	GIANTX	2   0	Rogue	WEEK2	15.7	2025-04-07
LEC 2025 Spring Season  Fnatic vs KC	Karmine Corp	1   2	Fnatic	WEEK2	15.7	2025-04-06
LEC 2025 Spring Season  SK Gaming vs Team BDS	Team BDS	2   0	SK Gaming	WEEK2	15.7	2025-04-06
LEC 2025 Spring Season  TH vs G2 Esports	G2 Esports	2   0	Team Heretics	WEEK2	15.7	2025-04-05
LEC 2025 Spring Season  KC vs Team BDS	Team BDS	0   2	Karmine Corp	WEEK2	15.7	2025-04-05
LEC 2025 Spring Season  Rogue vs VIT	Rogue	2   0	Team Vitality	WEEK2	15.7	2025-04-05
LEC 2025 Spring Season  Fnatic vs SK Gaming	SK Gaming	2   0	Fnatic	WEEK1	15.6	2025-03-31
LEC 2025 Spring Season  Team BDS vs Rogue	Team BDS	2   1	Rogue	WEEK1	15.6	2025-03-31
LEC 2025 Spring Season  MKOI vs KC	Karmine Corp	2   1	Movistar KOI	WEEK1	15.6	2025-03-30
LEC 2025 Spring Season  VIT vs GIANTX	GIANTX	0   2	Team Vitality	WEEK1	15.6	2025-03-30
LEC 2025 Spring Season  G2 Esports vs MKOI	G2 Esports	2   1	Movistar KOI	WEEK1	15.6	2025-03-29
LEC 2025 Spring Season  TH vs Rogue	Rogue	0   2	Team Heretics	WEEK1	15.6	2025-03-29
LEC 2025 Spring Season  Fnatic vs GIANTX	Fnatic	2   0	GIANTX	WEEK1	15.6	2025-03-29
LEC 2025 Winter Playoffs    G2 Esports vs KC	G2 Esports	0   3	Karmine Corp	FINALS	15.3	2025-03-02
LEC 2025 Winter Playoffs    KC vs Fnatic	Karmine Corp	3   2	Fnatic	ROUND4	15.3	2025-03-01
LEC 2025 Winter Playoffs    MKOI vs Fnatic	Fnatic	3   1	Movistar KOI	ROUND3	15.3	2025-02-28
LEC 2025 Winter Playoffs    G2 Esports vs KC	Karmine Corp	1   3	G2 Esports	ROUND4	15.3	2025-02-24
LEC 2025 Winter Playoffs    MKOI vs GIANTX	Movistar KOI	2   0	GIANTX	ROUND2	15.3	2025-02-23
LEC 2025 Winter Playoffs    Fnatic vs Team BDS	Fnatic	2   1	Team BDS	ROUND2	15.3	2025-02-23
LEC 2025 Winter Playoffs    Team BDS vs VIT	Team Vitality	1   2	Team BDS	ROUND1	15.3	2025-02-22
LEC 2025 Winter Playoffs    TH vs GIANTX	GIANTX	2   1	Team Heretics	ROUND1	15.3	2025-02-22
LEC 2025 Winter Playoffs    MKOI vs KC	Karmine Corp	2   0	Movistar KOI	ROUND2	15.3	2025-02-17
