tournament    vs  teamA   scoreA  scoreB  teamB   round   patch   date
LPL 2025 Split 3  IG vs BLG	Invictus Gaming	2   0	Bilibili Gaming	WEEK7	15.16	2025-08-28
LPL 2025 Split 3  WBG vs JD Gaming	JD Gaming	2   1	Weibo Gaming	WEEK7	15.16	2025-08-28
LPL 2025 Split 3  Team WE vs AL	Team WE	2   0	Anyone s Legend	WEEK7	15.16	2025-08-27
LPL 2025 Split 3  WBG vs JD Gaming	Weibo Gaming	2   0	JD Gaming	WEEK7	15.16	2025-08-27
LPL 2025 Split 3  FPX vs Top Esports	Top Esports	2   1	Funplus Phoenix	WEEK7	15.16	2025-08-26
LPL 2025 Split 3  Team WE vs IG	Team WE	0   2	Invictus Gaming	WEEK7	15.16	2025-08-26
LPL 2025 Split 3  BLG vs FPX	Funplus Phoenix	0   2	Bilibili Gaming	WEEK7	15.16	2025-08-25
LPL 2025 Split 3  Ultra Prime vs LGD Gaming	LGD Gaming	2   1	Ultra Prime	WEEK7	15.16	2025-08-25
LPL 2025 Split 3  JD Gaming vs AL	Anyone s Legend	2   0	JD Gaming	WEEK6	15.16	2025-08-24
LPL 2025 Split 3  LNG Esports vs EDG	Edward Gaming	2   0	LNG Esports	WEEK6	15.16	2025-08-24
LPL 2025 Split 3  WBG vs IG	Weibo Gaming	1   2	Invictus Gaming	WEEK6	15.16	2025-08-23
LPL 2025 Split 3  Team WE vs Top Esports	Team WE	1   2	Top Esports	WEEK6	15.16	2025-08-23
LPL 2025 Split 3  LNG Esports vs TT	LNG Esports	2   0	TT	WEEK6	15.16	2025-08-23
LPL 2025 Split 3  LGD Gaming vs EDG	Edward Gaming	0   2	LGD Gaming	WEEK6	15.16	2025-08-22
LPL 2025 Split 3  IG vs FPX	Invictus Gaming	2   0	Funplus Phoenix	WEEK6	15.16	2025-08-22
LPL 2025 Split 3  JD Gaming vs BLG	JD Gaming	1   2	Bilibili Gaming	WEEK6	15.16	2025-08-21
LPL 2025 Split 3  Ultra Prime vs EDG	Ultra Prime	0   2	Edward Gaming	WEEK6	15.16	2025-08-21
LPL 2025 Split 3  AL vs FPX	Funplus Phoenix	0   2	Anyone s Legend	WEEK6	15.16	2025-08-20
LPL 2025 Split 3  TT vs LGD Gaming	LGD Gaming	2   0	TT	WEEK6	15.16	2025-08-20
LPL 2025 Split 3  AL vs Top Esports	Anyone s Legend	0   2	Top Esports	WEEK6	15.16	2025-08-19
LPL 2025 Split 3  LNG Esports vs NIP	Ninjas in Pyjamas	2   0	LNG Esports	WEEK6	15.16	2025-08-19
LPL 2025 Split 3  IG vs BLG	Bilibili Gaming	1   2	Invictus Gaming	WEEK6	15.15	2025-08-18
LPL 2025 Split 3  WBG vs FPX	Funplus Phoenix	0   2	Weibo Gaming	WEEK6	15.15	2025-08-18
LPL 2025 Split 3  BLG vs Top Esports	Top Esports	2   0	Bilibili Gaming	WEEK5	15.15	2025-08-17
LPL 2025 Split 3  WBG vs AL	Weibo Gaming	0   2	Anyone s Legend	WEEK5	15.15	2025-08-17
LPL 2025 Split 3  IG vs Top Esports	Invictus Gaming	2   1	Top Esports	WEEK5	15.15	2025-08-16
LPL 2025 Split 3  Ultra Prime vs TT	TT	1   2	Ultra Prime	WEEK5	15.15	2025-08-16
