tournament    vs  teamA   scoreA  scoreB  teamB   round   patch   date
LTA North 2025 Split 3  SR vs FlyQuest	FlyQuest	3   1	Shopify Rebellion	ROUND4	15.17	2025-08-31
LTA North 2025 Split 3  Team Liquid vs 100 Thieves	Team Liquid	0   3	100 Thieves	ROUND2	15.17	2025-08-30
LTA North 2025 Split 3  Cloud9 vs Disguised	Cloud9	3   2	Disguised	ROUND2	15.17	2025-08-29
LTA North 2025 Split 3  LYON vs 100 Thieves	LYON	1   3	100 Thieves	ROUND1	15.16	2025-08-24
LTA North 2025 Split 3  Disguised vs Dignitas	Disguised	3   1	Dignitas	ROUND1	15.16	2025-08-23
LTA North 2025 Split 3  FlyQuest vs Team Liquid	FlyQuest	3   0	Team Liquid	ROUND2	15.16	2025-08-17
LTA North 2025 Split 3  Cloud9 vs SR	Cloud9	2   3	Shopify Rebellion	ROUND2	15.16	2025-08-16
LTA North 2025 Split 3  Dignitas vs Disguised	Dignitas	1   2	Disguised	WEEK3	15.15	2025-08-10
LTA North 2025 Split 3  Team Liquid vs Cloud9	Cloud9	2   0	Team Liquid	WEEK3	15.15	2025-08-10
LTA North 2025 Split 3  100 Thieves vs SR	Shopify Rebellion	2   1	100 Thieves	WEEK3	15.15	2025-08-09
LTA North 2025 Split 3  LYON vs FlyQuest	FlyQuest	2   0	LYON	WEEK3	15.15	2025-08-09
LTA North 2025 Split 3  Disguised vs SR	Disguised	1   2	Shopify Rebellion	WEEK2	15.15	2025-08-03
LTA North 2025 Split 3  Dignitas vs Cloud9	Dignitas	0   2	Cloud9	WEEK2	15.15	2025-08-03
LTA North 2025 Split 3  LYON vs Team Liquid	LYON	2   1	Team Liquid	WEEK2	15.15	2025-08-02
LTA North 2025 Split 3  100 Thieves vs FlyQuest	100 Thieves	0   2	FlyQuest	WEEK2	15.15	2025-08-02
LTA North 2025 Split 3  SR vs Dignitas	Shopify Rebellion	2   0	Dignitas	WEEK1	15.14	2025-07-27
LTA North 2025 Split 3  Team Liquid vs 100 Thieves	Team Liquid	2   0	100 Thieves	WEEK1	15.14	2025-07-27
LTA North 2025 Split 3  Cloud9 vs LYON	Cloud9	2   0	LYON	WEEK1	15.14	2025-07-26
LTA North 2025 Split 3  FlyQuest vs Disguised	FlyQuest	2   0	Disguised	WEEK1	15.14	2025-07-26
LTA North 2025 Split 2 Playoffs   FlyQuest vs Cloud9	FlyQuest	3   2	Cloud9	FINALS	15.11	2025-06-15
LTA North 2025 Split 2 Playoffs   Cloud9 vs SR	Cloud9	3   0	Shopify Rebellion	ROUND3	15.11	2025-06-14
LTA North 2025 Split 2 Playoffs   Team Liquid vs SR	Team Liquid	1   3	Shopify Rebellion	ROUND2	15.11	2025-06-08
LTA North 2025 Split 2 Playoffs   FlyQuest vs Cloud9	FlyQuest	3   2	Cloud9	ROUND2	15.11	2025-06-07
LTA North 2025 Split 2 Playoffs   SR vs 100 Thieves	100 Thieves	0   3	Shopify Rebellion	ROUND1	15.11	2025-06-01
LTA North 2025 Split 2 Playoffs   Team Liquid vs Dignitas	Team Liquid	3   1	Dignitas	ROUND1	15.11	2025-05-31
LTA North 2025 Split 2 Playoffs   Cloud9 vs Team Liquid	Cloud9	3   0	Team Liquid	ROUND1	15.10	2025-05-25
LTA North 2025 Split 2 Playoffs   FlyQuest vs SR	FlyQuest	3   0	Shopify Rebellion	ROUND1	15.10	2025-05-24
LTA North 2025 Split 2  100 Thieves vs Disguised	100 Thieves	2   0	Disguised	WEEK7	15.10	2025-05-18
LTA North 2025 Split 2  Team Liquid vs SR	Team Liquid	2   0	Shopify Rebellion	WEEK7	15.10	2025-05-18
LTA North 2025 Split 2  LYON vs Dignitas	LYON	1   2	Dignitas	WEEK7	15.10	2025-05-17
LTA North 2025 Split 2  Cloud9 vs FlyQuest	Cloud9	0   2	FlyQuest	WEEK7	15.10	2025-05-17
LTA North 2025 Split 2  LYON vs Disguised	Disguised	0   2	LYON	WEEK6	15.9	2025-05-11
LTA North 2025 Split 2  FlyQuest vs Dignitas	FlyQuest	2   0	Dignitas	WEEK6	15.9	2025-05-11
LTA North 2025 Split 2  100 Thieves vs SR	Shopify Rebellion	2   1	100 Thieves	WEEK6	15.9	2025-05-10
LTA North 2025 Split 2  Cloud9 vs Team Liquid	Cloud9	2   0	Team Liquid	WEEK6	15.9	2025-05-10
LTA North 2025 Split 2  100 Thieves vs Dignitas	100 Thieves	2   0	Dignitas	WEEK5	15.9	2025-05-04
LTA North 2025 Split 2  Cloud9 vs LYON	LYON	1   2	Cloud9	WEEK5	15.9	2025-05-04
LTA North 2025 Split 2  Team Liquid vs Disguised	Team Liquid	2   0	Disguised	WEEK5	15.9	2025-05-03
LTA North 2025 Split 2  FlyQuest vs SR	FlyQuest	2   1	Shopify Rebellion	WEEK5	15.9	2025-05-03
LTA North 2025 Split 2  SR vs Dignitas	Dignitas	2   1	Shopify Rebellion	WEEK4	15.8	2025-04-27
LTA North 2025 Split 2  Cloud9 vs Disguised	Cloud9	2   0	Disguised	WEEK4	15.8	2025-04-27
LTA North 2025 Split 2  Team Liquid vs LYON	Team Liquid	2   0	LYON	WEEK4	15.8	2025-04-26
LTA North 2025 Split 2  FlyQuest vs 100 Thieves	100 Thieves	0   2	FlyQuest	WEEK4	15.8	2025-04-26
LTA North 2025 Split 2  100 Thieves vs SR	100 Thieves	1   0	Shopify Rebellion	WEEK3	15.8	2025-04-21
LTA North 2025 Split 2  Disguised vs Team Liquid	Disguised	1   0	Team Liquid	WEEK3	15.8	2025-04-21
LTA North 2025 Split 2  LYON vs Cloud9	LYON	0   1	Cloud9	WEEK3	15.8	2025-04-21
LTA North 2025 Split 2  FlyQuest vs Dignitas	FlyQuest	1   0	Dignitas	WEEK3	15.8	2025-04-21
LTA North 2025 Split 2  DSG vs Dignitas	Dignitas	1   0	Disguised	WEEK3	15.8	2025-04-20
LTA North 2025 Split 2  Team Liquid vs SR	Team Liquid	1   0	Shopify Rebellion	WEEK3	15.8	2025-04-20
LTA North 2025 Split 2  Cloud9 vs FlyQuest	Cloud9	1   0	FlyQuest	WEEK3	15.8	2025-04-20
LTA North 2025 Split 2  LYON vs 100 Thieves	LYON	0   1	100 Thieves	WEEK3	15.8	2025-04-20
LTA North 2025 Split 2  SR vs DSG	Disguised	0   1	Shopify Rebellion	WEEK3	15.8	2025-04-19
LTA North 2025 Split 2  Dignitas vs 100 Thieves	Dignitas	0   1	100 Thieves	WEEK3	15.8	2025-04-19
LTA North 2025 Split 2  Cloud9 vs Team Liquid	Cloud9	1   0	Team Liquid	WEEK3	15.8	2025-04-19
LTA North 2025 Split 2  FlyQuest vs LYON	FlyQuest	1   0	LYON	WEEK3	15.8	2025-04-19
LTA North 2025 Split 2  Cloud9 vs Dignitas	Cloud9	1   0	Dignitas	WEEK2	15.7	2025-04-13
LTA North 2025 Split 2  Team Liquid vs LYON	Team Liquid	1   0	LYON	WEEK2	15.7	2025-04-13
LTA North 2025 Split 2  FlyQuest vs SR	Shopify Rebellion	0   1	FlyQuest	WEEK2	15.7	2025-04-13
LTA North 2025 Split 2  100 Thieves vs Disguised	100 Thieves	1   0	Disguised	WEEK2	15.7	2025-04-13
LTA North 2025 Split 2  SR vs LYON	LYON	1   0	Shopify Rebellion	WEEK2	15.7	2025-04-12
