"tournament","date","Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","GRB%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"LCK Cup 2025","2025-01-15","DN Freecs",3,2,1,38.1,51,33,1.55,0.73,0.53,"1.5%",44.6,22.1,-381,"33%","0%","100%",2.7,"33%","33%","67%","50%","100%","33%","50%","50.8%","47.2%",3.67,1.56,1.71
"LCK Cup 2025","2025-01-15","DRX",3,2,1,32.7,37,40,0.93,0.79,-0.78,"-3.5%",37.9,28.8,-1195,"33%","67%","33%",3.7,"33%","50%","67%","54%","100%","67%","80%","48.2%","48.6%",2.76,0.94,1.55
"LCK Cup 2025","2025-01-15","Nongshim RedForce",3,1,2,38.1,33,51,0.65,0.73,-0.53,"-1.5%",55.4,-22.1,381,"67%","100%","0%",2.7,"67%","67%","33%","50%","0%","67%","50%","49.2%","52.8%",3.87,1.73,1.64
"LCK Cup 2025","2025-01-15","OKSavingsBank BRION",3,1,2,32.7,40,37,1.08,0.79,0.78,"3.5%",62.1,-28.8,1195,"67%","33%","67%",2.7,"67%","50%","33%","46%","0%","33%","20%","51.8%","51.4%",3.39,1.33,1.18
"LCK Cup 2025","2025-01-16","BNK FEARX",3,1,2,29.7,40,51,0.78,1.02,-0.08,"-4.8%",41.1,-7.8,85,"67%","67%","67%",3,"33%","56%","0%","17%",,"33%","33%","48.8%","46.9%",3.32,1.41,1.5
"LCK Cup 2025","2025-01-16","DN Freecs",3,2,1,38.1,51,33,1.55,0.73,0.53,"1.5%",44.6,22.1,-381,"33%","0%","100%",2.7,"33%","33%","67%","50%","100%","33%","50%","50.8%","47.2%",3.67,1.56,1.71
"LCK Cup 2025","2025-01-16","Dplus KIA",3,2,1,29.8,39,28,1.39,0.75,0.43,"0.9%",61.1,5.5,1725,"33%","67%","100%",6,"100%","78%","0%","27%","0%","33%","50%","49.1%","51.7%",2.95,1.15,1.55
"LCK Cup 2025","2025-01-16","DRX",3,2,1,32.7,37,40,0.93,0.79,-0.78,"-3.5%",37.9,28.8,-1195,"33%","67%","33%",3.7,"33%","50%","67%","54%","100%","67%","80%","48.2%","48.6%",2.76,0.94,1.55
"LCK Cup 2025","2025-01-16","KT Rolster",3,2,1,29.7,51,40,1.28,1.02,0.08,"4.8%",58.9,7.8,-85,"33%","33%","33%",1.3,"67%","44%","100%","83%",,"67%","67%","51.2%","53.1%",3.54,1.33,1.54
"LCK Cup 2025","2025-01-16","Nongshim RedForce",3,1,2,38.1,33,51,0.65,0.73,-0.53,"-1.5%",55.4,-22.1,381,"67%","100%","0%",2.7,"67%","67%","33%","50%","0%","67%","50%","49.2%","52.8%",3.87,1.73,1.64
"LCK Cup 2025","2025-01-16","OKSavingsBank BRION",3,1,2,32.7,40,37,1.08,0.79,0.78,"3.5%",62.1,-28.8,1195,"67%","33%","67%",2.7,"67%","50%","33%","46%","0%","33%","20%","51.8%","51.4%",3.39,1.33,1.18
"LCK Cup 2025","2025-01-16","T1",3,1,2,29.8,28,40,0.7,0.75,-0.43,"-0.9%",38.9,-5.5,-1725,"67%","33%","0%",3.3,"0%","22%","100%","73%","100%","33%","50%","50.9%","48.3%",3.36,1.35,1.17
"LCK Cup 2025","2025-01-17","BNK FEARX",3,1,2,29.7,40,51,0.78,1.02,-0.08,"-4.8%",41.1,-7.8,85,"67%","67%","67%",3,"33%","56%","0%","17%",,"33%","33%","48.8%","46.9%",3.32,1.41,1.5
"LCK Cup 2025","2025-01-17","DN Freecs",3,2,1,38.1,51,33,1.55,0.73,0.53,"1.5%",44.6,22.1,-381,"33%","0%","100%",2.7,"33%","33%","67%","50%","100%","33%","50%","50.8%","47.2%",3.67,1.56,1.71
"LCK Cup 2025","2025-01-17","Dplus KIA",3,2,1,29.8,39,28,1.39,0.75,0.43,"0.9%",61.1,5.5,1725,"33%","67%","100%",6,"100%","78%","0%","27%","0%","33%","50%","49.1%","51.7%",2.95,1.15,1.55
"LCK Cup 2025","2025-01-17","DRX",3,2,1,32.7,37,40,0.93,0.79,-0.78,"-3.5%",37.9,28.8,-1195,"33%","67%","33%",3.7,"33%","50%","67%","54%","100%","67%","80%","48.2%","48.6%",2.76,0.94,1.55
"LCK Cup 2025","2025-01-17","Gen.G",2,2,0,26.2,37,10,3.7,0.9,2.21,"15.7%",81.9,18.1,3688,"50%","100%","100%",9.5,"100%","92%","0%","71%",,"0%",,"51.9%","50.4%",3.16,1.32,1.67
"LCK Cup 2025","2025-01-17","Hanwha Life Esports",2,0,2,26.2,10,37,0.27,0.9,-2.21,"-15.7%",18.1,-18.1,-3688,"50%","0%","0%",3.5,"0%","8%","100%","29%",,"0%",,"48.1%","49.6%",3.14,1.32,1.29
"LCK Cup 2025","2025-01-17","KT Rolster",3,2,1,29.7,51,40,1.28,1.02,0.08,"4.8%",58.9,7.8,-85,"33%","33%","33%",1.3,"67%","44%","100%","83%",,"67%","67%","51.2%","53.1%",3.54,1.33,1.54
"LCK Cup 2025","2025-01-17","Nongshim RedForce",5,3,2,37.9,79,79,1,0.83,-0.05,"2.6%",55.2,4.8,275,"60%","60%","20%",3,"40%","47%","40%","58%","50%","80%","75%","49.6%","52.5%",3.83,1.74,1.63
"LCK Cup 2025","2025-01-17","OKSavingsBank BRION",5,1,4,34.6,68,83,0.82,0.87,0.15,"-1.4%",55.3,-35.3,670,"60%","60%","60%",3.6,"80%","63%","40%","39%","0%","20%","11%","51.1%","50.0%",3.58,1.45,1.35
"LCK Cup 2025","2025-01-17","T1",3,1,2,29.8,28,40,0.7,0.75,-0.43,"-0.9%",38.9,-5.5,-1725,"67%","33%","0%",3.3,"0%","22%","100%","73%","100%","33%","50%","50.9%","48.3%",3.36,1.35,1.17
"LCK Cup 2025","2025-01-18","BNK FEARX",3,1,2,29.7,40,51,0.78,1.02,-0.08,"-4.8%",41.1,-7.8,85,"67%","67%","67%",3,"33%","56%","0%","17%",,"33%","33%","48.8%","46.9%",3.32,1.41,1.5
"LCK Cup 2025","2025-01-18","DN Freecs",5,2,3,35.4,73,77,0.95,0.85,-0.04,"-2.3%",46.8,-6.8,62,"60%","40%","60%",2.2,"40%","47%","60%","43%","100%","20%","33%","50.7%","46.4%",3.64,1.52,1.57
"LCK Cup 2025","2025-01-18","Dplus KIA",5,4,1,30.4,83,50,1.66,0.88,0.69,"3.7%",56.6,23.4,745,"20%","40%","100%",4.4,"80%","60%","20%","44%","0%","60%","75%","49.2%","53.0%",3.14,1.28,1.57
"LCK Cup 2025","2025-01-18","DRX",5,2,3,32.1,61,81,0.75,0.89,-1.71,"-6.2%",27.5,12.5,-2359,"20%","40%","20%",3.4,"20%","40%","40%","36%","100%","40%","57%","48.0%","46.0%",2.8,1.02,1.42
"LCK Cup 2025","2025-01-18","Gen.G",2,2,0,26.2,37,10,3.7,0.9,2.21,"15.7%",81.9,18.1,3688,"50%","100%","100%",9.5,"100%","92%","0%","71%",,"0%",,"51.9%","50.4%",3.16,1.32,1.67
"LCK Cup 2025","2025-01-18","Hanwha Life Esports",2,0,2,26.2,10,37,0.27,0.9,-2.21,"-15.7%",18.1,-18.1,-3688,"50%","0%","0%",3.5,"0%","8%","100%","29%",,"0%",,"48.1%","49.6%",3.14,1.32,1.29
"LCK Cup 2025","2025-01-18","KT Rolster",3,2,1,29.7,51,40,1.28,1.02,0.08,"4.8%",58.9,7.8,-85,"33%","33%","33%",1.3,"67%","44%","100%","83%",,"67%","67%","51.2%","53.1%",3.54,1.33,1.54
"LCK Cup 2025","2025-01-18","Nongshim RedForce",5,3,2,37.9,79,79,1,0.83,-0.05,"2.6%",55.2,4.8,275,"60%","60%","20%",3,"40%","47%","40%","58%","50%","80%","75%","49.6%","52.5%",3.83,1.74,1.63
"LCK Cup 2025","2025-01-18","OKSavingsBank BRION",5,1,4,34.6,68,83,0.82,0.87,0.15,"-1.4%",55.3,-35.3,670,"60%","60%","60%",3.6,"80%","63%","40%","39%","0%","20%","11%","51.1%","50.0%",3.58,1.45,1.35
"LCK Cup 2025","2025-01-18","T1",5,3,2,30.3,69,65,1.06,0.87,1.06,"3.6%",58.5,1.5,607,"80%","60%","40%",6.4,"40%","43%","100%","80%","100%","60%","75%","51.5%","52.2%",3.34,1.33,1.19
"LCK Cup 2025","2025-01-19","BNK FEARX",5,1,4,31.7,75,95,0.79,1.07,-0.36,"-6.1%",36,-16,-627,"40%","40%","60%",3.4,"40%","50%","0%","19%",,"40%","40%","49.2%","45.5%",3.34,1.38,1.46
