"tournament","date","Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","GRB%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"LCP 2025 Season Kickoff","2025-01-17","CTBC Flying Oyster",3,2,1,36.4,45,37,1.22,0.74,0.97,"3.4%",62.2,4.5,436,"67%","67%","100%",5.7,"67%","44%","67%","60%",,"33%","33%","50.7%","51.7%",3.66,1.39,1.65
"LCP 2025 Season Kickoff","2025-01-17","Fukuoka SoftBank HAWKS gaming",3,1,2,30.8,31,48,0.65,0.85,-1.21,"-12.6%",43.2,-9.9,-410,"33%","0%","33%",3,"67%","65%","0%","33%",,"33%","33%","48.4%","42.1%",3.13,1.39,1.24
"LCP 2025 Season Kickoff","2025-01-17","GAM Esports",3,2,1,30.8,48,31,1.55,0.85,1.21,"12.6%",56.8,9.9,410,"67%","100%","67%",4.7,"33%","35%","100%","67%",,"67%","67%","51.6%","57.9%",3.48,1.34,1.41
"LCP 2025 Season Kickoff","2025-01-17","MGN Vikings Esports",3,1,2,36.4,36,45,0.8,0.74,-0.97,"-3.4%",37.8,-4.5,-436,"33%","33%","0%",4.3,"33%","56%","33%","40%",,"33%","67%","49.3%","48.3%",3.58,1.2,1.58
"LCP 2025 Season Kickoff","2025-01-18","Chiefs Esports Club",2,0,2,26.2,5,26,0.19,0.59,-2.29,"-10.7%",23,-23,-1905,"0%","0%","0%",2,"0%","25%","50%","25%",,"0%","0%","47.5%","50.3%",3.05,1.16,1.26
"LCP 2025 Season Kickoff","2025-01-18","CTBC Flying Oyster",3,2,1,36.4,45,37,1.22,0.74,0.97,"3.4%",62.2,4.5,436,"67%","67%","100%",5.7,"67%","44%","67%","60%",,"33%","33%","50.7%","51.7%",3.66,1.39,1.65
"LCP 2025 Season Kickoff","2025-01-18","DetonatioN FocusMe",2,0,2,32.3,16,47,0.34,0.97,-3.21,"-9.5%",13.8,-13.8,-2300,"0%","0%","0%",4,"0%","42%","50%","25%",,"50%","33%","49.2%","46.7%",2.72,1.2,1.38
"LCP 2025 Season Kickoff","2025-01-18","Fukuoka SoftBank HAWKS gaming",3,1,2,30.8,31,48,0.65,0.85,-1.21,"-12.6%",43.2,-9.9,-410,"33%","0%","33%",3,"67%","65%","0%","33%",,"33%","33%","48.4%","42.1%",3.13,1.39,1.24
"LCP 2025 Season Kickoff","2025-01-18","GAM Esports",3,2,1,30.8,48,31,1.55,0.85,1.21,"12.6%",56.8,9.9,410,"67%","100%","67%",4.7,"33%","35%","100%","67%",,"67%","67%","51.6%","57.9%",3.48,1.34,1.41
"LCP 2025 Season Kickoff","2025-01-18","MGN Vikings Esports",3,1,2,36.4,36,45,0.8,0.74,-0.97,"-3.4%",37.8,-4.5,-436,"33%","33%","0%",4.3,"33%","56%","33%","40%",,"33%","67%","49.3%","48.3%",3.58,1.2,1.58
"LCP 2025 Season Kickoff","2025-01-18","TALON",2,2,0,26.2,26,5,5.2,0.59,2.29,"10.7%",77,23,1905,"100%","100%","100%",4.5,"100%","75%","50%","75%",,"50%","100%","52.5%","49.7%",3.47,1.39,1.55
"LCP 2025 Season Kickoff","2025-01-18","Team Secret Whales",2,2,0,32.3,47,16,2.94,0.97,3.21,"9.5%",86.2,13.8,2300,"100%","100%","100%",5,"100%","58%","50%","75%",,"50%","67%","50.8%","53.3%",3.41,1.44,1.21
"LCP 2025 Season Kickoff","2025-01-19","Chiefs Esports Club",2,0,2,26.2,5,26,0.19,0.59,-2.29,"-10.7%",23,-23,-1905,"0%","0%","0%",2,"0%","25%","50%","25%",,"0%","0%","47.5%","50.3%",3.05,1.16,1.26
"LCP 2025 Season Kickoff","2025-01-19","CTBC Flying Oyster",5,4,1,31.9,76,49,1.55,0.78,1.35,"8.0%",69.5,10.5,1395,"40%","80%","100%",6.4,"60%","50%","60%","67%",,"20%","33%","51.2%","54.1%",3.38,1.3,1.51
"LCP 2025 Season Kickoff","2025-01-19","DetonatioN FocusMe",2,0,2,32.3,16,47,0.34,0.97,-3.21,"-9.5%",13.8,-13.8,-2300,"0%","0%","0%",4,"0%","42%","50%","25%",,"50%","33%","49.2%","46.7%",2.72,1.2,1.38
"LCP 2025 Season Kickoff","2025-01-19","Fukuoka SoftBank HAWKS gaming",5,1,4,28.5,43,79,0.54,0.86,-1.55,"-13.5%",33.7,-13.7,-1379,"60%","0%","20%",1.8,"60%","55%","20%","28%",,"20%","33%","48.3%","42.2%",3.03,1.35,1.26
"LCP 2025 Season Kickoff","2025-01-19","GAM Esports",5,2,3,34.5,65,72,0.9,0.8,-0.42,"3.6%",45.6,-5.6,-574,"60%","80%","40%",3.6,"60%","41%","100%","52%","0%","80%","57%","50.5%","52.7%",3.58,1.41,1.48
"LCP 2025 Season Kickoff","2025-01-19","MGN Vikings Esports",5,3,2,37.8,77,62,1.24,0.74,0.41,"1.9%",51.1,8.9,558,"40%","40%","40%",4.8,"20%","53%","20%","50%","100%","20%","57%","50.0%","51.0%",3.92,1.36,1.78
"LCP 2025 Season Kickoff","2025-01-19","TALON",2,2,0,26.2,26,5,5.2,0.59,2.29,"10.7%",77,23,1905,"100%","100%","100%",4.5,"100%","75%","50%","75%",,"50%","100%","52.5%","49.7%",3.47,1.39,1.55
