"tournament","date","Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","GRB%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"LTA North 2025 Split 1","2025-01-25","Cloud9",2,2,0,31.5,30,14,2.14,0.7,1.56,"12.3%",78.1,21.9,1049,"50%","100%","100%",2.5,"50%","67%","100%","100%",,"100%","100%","52.2%","54.9%",2.82,1.16,1.59
"LTA North 2025 Split 1","2025-01-25","FlyQuest",2,2,0,28.4,36,14,2.57,0.88,2.85,"16.9%",79,21,3269,"50%","100%","100%",8,"100%","83%","50%","63%",,"100%","100%","50.5%","57.8%",3.27,0.96,1.3
"LTA North 2025 Split 1","2025-01-25","LYON",2,0,2,31.5,14,30,0.47,0.7,-1.56,"-12.3%",21.9,-21.9,-1049,"50%","0%","0%",1.5,"50%","33%","0%","0%",,"0%","0%","47.8%","45.1%",3.16,1.01,1.24
"LTA North 2025 Split 1","2025-01-25","Shopify Rebellion",2,0,2,28.4,14,36,0.39,0.88,-2.85,"-16.9%",21,-21,-3269,"50%","0%","0%",0.5,"0%","17%","50%","38%",,"0%","0%","49.5%","42.2%",3.12,0.97,1.03
"LTA North 2025 Split 1","2025-01-26","100 Thieves",2,2,0,29.5,36,21,1.71,0.97,0.5,"10.3%",44.5,55.5,73,"50%","50%","100%",4,"50%","58%","50%","57%",,"50%","100%","51.1%","50.8%",3.41,1.37,1.63
"LTA North 2025 Split 1","2025-01-26","Cloud9",2,2,0,31.5,30,14,2.14,0.7,1.56,"12.3%",78.1,21.9,1049,"50%","100%","100%",2.5,"50%","67%","100%","100%",,"100%","100%","52.2%","54.9%",2.82,1.16,1.59
"LTA North 2025 Split 1","2025-01-26","Dignitas",2,0,2,30.4,16,39,0.41,0.9,-2.17,"-16.6%",12.3,-12.3,-2825,"50%","0%","0%",1.5,"0%","42%","0%","0%",,"0%","0%","50.3%","41.8%",3.1,1.08,1.29
"LTA North 2025 Split 1","2025-01-26","Disguised",2,0,2,29.5,21,36,0.58,0.97,-0.5,"-10.3%",55.5,-55.5,-73,"50%","50%","0%",2,"50%","42%","50%","43%",,"0%","0%","48.9%","49.2%",3.38,1.32,1.59
"LTA North 2025 Split 1","2025-01-26","FlyQuest",2,2,0,28.4,36,14,2.57,0.88,2.85,"16.9%",79,21,3269,"50%","100%","100%",8,"100%","83%","50%","63%",,"100%","100%","50.5%","57.8%",3.27,0.96,1.3
"LTA North 2025 Split 1","2025-01-26","LYON",2,0,2,31.5,14,30,0.47,0.7,-1.56,"-12.3%",21.9,-21.9,-1049,"50%","0%","0%",1.5,"50%","33%","0%","0%",,"0%","0%","47.8%","45.1%",3.16,1.01,1.24
"LTA North 2025 Split 1","2025-01-26","Shopify Rebellion",2,0,2,28.4,14,36,0.39,0.88,-2.85,"-16.9%",21,-21,-3269,"50%","0%","0%",0.5,"0%","17%","50%","38%",,"0%","0%","49.5%","42.2%",3.12,0.97,1.03
"LTA North 2025 Split 1","2025-01-26","Team Liquid",2,2,0,30.4,39,16,2.44,0.9,2.17,"16.6%",87.7,12.3,2825,"50%","100%","100%",5,"100%","58%","100%","100%",,"100%","100%","49.7%","58.2%",2.96,1.1,1.59
"LTA North 2025 Split 1","2025-02-01","100 Thieves",2,2,0,29.5,36,21,1.71,0.97,0.5,"10.3%",44.5,55.5,73,"50%","50%","100%",4,"50%","58%","50%","57%",,"50%","100%","51.1%","50.8%",3.41,1.37,1.63
"LTA North 2025 Split 1","2025-02-01","Cloud9",2,2,0,31.5,30,14,2.14,0.7,1.56,"12.3%",78.1,21.9,1049,"50%","100%","100%",2.5,"50%","67%","100%","100%",,"100%","100%","52.2%","54.9%",2.82,1.16,1.59
"LTA North 2025 Split 1","2025-02-01","Dignitas",3,0,3,31,20,56,0.36,0.82,-2.35,"-16.1%",13.7,-13.7,-2556,"33%","0%","0%",1.3,"0%","39%","0%","0%",,"0%","0%","50.5%","44.0%",3.12,1.07,1.27
