"tournament","date","Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","GRB%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"LTA South 2025 Split 1","2025-01-25","Leviatan",3,2,1,28.6,44,40,1.1,0.98,0.12,"0.1%",55.5,11.2,-225,"67%","67%","67%",3.3,"67%","56%","100%","64%",,"67%","100%","49.5%","49.5%",3.88,1.59,1.36
"LTA South 2025 Split 1","2025-01-25","LOUD",3,1,2,34.6,36,48,0.75,0.8,-1.33,"-5.0%",30.2,3.1,-1025,"0%","33%","0%",2.3,"0%","39%","33%","27%",,"33%","25%","48.9%","46.2%",3.44,1.35,1.54
"LTA South 2025 Split 1","2025-01-25","paiN Gaming",3,2,1,34.6,47,36,1.31,0.8,1.33,"5.0%",69.8,-3.1,1025,"100%","67%","100%",4,"100%","61%","67%","73%",,"67%","75%","51.1%","53.8%",3.67,1.4,1.67
"LTA South 2025 Split 1","2025-01-25","Vivo Keyd Stars",3,1,2,28.6,40,44,0.91,0.98,-0.12,"-0.1%",44.5,-11.2,225,"33%","33%","33%",2.3,"33%","44%","0%","36%",,"0%","0%","50.5%","50.5%",2.77,1.08,1.7
"LTA South 2025 Split 1","2025-01-26","Fluxo W7M",2,0,2,34.4,24,39,0.62,0.92,-1.93,"-10.2%",21.2,-21.2,-2277,"0%","0%","0%",3,"0%","33%","50%","20%",,"0%","0%","48.9%","41.8%",3.51,1.49,1.28
"LTA South 2025 Split 1","2025-01-26","FURIA",3,1,2,30.4,31,33,0.94,0.7,-0.31,"-3.2%",48.5,-15.1,111,"33%","67%","67%",4.3,"67%","61%","67%","38%",,"33%","67%","49.0%","46.0%",2.88,1.08,1.18
"LTA South 2025 Split 1","2025-01-26","Isurus Estral",3,2,1,30.4,33,31,1.06,0.7,0.31,"3.2%",51.5,15.1,-111,"67%","33%","33%",4.3,"33%","39%","33%","62%",,"33%","33%","51.0%","54.0%",3.07,1.32,1.42
"LTA South 2025 Split 1","2025-01-26","Leviatan",3,2,1,28.6,44,40,1.1,0.98,0.12,"0.1%",55.5,11.2,-225,"67%","67%","67%",3.3,"67%","56%","100%","64%",,"67%","100%","49.5%","49.5%",3.88,1.59,1.36
"LTA South 2025 Split 1","2025-01-26","LOUD",3,1,2,34.6,36,48,0.75,0.8,-1.33,"-5.0%",30.2,3.1,-1025,"0%","33%","0%",2.3,"0%","39%","33%","27%",,"33%","25%","48.9%","46.2%",3.44,1.35,1.54
"LTA South 2025 Split 1","2025-01-26","paiN Gaming",3,2,1,34.6,47,36,1.31,0.8,1.33,"5.0%",69.8,-3.1,1025,"100%","67%","100%",4,"100%","61%","67%","73%",,"67%","75%","51.1%","53.8%",3.67,1.4,1.67
"LTA South 2025 Split 1","2025-01-26","RED Canids",2,2,0,34.4,39,24,1.63,0.92,1.93,"10.2%",78.8,21.2,2277,"100%","100%","100%",8,"100%","67%","50%","80%",,"100%","100%","51.1%","58.2%",3.03,1.09,1.61
"LTA South 2025 Split 1","2025-01-26","Vivo Keyd Stars",3,1,2,28.6,40,44,0.91,0.98,-0.12,"-0.1%",44.5,-11.2,225,"33%","33%","33%",2.3,"33%","44%","0%","36%",,"0%","0%","50.5%","50.5%",2.77,1.08,1.7
"LTA South 2025 Split 1","2025-02-01","Fluxo W7M",4,0,4,31.7,34,75,0.45,0.85,-2.21,"-10.8%",17.5,-17.5,-2229,"50%","0%","0%",2,"0%","21%","25%","11%",,"0%","0%","48.7%","41.9%",3.43,1.36,1.23
"LTA South 2025 Split 1","2025-02-01","FURIA",5,3,2,29.9,66,43,1.53,0.73,0.8,"2.6%",63.6,-3.6,939,"20%","80%","80%",4.2,"80%","73%","80%","62%",,"60%","80%","50.0%","50.8%",2.98,1.13,1.32
"LTA South 2025 Split 1","2025-02-01","Isurus Estral",3,2,1,30.4,33,31,1.06,0.7,0.31,"3.2%",51.5,15.1,-111,"67%","33%","33%",4.3,"33%","39%","33%","62%",,"33%","33%","51.0%","54.0%",3.07,1.32,1.42
"LTA South 2025 Split 1","2025-02-01","Leviatan",3,2,1,28.6,44,40,1.1,0.98,0.12,"0.1%",55.5,11.2,-225,"67%","67%","67%",3.3,"67%","56%","100%","64%",,"67%","100%","49.5%","49.5%",3.88,1.59,1.36
"LTA South 2025 Split 1","2025-02-01","LOUD",6,3,3,35.8,89,88,1.01,0.82,-0.46,"-2.2%",40,10,-556,"33%","67%","17%",3.3,"17%","58%","17%","45%","0%","50%","44%","48.4%","50.2%",3.47,1.32,1.5
"LTA South 2025 Split 1","2025-02-01","paiN Gaming",3,2,1,34.6,47,36,1.31,0.8,1.33,"5.0%",69.8,-3.1,1025,"100%","67%","100%",4,"100%","61%","67%","73%",,"67%","75%","51.1%","53.8%",3.67,1.4,1.67
"LTA South 2025 Split 1","2025-02-01","RED Canids",2,2,0,34.4,39,24,1.63,0.92,1.93,"10.2%",78.8,21.2,2277,"100%","100%","100%",8,"100%","67%","50%","80%",,"100%","100%","51.1%","58.2%",3.03,1.09,1.61
"LTA South 2025 Split 1","2025-02-01","Vivo Keyd Stars",6,2,4,32.8,80,97,0.82,0.9,-0.25,"-0.4%",47.4,-14.1,156,"33%","17%","50%",2.3,"50%","33%","50%","36%","100%","17%","29%","51.3%","48.1%",2.99,1.15,1.7
"LTA South 2025 Split 1","2025-02-02","Fluxo W7M",4,0,4,31.7,34,75,0.45,0.85,-2.21,"-10.8%",17.5,-17.5,-2229,"50%","0%","0%",2,"0%","21%","25%","11%",,"0%","0%","48.7%","41.9%",3.43,1.36,1.23
"LTA South 2025 Split 1","2025-02-02","FURIA",5,3,2,29.9,66,43,1.53,0.73,0.8,"2.6%",63.6,-3.6,939,"20%","80%","80%",4.2,"80%","73%","80%","62%",,"60%","80%","50.0%","50.8%",2.98,1.13,1.32
