teamA,teamB,scoreA,scoreB,date
DRX,OK BRION,1,2,2025-08-31
Nongshim RedForce,KT Rolster,0,2,2025-08-31
DN Freecs,Dplus KIA,1,2,2025-08-30
T1,Gen.G eSports,1,2,2025-08-30
Hanwha Life eSports,Nongshim RedForce,2,0,2025-08-29
BNK FearX,DRX,2,1,2025-08-29
Gen.G eSports,KT Rolster,2,0,2025-08-28
Dplus KIA,OK BRION,2,0,2025-08-28
DN Freecs,BNK FearX,0,2,2025-08-27
T1,Hanwha Life eSports,2,1,2025-08-27
KT Rolster,T1,2,0,2025-08-24
BNK FearX,Dplus KIA,0,2,2025-08-24
OK BRION,DN Freecs,1,2,2025-08-23
Hanwha Life eSports,Gen.G eSports,1,2,2025-08-23
Dplus KIA,DRX,2,1,2025-08-22
Nongshim RedForce,T1,1,2,2025-08-22
OK BRION,BNK FearX,1,2,2025-08-21
KT Rolster,Hanwha Life eSports,1,2,2025-08-21
Gen.G eSports,Nongshim RedForce,2,0,2025-08-20
DRX,DN Freecs,2,0,2025-08-20
OK BRION,Dplus KIA,2,0,2025-08-17
Hanwha Life eSports,Gen.G eSports,1,2,2025-08-17
DRX,BNK FearX,2,1,2025-08-16
Nongshim RedForce,KT Rolster,1,2,2025-08-16
Hanwha Life eSports,T1,0,2,2025-08-15
OK BRION,DN Freecs,1,2,2025-08-15
Dplus KIA,DRX,2,0,2025-08-14
Gen.G eSports,Nongshim RedForce,2,0,2025-08-14
BNK FearX,DN Freecs,2,1,2025-08-13
T1,KT Rolster,2,0,2025-08-13
DN Freecs,Dplus KIA,0,2,2025-08-10
KT Rolster,Gen.G eSports,0,2,2025-08-10
Nongshim RedForce,T1,0,2,2025-08-09
DRX,OK BRION,1,2,2025-08-09
KT Rolster,Hanwha Life eSports,0,2,2025-08-08
BNK FearX,Dplus KIA,2,0,2025-08-08
Gen.G eSports,T1,2,1,2025-08-07
DRX,DN Freecs,1,2,2025-08-07
OK BRION,BNK FearX,0,2,2025-08-06
Hanwha Life eSports,Nongshim RedForce,2,0,2025-08-06
Nongshim RedForce,Gen.G eSports,0,2,2025-08-03
DN Freecs,OK BRION,0,2,2025-08-03
BNK FearX,DRX,1,2,2025-08-02
T1,Hanwha Life eSports,2,0,2025-08-02
Dplus KIA,DN Freecs,2,0,2025-08-01
Gen.G eSports,KT Rolster,2,0,2025-08-01
Nongshim RedForce,Hanwha Life eSports,0,2,2025-07-31
BNK FearX,OK BRION,2,0,2025-07-31
KT Rolster,T1,0,2,2025-07-30
DRX,Dplus KIA,1,2,2025-07-30
T1,Nongshim RedForce,2,0,2025-07-27
DN Freecs,DRX,1,2,2025-07-27
Hanwha Life eSports,KT Rolster,2,0,2025-07-26
Dplus KIA,BNK FearX,2,0,2025-07-26
OK BRION,DRX,2,1,2025-07-25
T1,Gen.G eSports,2,1,2025-07-25
KT Rolster,Nongshim RedForce,2,0,2025-07-24
DN Freecs,BNK FearX,0,2,2025-07-24
Gen.G eSports,Hanwha Life eSports,2,0,2025-07-23
Dplus KIA,OK BRION,1,2,2025-07-23
