teamA,teamB,scoreA,scoreB,date
Hanwha Life eSports,Gen.G eSports,3,2,2025-02-23
Dplus KIA,Gen.G eSports,0,3,2025-02-22
Nongshim RedForce,Gen.G eSports,2,3,2025-02-20
Hanwha Life eSports,Dplus KIA,3,2,2025-02-19
Gen.G eSports,Hanwha Life eSports,2,3,2025-02-16
Dplus KIA,Nongshim RedForce,3,1,2025-02-15
Hanwha Life eSports,T1,3,2,2025-02-13
KT Rolster,Nongshim RedForce,0,3,2025-02-12
DRX,Nongshim RedForce,1,3,2025-02-09
Hanwha Life eSports,DRX,2,0,2025-02-08
T1,Nongshim RedForce,2,0,2025-02-08
Nongshim RedForce,OK BRION,2,0,2025-02-07
DRX,DN Freecs,2,0,2025-02-07
Nongshim RedForce,BNK FearX,2,0,2025-02-02
OK BRION,Dplus KIA,1,2,2025-02-01
T1,Gen.G eSports,2,1,2025-02-01
DRX,Hanwha Life eSports,0,2,2025-01-31
DN Freecs,KT Rolster,1,2,2025-01-31
KT Rolster,OK BRION,2,0,2025-01-26
T1,Nongshim RedForce,2,0,2025-01-26
Gen.G eSports,DN Freecs,2,0,2025-01-25
Hanwha Life eSports,Dplus KIA,1,2,2025-01-25
T1,KT Rolster,2,1,2025-01-24
DRX,BNK FearX,2,1,2025-01-24
Hanwha Life eSports,Nongshim RedForce,2,0,2025-01-23
OK BRION,Gen.G eSports,2,0,2025-01-23
DN Freecs,DRX,1,2,2025-01-22
Dplus KIA,BNK FearX,2,1,2025-01-22
BNK FearX,Gen.G eSports,0,2,2025-01-19
KT Rolster,Hanwha Life eSports,0,2,2025-01-19
DRX,T1,0,2,2025-01-18
Dplus KIA,DN Freecs,2,0,2025-01-18
Nongshim RedForce,OK BRION,2,0,2025-01-17
Gen.G eSports,Hanwha Life eSports,2,0,2025-01-17
Dplus KIA,T1,2,1,2025-01-16
BNK FearX,KT Rolster,1,2,2025-01-16
DN Freecs,Nongshim RedForce,2,1,2025-01-15
OK BRION,DRX,1,2,2025-01-15
