teamA,teamB,scoreA,scoreB,date
KT Rolster,Kwangdong Freecs,2,0,2024-03-24
FearX,OK BRION,2,0,2024-03-24
DRX,T1,0,2,2024-03-23
Hanwha Life eSports,Dplus KIA,2,0,2024-03-23
Nongshim RedForce,FearX,2,1,2024-03-22
Gen.G eSports,OK BRION,2,0,2024-03-22
Dplus KIA,Kwangdong Freecs,0,2,2024-03-21
KT Rolster,Hanwha Life eSports,1,2,2024-03-21
Nongshim RedForce,T1,0,2,2024-03-20
DRX,Gen.G eSports,0,2,2024-03-20
Dplus KIA,Gen.G eSports,1,2,2024-03-17
OK BRION,Nongshim RedForce,1,2,2024-03-17
KT Rolster,DRX,2,1,2024-03-16
FearX,Kwangdong Freecs,2,1,2024-03-16
T1,Hanwha Life eSports,1,2,2024-03-15
Gen.G eSports,Nongshim RedForce,2,0,2024-03-15
OK BRION,KT Rolster,0,2,2024-03-14
FearX,DRX,2,0,2024-03-14
Dplus KIA,T1,0,2,2024-03-13
Hanwha Life eSports,Kwangdong Freecs,2,1,2024-03-13
FearX,Dplus KIA,1,2,2024-03-10
KT Rolster,Nongshim RedForce,2,1,2024-03-10
Kwangdong Freecs,DRX,0,2,2024-03-09
T1,Gen.G eSports,0,2,2024-03-09
Nongshim RedForce,Dplus KIA,0,2,2024-03-08
OK BRION,Hanwha Life eSports,0,2,2024-03-08
FearX,KT Rolster,0,2,2024-03-07
Kwangdong Freecs,T1,0,2,2024-03-07
Gen.G eSports,Hanwha Life eSports,2,0,2024-03-06
OK BRION,DRX,2,1,2024-03-06
DRX,Hanwha Life eSports,0,2,2024-03-03
KT Rolster,Dplus KIA,1,2,2024-03-03
T1,OK BRION,2,0,2024-03-02
Kwangdong Freecs,Nongshim RedForce,2,1,2024-03-02
Gen.G eSports,KT Rolster,2,0,2024-03-01
Hanwha Life eSports,FearX,2,1,2024-03-01
Nongshim RedForce,DRX,1,2,2024-02-29
Dplus KIA,OK BRION,2,0,2024-02-29
T1,FearX,2,0,2024-02-28
Kwangdong Freecs,Gen.G eSports,0,2,2024-02-28
OK BRION,Kwangdong Freecs,2,1,2024-02-26
DRX,Dplus KIA,1,2,2024-02-25
Gen.G eSports,FearX,2,0,2024-02-24
T1,KT Rolster,2,0,2024-02-24
Hanwha Life eSports,Nongshim RedForce,2,0,2024-02-23
Kwangdong Freecs,OK BRION,1,2,2024-02-23
Gen.G eSports,DRX,2,0,2024-02-22
Dplus KIA,FearX,2,0,2024-02-22
Hanwha Life eSports,KT Rolster,2,0,2024-02-21
T1,Nongshim RedForce,2,1,2024-02-21
Nongshim RedForce,OK BRION,2,0,2024-02-18
FearX,T1,0,2,2024-02-18
Dplus KIA,DRX,2,0,2024-02-17
Gen.G eSports,Hanwha Life eSports,2,0,2024-02-17
Kwangdong Freecs,FearX,2,1,2024-02-16
Nongshim RedForce,KT Rolster,0,2,2024-02-16
Hanwha Life eSports,OK BRION,2,0,2024-02-15
T1,Dplus KIA,2,0,2024-02-15
DRX,Kwangdong Freecs,0,2,2024-02-14
KT Rolster,Gen.G eSports,2,0,2024-02-14
FearX,Gen.G eSports,0,2,2024-02-04
Nongshim RedForce,Hanwha Life eSports,1,2,2024-02-04
T1,OK BRION,2,0,2024-02-03
DRX,KT Rolster,1,2,2024-02-03
Dplus KIA,Hanwha Life eSports,0,2,2024-02-02
Kwangdong Freecs,Gen.G eSports,0,2,2024-02-02
FearX,Nongshim RedForce,2,1,2024-02-01
T1,DRX,2,0,2024-02-01
KT Rolster,OK BRION,2,0,2024-01-31
Kwangdong Freecs,Dplus KIA,2,0,2024-01-31
Hanwha Life eSports,T1,0,2,2024-01-28
DRX,OK BRION,2,1,2024-01-28
Kwangdong Freecs,Nongshim RedForce,2,0,2024-01-27
Gen.G eSports,Dplus KIA,2,1,2024-01-27
FearX,DRX,2,1,2024-01-26
KT Rolster,T1,1,2,2024-01-26
OK BRION,Gen.G eSports,0,2,2024-01-25
Dplus KIA,Nongshim RedForce,2,0,2024-01-25
KT Rolster,Kwangdong Freecs,1,2,2024-01-24
FearX,Hanwha Life eSports,0,2,2024-01-24
Dplus KIA,KT Rolster,1,2,2024-01-21
Hanwha Life eSports,Kwangdong Freecs,2,0,2024-01-21
Nongshim RedForce,Gen.G eSports,0,2,2024-01-20
OK BRION,FearX,0,2,2024-01-20
T1,Kwangdong Freecs,2,0,2024-01-19
Hanwha Life eSports,DRX,2,0,2024-01-19
KT Rolster,FearX,2,0,2024-01-18
OK BRION,Dplus KIA,0,2,2024-01-18
Gen.G eSports,T1,2,1,2024-01-17
DRX,Nongshim RedForce,0,2,2024-01-17
