teamA,teamB,scoreA,scoreB,date
CTBC Flying Oyster,Team Secret Whales,2,1,2025-05-25
Fukuoka SoftBank HAWKS gaming,Chiefs Esports Club,2,1,2025-05-25
MGN Vikings Esports,PSG Talon,1,2,2025-05-24
GAM Esports,DetonatioN FocusMe,2,0,2025-05-24
CTBC Flying Oyster,Fukuoka SoftBank HAWKS gaming,2,0,2025-05-23
Chiefs Esports Club,Team Secret Whales,1,2,2025-05-23
GAM Esports,PSG Talon,1,2,2025-05-18
MGN Vikings Esports,DetonatioN FocusMe,2,0,2025-05-18
CTBC Flying Oyster,Chiefs Esports Club,2,0,2025-05-17
Team Secret Whales,Fukuoka SoftBank HAWKS gaming,2,0,2025-05-17
MGN Vikings Esports,GAM Esports,2,1,2025-05-16
PSG Talon,DetonatioN FocusMe,2,0,2025-05-16
CTBC Flying Oyster,DetonatioN FocusMe,2,0,2025-05-11
Team Secret Whales,MGN Vikings Esports,2,0,2025-05-11
Fukuoka SoftBank HAWKS gaming,PSG Talon,1,2,2025-05-10
GAM Esports,Chiefs Esports Club,2,0,2025-05-10
PSG Talon,Team Secret Whales,0,2,2025-05-04
MGN Vikings Esports,Chiefs Esports Club,2,1,2025-05-04
GAM Esports,CTBC Flying Oyster,0,2,2025-05-03
Fukuoka SoftBank HAWKS gaming,DetonatioN FocusMe,2,1,2025-05-03
CTBC Flying Oyster,MGN Vikings Esports,2,0,2025-04-27
Team Secret Whales,DetonatioN FocusMe,2,0,2025-04-27
GAM Esports,Fukuoka SoftBank HAWKS gaming,2,0,2025-04-26
Chiefs Esports Club,PSG Talon,0,2,2025-04-26
GAM Esports,Team Secret Whales,2,1,2025-04-20
DetonatioN FocusMe,Chiefs Esports Club,2,1,2025-04-20
PSG Talon,CTBC Flying Oyster,1,2,2025-04-19
Fukuoka SoftBank HAWKS gaming,MGN Vikings Esports,0,2,2025-04-19
