teamA,teamB,scoreA,scoreB,date
CTBC Flying Oyster,Team Secret Whales,3,0,2025-09-21
PSG Talon,Team Secret Whales,1,3,2025-09-20
Team Secret Whales,GAM Esports,3,0,2025-09-14
CTBC Flying Oyster,PSG Talon,3,1,2025-09-13
MGN Vikings Esports,Team Secret Whales,1,3,2025-09-12
MGN Vikings Esports,DetonatioN FocusMe,3,1,2025-09-07
GAM Esports,PSG Talon,0,2,2025-09-06
CTBC Flying Oyster,Team Secret Whales,2,1,2025-09-06
MGN Vikings Esports,PSG Talon,0,2,2025-09-05
DetonatioN FocusMe,Team Secret Whales,0,2,2025-09-05
