teamA,teamB,scoreA,scoreB,date
GAM Esports,Team Secret Whales,2,0,2025-08-24
DetonatioN FocusMe,Fukuoka SoftBank HAWKS gaming,2,0,2025-08-24
Team Secret Whales,MGN Vikings Esports,2,1,2025-08-23
Fukuoka SoftBank HAWKS gaming,Chiefs Esports Club,2,1,2025-08-23
CTBC Flying Oyster,GAM Esports,2,0,2025-08-22
PSG Talon,DetonatioN FocusMe,2,0,2025-08-22
Fukuoka SoftBank HAWKS gaming,DetonatioN FocusMe,1,2,2025-08-17
PSG Talon,Chiefs Esports Club,2,0,2025-08-17
Team Secret Whales,GAM Esports,0,2,2025-08-16
CTBC Flying Oyster,MGN Vikings Esports,2,1,2025-08-16
PSG Talon,MGN Vikings Esports,0,2,2025-08-15
GAM Esports,Fukuoka SoftBank HAWKS gaming,2,0,2025-08-15
Team Secret Whales,CTBC Flying Oyster,0,2,2025-08-10
DetonatioN FocusMe,Fukuoka SoftBank HAWKS gaming,1,2,2025-08-10
PSG Talon,GAM Esports,0,2,2025-08-09
Chiefs Esports Club,MGN Vikings Esports,1,2,2025-08-09
Team Secret Whales,GAM Esports,2,0,2025-08-03
MGN Vikings Esports,Fukuoka SoftBank HAWKS gaming,2,0,2025-08-03
PSG Talon,CTBC Flying Oyster,0,2,2025-08-02
DetonatioN FocusMe,Chiefs Esports Club,2,1,2025-08-02
GAM Esports,CTBC Flying Oyster,1,2,2025-07-27
Fukuoka SoftBank HAWKS gaming,Chiefs Esports Club,2,1,2025-07-27
PSG Talon,Team Secret Whales,0,2,2025-07-26
MGN Vikings Esports,DetonatioN FocusMe,2,0,2025-07-26
