teamA,teamB,scoreA,scoreB,date
NRG,Dignitas,0,1,2024-03-10
FlyQuest,Dignitas,1,0,2024-03-10
Cloud9,Shopify Rebellion,1,0,2024-03-10
NRG,100 Thieves,0,1,2024-03-10
Immortals,Team Liquid,0,1,2024-03-10
Shopify Rebellion,100 Thieves,0,1,2024-03-09
Team Liquid,Dignitas,0,1,2024-03-09
FlyQuest,NRG,1,0,2024-03-09
Immortals,Cloud9,1,0,2024-03-09
NRG,Shopify Rebellion,0,1,2024-03-08
100 Thieves,Immortals,1,0,2024-03-08
Team Liquid,FlyQuest,1,0,2024-03-08
Dignitas,Cloud9,0,1,2024-03-08
Dignitas,Shopify Rebellion,1,0,2024-03-03
Team Liquid,Cloud9,0,1,2024-03-03
Immortals,NRG,0,1,2024-03-03
FlyQuest,100 Thieves,1,0,2024-03-03
Shopify Rebellion,Immortals,1,0,2024-03-02
NRG,Team Liquid,1,0,2024-03-02
100 Thieves,Dignitas,1,0,2024-03-02
Cloud9,FlyQuest,1,0,2024-03-02
Dignitas,NRG,1,0,2024-02-11
100 Thieves,Cloud9,1,0,2024-02-11
FlyQuest,Immortals,1,0,2024-02-11
Team Liquid,Shopify Rebellion,1,0,2024-02-11
Immortals,Dignitas,0,1,2024-02-10
NRG,Cloud9,0,1,2024-02-10
100 Thieves,Team Liquid,1,0,2024-02-10
Shopify Rebellion,FlyQuest,1,0,2024-02-10
NRG,Immortals,0,1,2024-02-04
Shopify Rebellion,100 Thieves,0,1,2024-02-04
Team Liquid,Cloud9,1,0,2024-02-04
Dignitas,FlyQuest,0,1,2024-02-04
NRG,Shopify Rebellion,0,1,2024-02-03
Immortals,100 Thieves,0,1,2024-02-03
FlyQuest,Cloud9,1,0,2024-02-03
Dignitas,Team Liquid,0,1,2024-02-03
100 Thieves,FlyQuest,0,1,2024-02-02
Shopify Rebellion,Dignitas,0,1,2024-02-02
Team Liquid,NRG,0,1,2024-02-02
Cloud9,Immortals,0,1,2024-02-02
Team Liquid,Immortals,1,0,2024-01-28
NRG,FlyQuest,1,0,2024-01-28
Shopify Rebellion,Cloud9,1,0,2024-01-28
Dignitas,100 Thieves,0,1,2024-01-28
Immortals,Shopify Rebellion,1,0,2024-01-27
FlyQuest,Team Liquid,1,0,2024-01-27
100 Thieves,NRG,0,1,2024-01-27
Cloud9,Dignitas,1,0,2024-01-27
NRG,Dignitas,1,0,2024-01-21
Immortals,FlyQuest,0,1,2024-01-21
100 Thieves,Cloud9,0,1,2024-01-21
Team Liquid,Shopify Rebellion,1,0,2024-01-21
Dignitas,Immortals,1,0,2024-01-20
FlyQuest,Shopify Rebellion,1,0,2024-01-20
Cloud9,NRG,1,0,2024-01-20
Team Liquid,100 Thieves,0,1,2024-01-20
