teamA,teamB,scoreA,scoreB,date
Golden Guardians,Cloud9,0,1,2023-07-21
Dignitas,100 Thieves,1,0,2023-07-21
Cloud9,FlyQuest,1,0,2023-07-21
Team Liquid,Dignitas,1,0,2023-07-21
100 Thieves,Golden Guardians,0,1,2023-07-21
Evil Geniuses,TSM,1,0,2023-07-21
Immortals,NRG,1,0,2023-07-21
Golden Guardians,Dignitas,1,0,2023-07-20
Team Liquid,Evil Geniuses,0,1,2023-07-20
100 Thieves,NRG,1,0,2023-07-20
Cloud9,TSM,1,0,2023-07-20
FlyQuest,Immortals,1,0,2023-07-20
Dignitas,100 Thieves,1,0,2023-07-19
NRG,Cloud9,1,0,2023-07-19
FlyQuest,TSM,1,0,2023-07-19
Golden Guardians,Team Liquid,1,0,2023-07-19
Immortals,Evil Geniuses,0,1,2023-07-19
Dignitas,Immortals,0,1,2023-07-14
Golden Guardians,NRG,0,1,2023-07-14
Team Liquid,FlyQuest,1,0,2023-07-14
Cloud9,Evil Geniuses,1,0,2023-07-14
100 Thieves,TSM,1,0,2023-07-14
NRG,Dignitas,1,0,2023-07-13
Team Liquid,TSM,0,1,2023-07-13
Cloud9,100 Thieves,1,0,2023-07-13
Evil Geniuses,FlyQuest,0,1,2023-07-13
Immortals,Golden Guardians,0,1,2023-07-13
Dignitas,TSM,0,1,2023-07-12
FlyQuest,NRG,0,1,2023-07-12
Cloud9,Team Liquid,0,1,2023-07-12
Golden Guardians,Evil Geniuses,1,0,2023-07-12
100 Thieves,Immortals,0,1,2023-07-12
TSM,Golden Guardians,1,0,2023-07-07
Immortals,Cloud9,0,1,2023-07-07
Team Liquid,100 Thieves,1,0,2023-07-07
NRG,Evil Geniuses,1,0,2023-07-07
Dignitas,FlyQuest,1,0,2023-07-07
Team Liquid,Immortals,1,0,2023-07-06
FlyQuest,Golden Guardians,0,1,2023-07-06
Cloud9,Dignitas,1,0,2023-07-06
TSM,NRG,1,0,2023-07-06
Evil Geniuses,100 Thieves,1,0,2023-07-06
Immortals,TSM,0,1,2023-07-05
Dignitas,Evil Geniuses,0,1,2023-07-05
Golden Guardians,Cloud9,1,0,2023-07-05
100 Thieves,FlyQuest,1,0,2023-07-05
NRG,Team Liquid,1,0,2023-07-05
Immortals,FlyQuest,0,1,2023-06-30
100 Thieves,TSM,1,0,2023-06-30
Dignitas,NRG,1,0,2023-06-30
Team Liquid,Golden Guardians,0,1,2023-06-30
Cloud9,Evil Geniuses,1,0,2023-06-30
100 Thieves,Golden Guardians,0,1,2023-06-29
Evil Geniuses,Immortals,1,0,2023-06-29
Dignitas,TSM,1,0,2023-06-29
Team Liquid,Cloud9,1,0,2023-06-29
NRG,FlyQuest,0,1,2023-06-29
Cloud9,Immortals,1,0,2023-06-28
100 Thieves,Dignitas,1,0,2023-06-28
NRG,Golden Guardians,1,0,2023-06-28
FlyQuest,Team Liquid,1,0,2023-06-28
Evil Geniuses,TSM,1,0,2023-06-28
Cloud9,NRG,0,1,2023-06-23
FlyQuest,Dignitas,0,1,2023-06-23
Team Liquid,Evil Geniuses,0,1,2023-06-23
Immortals,100 Thieves,0,1,2023-06-23
Golden Guardians,TSM,1,0,2023-06-23
Evil Geniuses,FlyQuest,1,0,2023-06-22
Dignitas,Team Liquid,1,0,2023-06-22
100 Thieves,Cloud9,0,1,2023-06-22
Immortals,Golden Guardians,0,1,2023-06-22
NRG,TSM,0,1,2023-06-22
100 Thieves,Evil Geniuses,0,1,2023-06-21
Immortals,TSM,0,1,2023-06-21
Cloud9,FlyQuest,1,0,2023-06-21
Team Liquid,NRG,1,0,2023-06-21
Dignitas,Golden Guardians,0,1,2023-06-21
Cloud9,TSM,1,0,2023-06-16
NRG,100 Thieves,1,0,2023-06-16
Evil Geniuses,Dignitas,0,1,2023-06-16
FlyQuest,Golden Guardians,0,1,2023-06-16
Immortals,Team Liquid,0,1,2023-06-16
Golden Guardians,Evil Geniuses,0,1,2023-06-15
NRG,Immortals,0,1,2023-06-15
100 Thieves,Team Liquid,0,1,2023-06-15
FlyQuest,TSM,0,1,2023-06-15
Dignitas,Cloud9,0,1,2023-06-15
FlyQuest,100 Thieves,0,1,2023-06-14
Evil Geniuses,NRG,1,0,2023-06-14
Immortals,Dignitas,1,0,2023-06-14
Team Liquid,TSM,1,0,2023-06-14
Cloud9,Golden Guardians,1,0,2023-06-14
