teamA,teamB,scoreA,scoreB,date
G2 Esports,Karmine Corp,0,3,2025-03-02
Karmine Corp,Fnatic,3,2,2025-03-01
Fnatic,Movistar KOI,3,1,2025-02-28
Karmine Corp,G2 Esports,1,3,2025-02-24
Movistar KOI,GIANTX,2,0,2025-02-23
Fnatic,Team BDS,2,1,2025-02-23
Team Vitality,Team BDS,1,2,2025-02-22
GIANTX,Team Heretics,2,1,2025-02-22
Karmine Corp,Movistar KOI,2,0,2025-02-17
Fnatic,G2 Esports,0,2,2025-02-17
Karmine Corp,Team Vitality,2,0,2025-02-16
Movistar KOI,Team BDS,2,0,2025-02-16
G2 Esports,GIANTX,2,0,2025-02-15
Fnatic,Team Heretics,2,0,2025-02-15
