teamA,teamB,scoreA,scoreB,date
G2 Esports,Fnatic,3,1,2024-04-14
Team BDS,Fnatic,2,3,2024-04-13
Fnatic,Team Vitality,3,1,2024-04-08
G2 Esports,Team BDS,3,1,2024-04-07
Team Vitality,MAD Lions KOI,2,0,2024-04-06
Fnatic,Team Heretics,2,1,2024-04-06
GIANTX,MAD Lions KOI,1,2,2024-04-02
Team Heretics,SK Gaming,2,1,2024-04-02
Fnatic,G2 Esports,0,2,2024-04-01
Team Vitality,Team BDS,1,2,2024-04-01
G2 Esports,MAD Lions KOI,2,0,2024-03-31
Team Heretics,Team BDS,0,2,2024-03-31
Fnatic,GIANTX,2,0,2024-03-30
Team Vitality,SK Gaming,2,1,2024-03-30
