teamA,teamB,scoreA,scoreB,date
Rogue,SK Gaming,0,1,2024-03-25
Karmine Corp,Team BDS,0,1,2024-03-25
G2 Esports,Team Vitality,0,1,2024-03-25
Fnatic,MAD Lions KOI,0,1,2024-03-25
Rogue,SK Gaming,1,0,2024-03-25
Team Heretics,GIANTX,0,1,2024-03-25
Karmine Corp,Team Heretics,0,1,2024-03-23
Rogue,G2 Esports,1,0,2024-03-23
Team BDS,MAD Lions KOI,0,1,2024-03-23
Team Vitality,GIANTX,0,1,2024-03-23
SK Gaming,Fnatic,0,1,2024-03-23
Team Vitality,Karmine Corp,1,0,2024-03-22
MAD Lions KOI,Team Heretics,0,1,2024-03-22
G2 Esports,SK Gaming,1,0,2024-03-22
Team BDS,Fnatic,1,0,2024-03-22
GIANTX,Rogue,1,0,2024-03-22
SK Gaming,Karmine Corp,1,0,2024-03-18
Rogue,MAD Lions KOI,0,1,2024-03-18
G2 Esports,GIANTX,1,0,2024-03-18
Team Vitality,Fnatic,0,1,2024-03-18
Team BDS,Team Heretics,0,1,2024-03-18
Fnatic,G2 Esports,1,0,2024-03-17
Team Heretics,SK Gaming,1,0,2024-03-17
MAD Lions KOI,Karmine Corp,0,1,2024-03-17
Rogue,Team Vitality,0,1,2024-03-17
GIANTX,Team BDS,0,1,2024-03-17
Karmine Corp,Rogue,0,1,2024-03-16
MAD Lions KOI,Team Vitality,0,1,2024-03-16
G2 Esports,Team Heretics,1,0,2024-03-16
GIANTX,Fnatic,0,1,2024-03-16
SK Gaming,Team BDS,0,1,2024-03-16
G2 Esports,Karmine Corp,1,0,2024-03-11
Team Heretics,Fnatic,1,0,2024-03-11
GIANTX,MAD Lions KOI,1,0,2024-03-11
SK Gaming,Team Vitality,1,0,2024-03-11
Rogue,Team BDS,0,1,2024-03-11
MAD Lions KOI,G2 Esports,0,1,2024-03-10
GIANTX,SK Gaming,0,1,2024-03-10
Fnatic,Karmine Corp,1,0,2024-03-10
Team Heretics,Rogue,1,0,2024-03-10
Team Vitality,Team BDS,1,0,2024-03-10
MAD Lions KOI,SK Gaming,1,0,2024-03-09
Karmine Corp,GIANTX,1,0,2024-03-09
Team BDS,G2 Esports,0,1,2024-03-09
Fnatic,Rogue,1,0,2024-03-09
Team Vitality,Team Heretics,1,0,2024-03-09
