teamA,teamB,scoreA,scoreB,date
SK Gaming,Fnatic,0,1,2025-02-03
G2 Esports,Team Heretics,1,0,2025-02-03
Karmine Corp,Team BDS,0,1,2025-02-03
Movistar KOI,Rogue,1,0,2025-02-03
Team Vitality,GIANTX,1,0,2025-02-03
G2 Esports,Movistar KOI,1,0,2025-02-02
Team Heretics,Team Vitality,0,1,2025-02-02
Fnatic,Karmine Corp,1,0,2025-02-02
Team BDS,GIANTX,0,1,2025-02-02
Rogue,SK Gaming,0,1,2025-02-02
Team Vitality,Karmine Corp,0,1,2025-02-01
Team Heretics,Movistar KOI,1,0,2025-02-01
Rogue,G2 Esports,0,1,2025-02-01
GIANTX,Fnatic,0,1,2025-02-01
SK Gaming,Team BDS,0,1,2025-02-01
SK Gaming,Movistar KOI,0,1,2025-01-27
Karmine Corp,Team Heretics,1,0,2025-01-27
G2 Esports,GIANTX,1,0,2025-01-27
Fnatic,Team BDS,1,0,2025-01-27
Team Vitality,Rogue,1,0,2025-01-27
Team BDS,Movistar KOI,0,1,2025-01-26
Karmine Corp,Rogue,1,0,2025-01-26
Fnatic,G2 Esports,1,0,2025-01-26
SK Gaming,Team Vitality,0,1,2025-01-26
GIANTX,Team Heretics,1,0,2025-01-26
Karmine Corp,SK Gaming,1,0,2025-01-25
Team Vitality,G2 Esports,0,1,2025-01-25
GIANTX,Movistar KOI,0,1,2025-01-25
Team BDS,Team Heretics,0,1,2025-01-25
Rogue,Fnatic,0,1,2025-01-25
GIANTX,Karmine Corp,1,0,2025-01-20
G2 Esports,SK Gaming,1,0,2025-01-20
Movistar KOI,Team Vitality,1,0,2025-01-20
Team Heretics,Fnatic,0,1,2025-01-20
Team BDS,Rogue,1,0,2025-01-20
Fnatic,Team Vitality,1,0,2025-01-19
G2 Esports,Team BDS,0,1,2025-01-19
Movistar KOI,Karmine Corp,0,1,2025-01-19
Rogue,GIANTX,0,1,2025-01-19
Team Heretics,SK Gaming,1,0,2025-01-19
Karmine Corp,G2 Esports,1,0,2025-01-18
Movistar KOI,Fnatic,1,0,2025-01-18
GIANTX,SK Gaming,1,0,2025-01-18
Team Vitality,Team BDS,1,0,2025-01-18
Team Heretics,Rogue,0,1,2025-01-18
