teamA,teamB,scoreA,scoreB,date
SK Gaming,G2 Esports,0,1,2024-01-29
Fnatic,Team Heretics,1,0,2024-01-29
Team BDS,Karmine Corp,0,1,2024-01-29
GIANTX,Rogue,1,0,2024-01-29
Team Vitality,MAD Lions KOI,0,1,2024-01-29
Rogue,Team BDS,0,1,2024-01-28
Karmine Corp,SK Gaming,1,0,2024-01-28
Fnatic,G2 Esports,0,1,2024-01-28
GIANTX,MAD Lions KOI,1,0,2024-01-28
Team Heretics,Team Vitality,0,1,2024-01-28
Rogue,Karmine Corp,1,0,2024-01-27
G2 Esports,GIANTX,1,0,2024-01-27
MAD Lions KOI,Fnatic,1,0,2024-01-27
Team BDS,Team Heretics,1,0,2024-01-27
SK Gaming,Team Vitality,1,0,2024-01-27
Team Heretics,Karmine Corp,1,0,2024-01-22
Team Vitality,G2 Esports,1,0,2024-01-22
MAD Lions KOI,Rogue,1,0,2024-01-22
Fnatic,GIANTX,1,0,2024-01-22
SK Gaming,Team BDS,0,1,2024-01-22
Karmine Corp,Team Vitality,0,1,2024-01-21
GIANTX,SK Gaming,0,1,2024-01-21
G2 Esports,Team Heretics,1,0,2024-01-21
Rogue,Fnatic,0,1,2024-01-21
MAD Lions KOI,Team BDS,0,1,2024-01-21
Karmine Corp,GIANTX,0,1,2024-01-20
Team BDS,Fnatic,1,0,2024-01-20
G2 Esports,MAD Lions KOI,1,0,2024-01-20
Team Heretics,SK Gaming,1,0,2024-01-20
Team Vitality,Rogue,1,0,2024-01-20
SK Gaming,Fnatic,1,0,2024-01-15
Karmine Corp,MAD Lions KOI,0,1,2024-01-15
Team Heretics,GIANTX,1,0,2024-01-15
G2 Esports,Rogue,0,1,2024-01-15
Team Vitality,Team BDS,0,1,2024-01-15
Rogue,Team Heretics,0,1,2024-01-14
Fnatic,Team Vitality,1,0,2024-01-14
G2 Esports,Karmine Corp,1,0,2024-01-14
MAD Lions KOI,SK Gaming,0,1,2024-01-14
GIANTX,Team BDS,0,1,2024-01-14
MAD Lions KOI,Team Heretics,1,0,2024-01-13
Team Vitality,GIANTX,0,1,2024-01-13
Karmine Corp,Fnatic,0,1,2024-01-13
Rogue,SK Gaming,0,1,2024-01-13
Team BDS,G2 Esports,0,1,2024-01-13
