teamA,teamB,scoreA,scoreB,date
Crest Gaming Act,Sengoku Gaming,0,2,2023-03-26
AXIZ,Detonation FocusMe,1,2,2023-03-26
FENNEL,V3 Esports,2,0,2023-03-25
SoftBank Hawks Gaming,Burning Core,2,0,2023-03-25
Crest Gaming Act,AXIZ,1,2,2023-03-24
Burning Core,V3 Esports,2,0,2023-03-24
Sengoku Gaming,SoftBank Hawks Gaming,2,1,2023-03-21
Detonation FocusMe,FENNEL,2,0,2023-03-21
V3 Esports,Sengoku Gaming,0,2,2023-03-19
Detonation FocusMe,Burning Core,2,0,2023-03-19
AXIZ,SoftBank Hawks Gaming,0,2,2023-03-18
FENNEL,Crest Gaming Act,2,0,2023-03-18
V3 Esports,AXIZ,0,2,2023-03-17
Burning Core,Crest Gaming Act,2,1,2023-03-17
SoftBank Hawks Gaming,FENNEL,2,0,2023-03-12
Sengoku Gaming,Detonation FocusMe,1,2,2023-03-12
SoftBank Hawks Gaming,Crest Gaming Act,2,0,2023-03-11
FENNEL,AXIZ,2,1,2023-03-11
V3 Esports,Detonation FocusMe,0,2,2023-03-10
Sengoku Gaming,Burning Core,2,0,2023-03-10
Detonation FocusMe,Crest Gaming Act,2,0,2023-03-05
SoftBank Hawks Gaming,V3 Esports,2,0,2023-03-05
Burning Core,FENNEL,2,0,2023-03-04
AXIZ,Sengoku Gaming,1,2,2023-03-04
Detonation FocusMe,SoftBank Hawks Gaming,2,0,2023-03-03
Burning Core,AXIZ,2,0,2023-03-03
Crest Gaming Act,V3 Esports,2,0,2023-02-26
Sengoku Gaming,FENNEL,2,1,2023-02-26
AXIZ,Crest Gaming Act,2,1,2023-02-25
FENNEL,Detonation FocusMe,1,2,2023-02-25
SoftBank Hawks Gaming,Sengoku Gaming,1,2,2023-02-24
V3 Esports,Burning Core,1,2,2023-02-24
Detonation FocusMe,AXIZ,2,0,2023-02-23
SoftBank Hawks Gaming,Burning Core,2,1,2023-02-23
V3 Esports,FENNEL,1,2,2023-02-19
Sengoku Gaming,Crest Gaming Act,2,0,2023-02-19
Burning Core,Detonation FocusMe,0,2,2023-02-18
SoftBank Hawks Gaming,AXIZ,2,1,2023-02-18
Sengoku Gaming,V3 Esports,2,0,2023-02-17
FENNEL,Crest Gaming Act,2,1,2023-02-17
Burning Core,AXIZ,2,1,2023-02-12
FENNEL,Sengoku Gaming,1,2,2023-02-12
SoftBank Hawks Gaming,Detonation FocusMe,2,1,2023-02-11
V3 Esports,Crest Gaming Act,0,2,2023-02-11
Burning Core,Sengoku Gaming,0,2,2023-02-10
FENNEL,AXIZ,2,0,2023-02-10
Detonation FocusMe,V3 Esports,2,0,2023-02-05
Crest Gaming Act,SoftBank Hawks Gaming,1,2,2023-02-05
Burning Core,FENNEL,0,2,2023-02-04
AXIZ,Sengoku Gaming,0,2,2023-02-04
Crest Gaming Act,Detonation FocusMe,0,2,2023-02-03
V3 Esports,SoftBank Hawks Gaming,0,2,2023-02-03
FENNEL,SoftBank Hawks Gaming,0,2,2023-01-29
AXIZ,V3 Esports,2,0,2023-01-29
Burning Core,Crest Gaming Act,1,2,2023-01-28
Detonation FocusMe,Sengoku Gaming,0,2,2023-01-28
