teamA,teamB,scoreA,scoreB,date
Burning Core Toyama,AXIZ CREST,0,2,2024-07-14
SoftBank Hawks Gaming,Sengoku Gaming,2,0,2024-07-14
Detonation FocusMe,V3 Esports,1,1,2024-07-14
Burning Core Toyama,V3 Esports,1,1,2024-07-13
Sengoku Gaming,Detonation FocusMe,0,2,2024-07-13
SoftBank Hawks Gaming,AXIZ CREST,2,0,2024-07-13
Detonation FocusMe,AXIZ CREST,2,0,2024-06-30
SoftBank Hawks Gaming,Burning Core Toyama,2,0,2024-06-30
V3 Esports,Sengoku Gaming,0,2,2024-06-30
SoftBank Hawks Gaming,Detonation FocusMe,1,1,2024-06-29
V3 Esports,AXIZ CREST,1,1,2024-06-29
Sengoku Gaming,Burning Core Toyama,1,1,2024-06-29
Detonation FocusMe,Burning Core Toyama,2,0,2024-06-23
SoftBank Hawks Gaming,V3 Esports,2,0,2024-06-23
AXIZ CREST,Sengoku Gaming,1,1,2024-06-23
Burning Core Toyama,AXIZ CREST,1,1,2024-06-22
Sengoku Gaming,SoftBank Hawks Gaming,0,2,2024-06-22
V3 Esports,Detonation FocusMe,0,2,2024-06-22
V3 Esports,Burning Core Toyama,1,1,2024-06-16
Detonation FocusMe,Sengoku Gaming,2,0,2024-06-16
AXIZ CREST,SoftBank Hawks Gaming,0,2,2024-06-16
Detonation FocusMe,AXIZ CREST,2,0,2024-06-15
SoftBank Hawks Gaming,Burning Core Toyama,2,0,2024-06-15
Sengoku Gaming,V3 Esports,1,1,2024-06-15
SoftBank Hawks Gaming,Detonation FocusMe,2,0,2024-06-08
V3 Esports,AXIZ CREST,0,2,2024-06-08
Burning Core Toyama,Sengoku Gaming,0,2,2024-06-08
Burning Core Toyama,Detonation FocusMe,0,2,2024-06-07
SoftBank Hawks Gaming,V3 Esports,2,0,2024-06-07
AXIZ CREST,Sengoku Gaming,1,1,2024-06-07
