teamA,teamB,scoreA,scoreB,date
Anyone s Legend,Bilibili Gaming,3,1,2025-06-14
Bilibili Gaming,Invictus Gaming,3,1,2025-06-13
Team WE,Invictus Gaming,0,3,2025-06-11
Anyone s Legend,Bilibili Gaming,3,2,2025-06-09
Top Esports,Team WE,2,3,2025-06-08
Weibo Gaming,Invictus Gaming,1,3,2025-06-07
Team WE,JD Gaming,3,1,2025-06-05
Funplus Phoenix,Invictus Gaming,2,3,2025-06-04
Anyone s Legend,Weibo Gaming,3,1,2025-06-03
Top Esports,Bilibili Gaming,0,3,2025-06-02
JD Gaming,Weibo Gaming,2,3,2025-06-01
Anyone s Legend,Team WE,3,0,2025-06-01
Bilibili Gaming,Invictus Gaming,3,0,2025-05-31
Top Esports,Funplus Phoenix,3,1,2025-05-31
Weibo Gaming,TT,3,0,2025-05-27
Team WE,LGD Gaming,3,1,2025-05-26
Funplus Phoenix,Ninjas in Pyjamas,3,2,2025-05-25
Invictus Gaming,Edward Gaming,3,0,2025-05-24
