teamA,teamB,scoreA,scoreB,date
JD Gaming,Bilibili Gaming,3,1,2023-04-15
Edward Gaming,Bilibili Gaming,2,3,2023-04-11
Edward Gaming,JD Gaming,0,3,2023-04-09
Bilibili Gaming,OMG,3,2,2023-04-08
Edward Gaming,OMG,3,1,2023-04-06
JD Gaming,Bilibili Gaming,3,2,2023-04-05
LNG Esports,OMG,1,3,2023-04-04
Weibo Gaming,Bilibili Gaming,0,3,2023-04-03
OMG,Top Esports,3,2,2023-04-02
Royal Never Give Up,Bilibili Gaming,1,3,2023-04-01
Top Esports,Team WE,3,1,2023-03-31
TT,Royal Never Give Up,1,3,2023-03-30
