teamA,teamB,scoreA,scoreB,date
Weibo Gaming,Edward Gaming,2,0,2023-07-17
Royal Never Give Up,LGD Gaming,2,0,2023-07-17
Anyone s Legend,OMG,0,2,2023-07-17
Rare Atom,OMG,0,2,2023-07-16
TT,JD Gaming,0,2,2023-07-16
Team WE,Bilibili Gaming,0,2,2023-07-16
Ultra Prime,Invictus Gaming,1,2,2023-07-15
Ninjas in Pyjamas,LNG Esports,0,2,2023-07-15
Team WE,Funplus Phoenix,0,2,2023-07-15
Royal Never Give Up,Weibo Gaming,1,2,2023-07-14
Anyone s Legend,Top Esports,0,2,2023-07-14
LGD Gaming,Ultra Prime,1,2,2023-07-14
OMG,Edward Gaming,2,1,2023-07-13
Invictus Gaming,Weibo Gaming,2,0,2023-07-13
JD Gaming,Rare Atom,2,0,2023-07-13
Bilibili Gaming,Royal Never Give Up,2,1,2023-07-12
Funplus Phoenix,Ninjas in Pyjamas,2,0,2023-07-12
LNG Esports,TT,2,1,2023-07-12
Team WE,JD Gaming,0,2,2023-07-11
Ultra Prime,Top Esports,0,2,2023-07-11
Ninjas in Pyjamas,Rare Atom,2,0,2023-07-10
LNG Esports,LGD Gaming,2,1,2023-07-10
Invictus Gaming,JD Gaming,2,1,2023-07-09
Edward Gaming,Funplus Phoenix,2,1,2023-07-09
Weibo Gaming,Anyone s Legend,2,0,2023-07-09
OMG,TT,0,2,2023-07-08
Team WE,Royal Never Give Up,1,2,2023-07-08
Bilibili Gaming,Ninjas in Pyjamas,2,0,2023-07-08
Top Esports,OMG,2,1,2023-07-07
Weibo Gaming,Ultra Prime,2,0,2023-07-07
LGD Gaming,Edward Gaming,0,2,2023-07-07
TT,Invictus Gaming,2,0,2023-07-06
Team WE,Rare Atom,2,0,2023-07-06
Anyone s Legend,LNG Esports,0,2,2023-07-06
Bilibili Gaming,Top Esports,2,0,2023-07-05
Ultra Prime,OMG,0,2,2023-07-05
Funplus Phoenix,JD Gaming,0,2,2023-07-05
Edward Gaming,TT,1,2,2023-07-04
Weibo Gaming,Team WE,1,2,2023-07-04
