teamA,teamB,scoreA,scoreB,date
Invictus Gaming,Weibo Gaming,0,2,2024-06-29
Ultra Prime,Ninjas in Pyjamas,0,2,2024-06-29
JD Gaming,Edward Gaming,2,0,2024-06-28
Funplus Phoenix,TT,2,0,2024-06-28
LGD Gaming,Bilibili Gaming,2,1,2024-06-27
Royal Never Give Up,Team WE,2,1,2024-06-27
LNG Esports,OMG,2,1,2024-06-26
Top Esports,Rare Atom,2,0,2024-06-26
Weibo Gaming,Anyone s Legend,0,2,2024-06-25
Invictus Gaming,Ultra Prime,2,0,2024-06-25
JD Gaming,Funplus Phoenix,2,0,2024-06-24
TT,Edward Gaming,2,0,2024-06-24
Top Esports,LNG Esports,2,1,2024-06-23
Anyone s Legend,Invictus Gaming,2,0,2024-06-23
Bilibili Gaming,Royal Never Give Up,2,0,2024-06-22
Team WE,LGD Gaming,0,2,2024-06-22
Ninjas in Pyjamas,Weibo Gaming,2,0,2024-06-21
Ultra Prime,Anyone s Legend,1,2,2024-06-21
OMG,Rare Atom,0,2,2024-06-20
Edward Gaming,Funplus Phoenix,1,2,2024-06-20
TT,JD Gaming,1,2,2024-06-19
Ninjas in Pyjamas,Invictus Gaming,2,0,2024-06-19
Bilibili Gaming,Team WE,2,0,2024-06-18
LGD Gaming,Royal Never Give Up,2,0,2024-06-18
Anyone s Legend,Ninjas in Pyjamas,2,1,2024-06-17
Weibo Gaming,Ultra Prime,0,2,2024-06-17
OMG,Top Esports,0,2,2024-06-16
Rare Atom,LNG Esports,0,2,2024-06-16
Funplus Phoenix,JD Gaming,0,2,2024-06-15
Edward Gaming,TT,2,0,2024-06-15
Invictus Gaming,Ninjas in Pyjamas,2,1,2024-06-14
Royal Never Give Up,LGD Gaming,1,2,2024-06-14
Team WE,Bilibili Gaming,1,2,2024-06-13
Anyone s Legend,Weibo Gaming,0,2,2024-06-13
Top Esports,OMG,2,0,2024-06-12
LNG Esports,Rare Atom,1,2,2024-06-12
Ninjas in Pyjamas,Ultra Prime,2,0,2024-06-11
Invictus Gaming,Anyone s Legend,0,2,2024-06-11
Bilibili Gaming,LGD Gaming,2,0,2024-06-10
Funplus Phoenix,Edward Gaming,0,2,2024-06-10
Ultra Prime,Weibo Gaming,2,1,2024-06-08
Ninjas in Pyjamas,Anyone s Legend,0,2,2024-06-08
LNG Esports,Top Esports,0,2,2024-06-07
JD Gaming,TT,2,0,2024-06-07
Royal Never Give Up,Bilibili Gaming,0,2,2024-06-06
Rare Atom,OMG,2,1,2024-06-06
Edward Gaming,JD Gaming,0,2,2024-06-05
LGD Gaming,Team WE,0,2,2024-06-05
TT,Funplus Phoenix,1,2,2024-06-04
Anyone s Legend,Ultra Prime,2,0,2024-06-04
Weibo Gaming,Invictus Gaming,2,1,2024-06-03
OMG,LNG Esports,0,2,2024-06-03
Rare Atom,Top Esports,0,2,2024-06-02
Team WE,Royal Never Give Up,2,0,2024-06-02
Weibo Gaming,Ninjas in Pyjamas,1,2,2024-06-01
Ultra Prime,Invictus Gaming,2,1,2024-06-01
