teamA,teamB,scoreA,scoreB,date
Bilibili Gaming,Weibo Gaming,3,0,2024-08-30
Top Esports,Weibo Gaming,2,3,2024-08-24
LNG Esports,Weibo Gaming,2,3,2024-08-22
Top Esports,Bilibili Gaming,1,3,2024-08-21
LNG Esports,Top Esports,0,3,2024-08-18
Bilibili Gaming,Weibo Gaming,3,0,2024-08-17
Top Esports,Anyone s Legend,3,1,2024-08-16
Weibo Gaming,Ninjas in Pyjamas,3,1,2024-08-15
Anyone s Legend,Funplus Phoenix,3,1,2024-08-13
JD Gaming,Ninjas in Pyjamas,2,3,2024-08-12
Funplus Phoenix,TT,3,2,2024-08-11
LGD Gaming,Ninjas in Pyjamas,1,3,2024-08-10
OMG,TT,0,3,2024-08-05
Ninjas in Pyjamas,Rare Atom,3,0,2024-08-04
LGD Gaming,Invictus Gaming,3,2,2024-08-03
