teamA,teamB,scoreA,scoreB,date
100 Thieves,Disguised,2,0,2025-05-18
Team Liquid,Shopify Rebellion,2,0,2025-05-18
LYON,Dignitas,1,2,2025-05-17
Cloud9,FlyQuest,0,2,2025-05-17
Disguised,LYON,0,2,2025-05-11
FlyQuest,Dignitas,2,0,2025-05-11
Shopify Rebellion,100 Thieves,2,1,2025-05-10
Cloud9,Team Liquid,2,0,2025-05-10
100 Thieves,Dignitas,2,0,2025-05-04
LYON,Cloud9,1,2,2025-05-04
Team Liquid,Disguised,2,0,2025-05-03
FlyQuest,Shopify Rebellion,2,1,2025-05-03
Dignitas,Shopify Rebellion,2,1,2025-04-27
Cloud9,Disguised,2,0,2025-04-27
Team Liquid,LYON,2,0,2025-04-26
100 Thieves,FlyQuest,0,2,2025-04-26
100 Thieves,Shopify Rebellion,1,0,2025-04-21
Disguised,Team Liquid,1,0,2025-04-21
LYON,Cloud9,0,1,2025-04-21
FlyQuest,Dignitas,1,0,2025-04-21
Dignitas,Disguised,1,0,2025-04-20
Team Liquid,Shopify Rebellion,1,0,2025-04-20
Cloud9,FlyQuest,1,0,2025-04-20
LYON,100 Thieves,0,1,2025-04-20
Disguised,Shopify Rebellion,0,1,2025-04-19
Dignitas,100 Thieves,0,1,2025-04-19
Cloud9,Team Liquid,1,0,2025-04-19
FlyQuest,LYON,1,0,2025-04-19
Cloud9,Dignitas,1,0,2025-04-13
Team Liquid,LYON,1,0,2025-04-13
Shopify Rebellion,FlyQuest,0,1,2025-04-13
100 Thieves,Disguised,1,0,2025-04-13
LYON,Shopify Rebellion,1,0,2025-04-12
Dignitas,Team Liquid,0,1,2025-04-12
100 Thieves,FlyQuest,0,1,2025-04-12
Cloud9,Disguised,1,0,2025-04-12
LYON,Dignitas,1,0,2025-04-06
Disguised,FlyQuest,0,1,2025-04-06
Team Liquid,100 Thieves,1,0,2025-04-06
Shopify Rebellion,Cloud9,0,1,2025-04-06
Disguised,LYON,0,1,2025-04-05
Cloud9,100 Thieves,0,1,2025-04-05
Shopify Rebellion,Dignitas,1,0,2025-04-05
Team Liquid,FlyQuest,0,1,2025-04-05
