teamA,teamB,scoreA,scoreB,date
RED Canids,Vivo Keyd Stars,0,3,2025-09-07
paiN Gaming,RED Canids,0,3,2025-09-06
RED Canids,LOUD,3,2,2025-09-05
paiN Gaming,Vivo Keyd Stars,1,3,2025-08-31
FURIA,LOUD,0,3,2025-08-30
RED Canids,Leviatan,3,1,2025-08-29
Isurus,Leviatan,2,3,2025-08-24
LOUD,Fluxo,3,0,2025-08-23
paiN Gaming,RED Canids,3,1,2025-08-17
Vivo Keyd Stars,FURIA,3,0,2025-08-16
paiN Gaming,RED Canids,0,2,2025-08-10
Fluxo,Leviatan,0,2,2025-08-10
LOUD,Isurus,2,0,2025-08-09
Vivo Keyd Stars,FURIA,1,2,2025-08-09
LOUD,RED Canids,1,2,2025-08-03
Leviatan,Vivo Keyd Stars,0,2,2025-08-03
Fluxo,Isurus,1,2,2025-08-02
paiN Gaming,FURIA,2,1,2025-08-02
LOUD,Vivo Keyd Stars,1,2,2025-07-27
Isurus,RED Canids,1,2,2025-07-27
paiN Gaming,Leviatan,2,0,2025-07-26
FURIA,Fluxo,2,0,2025-07-26
