teamA,teamB,scoreA,scoreB,date
PSG Talon,Frank Esports,3,0,2023-04-09
CTBC Flying Oyster,Frank Esports,1,3,2023-04-08
PSG Talon,CTBC Flying Oyster,3,2,2023-04-06
Impunity,Beyond Gaming,3,2,2023-04-02
Frank Esports,Deep Cross Gaming,3,2,2023-04-01
PSG Talon,Impunity,3,2,2023-03-31
Frank Esports,CTBC Flying Oyster,2,3,2023-03-30
Team Bliss,Deep Cross Gaming,0,3,2023-03-26
Chief Esports Club,Beyond Gaming,1,3,2023-03-25
Team Bliss,Impunity,0,3,2023-03-24
CTBC Flying Oyster,Chief Esports Club,3,0,2023-03-23
