teamA,teamB,scoreA,scoreB,date
PSG Talon,SoftBank Hawks Gaming,3,1,2024-09-01
SoftBank Hawks Gaming,Frank Esports,3,1,2024-08-31
Frank Esports,CTBC Flying Oyster,3,1,2024-08-24
PSG Talon,SoftBank Hawks Gaming,3,0,2024-08-23
CTBC Flying Oyster,Deep Cross Gaming,3,0,2024-08-21
Frank Esports,Detonation FocusMe,3,0,2024-08-20
Deep Cross Gaming,SoftBank Hawks Gaming,2,3,2024-08-18
PSG Talon,Frank Esports,3,0,2024-08-17
Frank Esports,CTBC Flying Oyster,3,2,2024-08-15
Detonation FocusMe,Deep Cross Gaming,1,3,2024-08-14
Ground Zero Gaming,Frank Esports,0,3,2024-08-11
Ground Zero Gaming,J Team,2,1,2024-08-10
Frank Esports,Team Bliss,2,1,2024-08-10
Ground Zero Gaming,Sengoku Gaming,2,0,2024-08-08
CTBC Flying Oyster,J Team,2,0,2024-08-08
Frank Esports,West Point Esports,2,1,2024-08-07
Detonation FocusMe,Team Bliss,2,0,2024-08-07
Sengoku Gaming,CTBC Flying Oyster,1,2,2024-08-06
Ground Zero Gaming,J Team,1,2,2024-08-06
Frank Esports,Team Bliss,1,2,2024-08-05
Detonation FocusMe,West Point Esports,2,0,2024-08-05
