teamA,teamB,scoreA,scoreB,date
GAM Esports,Vikings Esports,0,2,2024-08-04
Cerberus Esports,Team Secret,0,2,2024-08-04
Team Whales,MGN Blue Esports,0,2,2024-08-04
GAM Esports,Team Secret,2,0,2024-08-03
Team Flash,Vikings Esports,0,2,2024-08-03
MGN Blue Esports,Cerberus Esports,2,0,2024-08-03
Team Flash,Team Secret,2,0,2024-08-02
MGN Blue Esports,Team Whales,1,2,2024-08-02
Cerberus Esports,Vikings Esports,1,2,2024-08-02
Team Flash,GAM Esports,0,2,2024-08-01
Team Secret,MGN Blue Esports,2,0,2024-08-01
Team Whales,Cerberus Esports,2,0,2024-08-01
Vikings Esports,MGN Blue Esports,2,1,2024-07-31
Team Flash,Team Whales,2,1,2024-07-31
Team Secret,Team Whales,2,0,2024-07-28
Team Flash,GAM Esports,0,2,2024-07-28
MGN Blue Esports,Cerberus Esports,0,2,2024-07-28
Team Flash,Team Secret,1,2,2024-07-27
MGN Blue Esports,GAM Esports,1,2,2024-07-27
Vikings Esports,Cerberus Esports,2,0,2024-07-27
Team Whales,GAM Esports,0,2,2024-07-19
Vikings Esports,Team Secret,2,0,2024-07-19
Team Flash,MGN Blue Esports,2,1,2024-07-18
Cerberus Esports,Team Whales,0,2,2024-07-18
GAM Esports,Team Secret,0,2,2024-07-14
Team Flash,Cerberus Esports,2,1,2024-07-14
MGN Blue Esports,Vikings Esports,0,2,2024-07-13
Team Secret,Team Whales,2,0,2024-07-13
GAM Esports,Cerberus Esports,2,0,2024-07-12
Team Flash,Vikings Esports,0,2,2024-07-12
MGN Blue Esports,GAM Esports,1,2,2024-06-30
Vikings Esports,Team Whales,2,1,2024-06-30
Cerberus Esports,Team Flash,2,1,2024-06-29
MGN Blue Esports,Team Secret,0,2,2024-06-29
GAM Esports,Vikings Esports,2,1,2024-06-28
Team Whales,Team Flash,2,0,2024-06-28
Team Whales,GAM Esports,0,2,2024-06-23
Team Secret,Vikings Esports,0,2,2024-06-23
GAM Esports,Cerberus Esports,2,1,2024-06-22
MGN Blue Esports,Team Flash,2,0,2024-06-22
Team Whales,Vikings Esports,0,2,2024-06-21
Cerberus Esports,Team Secret,1,2,2024-06-21
