teamA,teamB,scoreA,scoreB,date
Los Grandes,FURIA Esports,0,1,2023-03-19
Fluxo,RED Canids,0,1,2023-03-19
Vivo Keyd Stars,INTZ e-Sports,1,0,2023-03-19
LOUD,Liberty,1,0,2023-03-19
paiN Gaming,KaBuM! e-Sports,1,0,2023-03-19
RED Canids,FURIA Esports,0,1,2023-03-18
KaBuM! e-Sports,Vivo Keyd Stars,1,0,2023-03-18
INTZ e-Sports,Fluxo,1,0,2023-03-18
paiN Gaming,Liberty,1,0,2023-03-18
LOUD,Los Grandes,1,0,2023-03-18
Vivo Keyd Stars,Fluxo,0,1,2023-03-12
INTZ e-Sports,LOUD,0,1,2023-03-12
Liberty,RED Canids,0,1,2023-03-12
FURIA Esports,paiN Gaming,0,1,2023-03-12
KaBuM! e-Sports,Los Grandes,0,1,2023-03-12
paiN Gaming,INTZ e-Sports,1,0,2023-03-11
Los Grandes,Liberty,1,0,2023-03-11
RED Canids,KaBuM! e-Sports,1,0,2023-03-11
Fluxo,FURIA Esports,0,1,2023-03-11
LOUD,Vivo Keyd Stars,1,0,2023-03-11
Fluxo,paiN Gaming,0,1,2023-03-05
Liberty,Vivo Keyd Stars,0,1,2023-03-05
Los Grandes,INTZ e-Sports,1,0,2023-03-05
LOUD,RED Canids,1,0,2023-03-05
FURIA Esports,KaBuM! e-Sports,0,1,2023-03-05
paiN Gaming,Los Grandes,1,0,2023-03-04
KaBuM! e-Sports,Fluxo,0,1,2023-03-04
FURIA Esports,LOUD,0,1,2023-03-04
Vivo Keyd Stars,RED Canids,0,1,2023-03-04
INTZ e-Sports,Liberty,1,0,2023-03-04
KaBuM! e-Sports,INTZ e-Sports,0,1,2023-02-26
Los Grandes,Vivo Keyd Stars,0,1,2023-02-26
RED Canids,paiN Gaming,1,0,2023-02-26
Liberty,FURIA Esports,0,1,2023-02-26
Fluxo,LOUD,1,0,2023-02-26
INTZ e-Sports,FURIA Esports,0,1,2023-02-25
Liberty,Fluxo,0,1,2023-02-25
RED Canids,Los Grandes,0,1,2023-02-25
LOUD,KaBuM! e-Sports,1,0,2023-02-25
Vivo Keyd Stars,paiN Gaming,0,1,2023-02-25
KaBuM! e-Sports,Liberty,0,1,2023-02-19
paiN Gaming,LOUD,1,0,2023-02-19
FURIA Esports,Vivo Keyd Stars,1,0,2023-02-19
Fluxo,Los Grandes,1,0,2023-02-19
INTZ e-Sports,RED Canids,1,0,2023-02-19
Liberty,LOUD,0,1,2023-02-18
INTZ e-Sports,Vivo Keyd Stars,0,1,2023-02-18
KaBuM! e-Sports,paiN Gaming,0,1,2023-02-18
RED Canids,Fluxo,0,1,2023-02-18
FURIA Esports,Los Grandes,0,1,2023-02-18
Liberty,paiN Gaming,1,0,2023-02-12
Fluxo,INTZ e-Sports,1,0,2023-02-12
FURIA Esports,RED Canids,1,0,2023-02-12
Los Grandes,LOUD,1,0,2023-02-12
Vivo Keyd Stars,KaBuM! e-Sports,0,1,2023-02-12
LOUD,INTZ e-Sports,1,0,2023-02-11
Los Grandes,KaBuM! e-Sports,1,0,2023-02-11
paiN Gaming,FURIA Esports,1,0,2023-02-11
Fluxo,Vivo Keyd Stars,1,0,2023-02-11
RED Canids,Liberty,1,0,2023-02-11
KaBuM! e-Sports,RED Canids,1,0,2023-02-05
Vivo Keyd Stars,LOUD,0,1,2023-02-05
Liberty,Los Grandes,0,1,2023-02-05
INTZ e-Sports,paiN Gaming,1,0,2023-02-05
FURIA Esports,Fluxo,0,1,2023-02-05
RED Canids,LOUD,1,0,2023-02-04
INTZ e-Sports,Los Grandes,0,1,2023-02-04
KaBuM! e-Sports,FURIA Esports,1,0,2023-02-04
Vivo Keyd Stars,Liberty,0,1,2023-02-04
paiN Gaming,Fluxo,1,0,2023-02-04
Fluxo,KaBuM! e-Sports,0,1,2023-01-29
LOUD,FURIA Esports,0,1,2023-01-29
RED Canids,Vivo Keyd Stars,1,0,2023-01-29
Los Grandes,paiN Gaming,1,0,2023-01-29
Liberty,INTZ e-Sports,0,1,2023-01-29
Vivo Keyd Stars,Los Grandes,0,1,2023-01-28
paiN Gaming,RED Canids,0,1,2023-01-28
FURIA Esports,Liberty,1,0,2023-01-28
INTZ e-Sports,KaBuM! e-Sports,0,1,2023-01-28
LOUD,Fluxo,0,1,2023-01-28
Fluxo,Liberty,0,1,2023-01-22
KaBuM! e-Sports,LOUD,0,1,2023-01-22
paiN Gaming,Vivo Keyd Stars,1,0,2023-01-22
FURIA Esports,INTZ e-Sports,0,1,2023-01-22
Los Grandes,RED Canids,0,1,2023-01-22
Vivo Keyd Stars,FURIA Esports,1,0,2023-01-21
RED Canids,INTZ e-Sports,1,0,2023-01-21
Los Grandes,Fluxo,1,0,2023-01-21
Liberty,KaBuM! e-Sports,1,0,2023-01-21
LOUD,paiN Gaming,1,0,2023-01-21
