teamA,teamB,scoreA,scoreB,date
Dplus KIA,KT Rolster,1,2,2025-06-04
Dplus KIA,Nongshim RedForce,2,1,2025-06-01
Hanwha Life eSports,BNK FearX,2,0,2025-06-01
OK BRION,Gen.G eSports,0,2,2025-05-31
KT Rolster,DRX,2,0,2025-05-31
Dplus KIA,DN Freecs,2,1,2025-05-30
Nongshim RedForce,T1,2,0,2025-05-30
KT Rolster,Gen.G eSports,1,2,2025-05-29
DRX,OK BRION,2,1,2025-05-29
T1,Hanwha Life eSports,0,2,2025-05-28
BNK FearX,DN Freecs,2,1,2025-05-28
BNK FearX,KT Rolster,1,2,2025-05-25
OK BRION,Nongshim RedForce,1,2,2025-05-25
DN Freecs,T1,0,2,2025-05-24
Hanwha Life eSports,Dplus KIA,1,2,2025-05-24
Nongshim RedForce,KT Rolster,1,2,2025-05-23
Gen.G eSports,DRX,2,0,2025-05-23
T1,BNK FearX,2,0,2025-05-22
OK BRION,Dplus KIA,2,0,2025-05-22
DN Freecs,DRX,0,2,2025-05-21
Gen.G eSports,Hanwha Life eSports,2,1,2025-05-21
Gen.G eSports,T1,2,0,2025-05-18
Hanwha Life eSports,DN Freecs,2,0,2025-05-18
KT Rolster,OK BRION,2,1,2025-05-17
DRX,Nongshim RedForce,1,2,2025-05-17
DN Freecs,Gen.G eSports,0,2,2025-05-16
Dplus KIA,BNK FearX,2,0,2025-05-16
T1,OK BRION,2,1,2025-05-15
KT Rolster,Hanwha Life eSports,2,1,2025-05-15
DRX,Dplus KIA,1,2,2025-05-14
BNK FearX,Nongshim RedForce,1,2,2025-05-14
Hanwha Life eSports,DRX,2,0,2025-05-11
Nongshim RedForce,DN Freecs,1,2,2025-05-11
Gen.G eSports,BNK FearX,2,0,2025-05-10
Dplus KIA,T1,0,2,2025-05-10
OK BRION,Hanwha Life eSports,0,2,2025-05-09
DN Freecs,KT Rolster,0,2,2025-05-09
Nongshim RedForce,Gen.G eSports,0,2,2025-05-08
T1,DRX,2,0,2025-05-08
Dplus KIA,KT Rolster,0,2,2025-05-07
BNK FearX,OK BRION,2,1,2025-05-07
DN Freecs,OK BRION,1,2,2025-05-04
KT Rolster,T1,0,2,2025-05-04
DRX,BNK FearX,2,0,2025-05-03
Gen.G eSports,Dplus KIA,2,0,2025-05-03
Hanwha Life eSports,Nongshim RedForce,2,0,2025-05-02
T1,DN Freecs,2,0,2025-05-02
OK BRION,DRX,1,2,2025-05-01
Gen.G eSports,KT Rolster,2,0,2025-05-01
BNK FearX,Hanwha Life eSports,0,2,2025-04-30
Nongshim RedForce,Dplus KIA,2,1,2025-04-30
Dplus KIA,Hanwha Life eSports,1,2,2025-04-27
OK BRION,T1,2,1,2025-04-27
DRX,Gen.G eSports,0,2,2025-04-26
DN Freecs,BNK FearX,1,2,2025-04-26
T1,Dplus KIA,2,1,2025-04-25
KT Rolster,Nongshim RedForce,0,2,2025-04-25
Hanwha Life eSports,OK BRION,2,0,2025-04-24
Gen.G eSports,DN Freecs,2,0,2025-04-24
Nongshim RedForce,BNK FearX,2,0,2025-04-23
DRX,KT Rolster,0,2,2025-04-23
KT Rolster,DN Freecs,2,0,2025-04-20
Dplus KIA,DRX,2,1,2025-04-20
Nongshim RedForce,Hanwha Life eSports,0,2,2025-04-19
Gen.G eSports,OK BRION,2,0,2025-04-19
DN Freecs,Dplus KIA,0,2,2025-04-18
BNK FearX,T1,2,1,2025-04-18
OK BRION,KT Rolster,2,1,2025-04-17
DRX,Hanwha Life eSports,0,2,2025-04-17
BNK FearX,Gen.G eSports,1,2,2025-04-16
T1,Nongshim RedForce,2,1,2025-04-16
Nongshim RedForce,DRX,2,1,2025-04-13
Dplus KIA,Gen.G eSports,1,2,2025-04-13
KT Rolster,BNK FearX,2,1,2025-04-12
Hanwha Life eSports,T1,2,0,2025-04-12
Gen.G eSports,Nongshim RedForce,2,0,2025-04-11
OK BRION,DN Freecs,2,1,2025-04-11
T1,KT Rolster,2,0,2025-04-10
BNK FearX,DRX,2,0,2025-04-10
Dplus KIA,OK BRION,2,0,2025-04-09
DN Freecs,Hanwha Life eSports,1,2,2025-04-09
T1,Gen.G eSports,1,2,2025-04-06
KT Rolster,Dplus KIA,0,2,2025-04-06
DN Freecs,Nongshim RedForce,0,2,2025-04-05
OK BRION,BNK FearX,1,2,2025-04-05
DRX,T1,0,2,2025-04-04
Hanwha Life eSports,KT Rolster,2,1,2025-04-04
BNK FearX,Dplus KIA,1,2,2025-04-03
Nongshim RedForce,OK BRION,2,0,2025-04-03
DRX,DN Freecs,2,0,2025-04-02
Hanwha Life eSports,Gen.G eSports,0,2,2025-04-02
