teamA,teamB,scoreA,scoreB,date
KT Rolster,Liiv SANDBOX,2,0,2023-08-06
DRX,Kwangdong Freecs,2,0,2023-08-06
BRION,Gen.G eSports,2,0,2023-08-05
Dplus KIA,Hanwha Life eSports,0,2,2023-08-05
Nongshim RedForce,KT Rolster,1,2,2023-08-04
T1,Liiv SANDBOX,2,1,2023-08-04
Hanwha Life eSports,Gen.G eSports,0,2,2023-08-03
DRX,BRION,2,0,2023-08-03
Nongshim RedForce,Dplus KIA,0,2,2023-08-02
T1,Kwangdong Freecs,2,0,2023-08-02
Gen.G eSports,Dplus KIA,2,0,2023-07-30
Nongshim RedForce,BRION,2,1,2023-07-30
DRX,Hanwha Life eSports,0,2,2023-07-29
KT Rolster,T1,2,0,2023-07-29
BRION,Liiv SANDBOX,0,2,2023-07-28
Dplus KIA,Kwangdong Freecs,2,0,2023-07-28
Hanwha Life eSports,Nongshim RedForce,2,0,2023-07-27
T1,DRX,1,2,2023-07-27
Kwangdong Freecs,KT Rolster,0,2,2023-07-26
Gen.G eSports,Liiv SANDBOX,2,0,2023-07-26
Liiv SANDBOX,DRX,2,0,2023-07-23
T1,BRION,1,2,2023-07-23
Nongshim RedForce,Kwangdong Freecs,2,1,2023-07-22
Gen.G eSports,KT Rolster,0,2,2023-07-22
Hanwha Life eSports,T1,2,0,2023-07-21
BRION,Dplus KIA,1,2,2023-07-21
DRX,Nongshim RedForce,1,2,2023-07-20
Kwangdong Freecs,Gen.G eSports,0,2,2023-07-20
Liiv SANDBOX,Hanwha Life eSports,0,2,2023-07-19
Dplus KIA,KT Rolster,0,2,2023-07-19
KT Rolster,DRX,2,1,2023-07-16
Dplus KIA,T1,2,0,2023-07-16
Hanwha Life eSports,BRION,2,1,2023-07-15
Kwangdong Freecs,Liiv SANDBOX,0,2,2023-07-15
DRX,Gen.G eSports,0,2,2023-07-14
T1,Nongshim RedForce,2,0,2023-07-14
BRION,Kwangdong Freecs,2,1,2023-07-13
Hanwha Life eSports,KT Rolster,1,2,2023-07-13
Gen.G eSports,Nongshim RedForce,2,0,2023-07-12
Liiv SANDBOX,Dplus KIA,0,2,2023-07-12
Kwangdong Freecs,Hanwha Life eSports,0,2,2023-07-09
KT Rolster,BRION,2,0,2023-07-09
Nongshim RedForce,Liiv SANDBOX,2,0,2023-07-08
T1,Gen.G eSports,0,2,2023-07-08
BRION,KT Rolster,0,2,2023-07-07
Dplus KIA,DRX,2,0,2023-07-07
Liiv SANDBOX,Gen.G eSports,0,2,2023-07-06
Nongshim RedForce,Hanwha Life eSports,0,2,2023-07-06
DRX,T1,2,0,2023-07-05
Dplus KIA,Kwangdong Freecs,2,0,2023-07-05
T1,Nongshim RedForce,2,1,2023-07-02
Gen.G eSports,Hanwha Life eSports,2,0,2023-07-02
Kwangdong Freecs,Liiv SANDBOX,2,0,2023-07-01
BRION,DRX,2,1,2023-07-01
T1,Dplus KIA,2,0,2023-06-30
KT Rolster,Nongshim RedForce,2,0,2023-06-30
DRX,Liiv SANDBOX,2,1,2023-06-29
Gen.G eSports,BRION,2,0,2023-06-29
KT Rolster,Kwangdong Freecs,2,0,2023-06-28
Hanwha Life eSports,Dplus KIA,0,2,2023-06-28
BRION,Hanwha Life eSports,0,2,2023-06-25
Nongshim RedForce,DRX,1,2,2023-06-25
T1,KT Rolster,0,2,2023-06-24
Dplus KIA,Gen.G eSports,1,2,2023-06-24
Hanwha Life eSports,Liiv SANDBOX,2,1,2023-06-23
Kwangdong Freecs,Nongshim RedForce,2,0,2023-06-23
KT Rolster,Dplus KIA,2,0,2023-06-22
Gen.G eSports,DRX,2,0,2023-06-22
Kwangdong Freecs,T1,0,2,2023-06-21
Liiv SANDBOX,BRION,2,1,2023-06-21
Dplus KIA,Nongshim RedForce,2,0,2023-06-18
Liiv SANDBOX,KT Rolster,0,2,2023-06-18
BRION,T1,0,2,2023-06-17
Hanwha Life eSports,Kwangdong Freecs,2,0,2023-06-17
DRX,KT Rolster,0,2,2023-06-16
Nongshim RedForce,Gen.G eSports,0,2,2023-06-16
Dplus KIA,BRION,1,2,2023-06-15
T1,Liiv SANDBOX,2,0,2023-06-15
Gen.G eSports,Kwangdong Freecs,2,0,2023-06-14
Hanwha Life eSports,DRX,2,0,2023-06-14
Gen.G eSports,T1,2,1,2023-06-11
DRX,Dplus KIA,1,2,2023-06-11
Kwangdong Freecs,BRION,2,0,2023-06-10
Liiv SANDBOX,Nongshim RedForce,2,0,2023-06-10
Hanwha Life eSports,T1,1,2,2023-06-09
KT Rolster,Gen.G eSports,1,2,2023-06-09
BRION,Nongshim RedForce,1,2,2023-06-08
Kwangdong Freecs,DRX,2,0,2023-06-08
Dplus KIA,Liiv SANDBOX,2,0,2023-06-07
KT Rolster,Hanwha Life eSports,2,1,2023-06-07
