teamA,teamB,scoreA,scoreB,date
PSG Talon,MGN Vikings Esports,2,1,2025-02-16
CTBC Flying Oyster,Chiefs Esports Club,2,0,2025-02-16
Team Secret Whales,GAM Esports,2,0,2025-02-15
DetonatioN FocusMe,Fukuoka SoftBank HAWKS gaming,0,2,2025-02-15
CTBC Flying Oyster,PSG Talon,2,1,2025-02-14
Chiefs Esports Club,MGN Vikings Esports,0,2,2025-02-14
GAM Esports,DetonatioN FocusMe,2,0,2025-02-13
Fukuoka SoftBank HAWKS gaming,Team Secret Whales,0,2,2025-02-13
PSG Talon,GAM Esports,2,1,2025-02-09
Chiefs Esports Club,Fukuoka SoftBank HAWKS gaming,0,2,2025-02-09
MGN Vikings Esports,DetonatioN FocusMe,2,1,2025-02-08
CTBC Flying Oyster,Team Secret Whales,1,2,2025-02-08
Chiefs Esports Club,GAM Esports,0,2,2025-02-07
Fukuoka SoftBank HAWKS gaming,PSG Talon,0,2,2025-02-07
MGN Vikings Esports,Team Secret Whales,2,0,2025-02-06
CTBC Flying Oyster,DetonatioN FocusMe,2,0,2025-02-06
PSG Talon,DetonatioN FocusMe,2,0,2025-01-26
Chiefs Esports Club,Team Secret Whales,0,2,2025-01-26
GAM Esports,CTBC Flying Oyster,1,2,2025-01-25
Fukuoka SoftBank HAWKS gaming,MGN Vikings Esports,0,2,2025-01-25
PSG Talon,Team Secret Whales,2,0,2025-01-24
Chiefs Esports Club,DetonatioN FocusMe,1,2,2025-01-24
Fukuoka SoftBank HAWKS gaming,CTBC Flying Oyster,0,2,2025-01-19
GAM Esports,MGN Vikings Esports,0,2,2025-01-19
PSG Talon,Chiefs Esports Club,2,0,2025-01-18
Team Secret Whales,DetonatioN FocusMe,2,0,2025-01-18
Fukuoka SoftBank HAWKS gaming,GAM Esports,1,2,2025-01-17
CTBC Flying Oyster,MGN Vikings Esports,2,1,2025-01-17
