teamA,teamB,scoreA,scoreB,date
CLG,100 Thieves,0,1,2023-03-17
Evil Geniuses,100 Thieves,0,1,2023-03-17
FlyQuest,Cloud9,0,1,2023-03-17
100 Thieves,Immortals,1,0,2023-03-17
Dignitas,Golden Guardians,1,0,2023-03-17
Evil Geniuses,Team Liquid,0,1,2023-03-17
FlyQuest,TSM,1,0,2023-03-17
CLG,Cloud9,1,0,2023-03-17
TSM,Dignitas,1,0,2023-03-16
Cloud9,Immortals,1,0,2023-03-16
CLG,Team Liquid,1,0,2023-03-16
FlyQuest,Golden Guardians,1,0,2023-03-16
100 Thieves,Evil Geniuses,1,0,2023-03-16
Golden Guardians,CLG,0,1,2023-03-15
Evil Geniuses,Immortals,0,1,2023-03-15
100 Thieves,TSM,1,0,2023-03-15
Team Liquid,Dignitas,1,0,2023-03-15
Cloud9,FlyQuest,1,0,2023-03-15
Golden Guardians,TSM,1,0,2023-03-10
Dignitas,100 Thieves,0,1,2023-03-10
Evil Geniuses,CLG,1,0,2023-03-10
FlyQuest,Immortals,1,0,2023-03-10
Cloud9,Team Liquid,1,0,2023-03-10
CLG,Dignitas,0,1,2023-03-09
TSM,Immortals,1,0,2023-03-09
Cloud9,Evil Geniuses,1,0,2023-03-09
100 Thieves,Golden Guardians,1,0,2023-03-09
FlyQuest,Team Liquid,0,1,2023-03-09
Immortals,Golden Guardians,0,1,2023-03-03
Team Liquid,TSM,0,1,2023-03-03
Evil Geniuses,FlyQuest,1,0,2023-03-03
Cloud9,Dignitas,1,0,2023-03-03
CLG,100 Thieves,1,0,2023-03-03
Dignitas,Immortals,0,1,2023-03-02
Golden Guardians,Team Liquid,0,1,2023-03-02
100 Thieves,Cloud9,0,1,2023-03-02
TSM,Evil Geniuses,0,1,2023-03-02
FlyQuest,CLG,1,0,2023-03-02
Immortals,CLG,0,1,2023-02-24
Golden Guardians,Evil Geniuses,1,0,2023-02-24
100 Thieves,Team Liquid,1,0,2023-02-24
Dignitas,FlyQuest,0,1,2023-02-24
TSM,Cloud9,0,1,2023-02-24
Evil Geniuses,Dignitas,0,1,2023-02-23
CLG,TSM,1,0,2023-02-23
Cloud9,Golden Guardians,0,1,2023-02-23
Team Liquid,Immortals,1,0,2023-02-23
FlyQuest,100 Thieves,1,0,2023-02-23
Golden Guardians,100 Thieves,1,0,2023-02-17
Dignitas,TSM,0,1,2023-02-17
Cloud9,Team Liquid,1,0,2023-02-17
Immortals,Evil Geniuses,0,1,2023-02-17
CLG,FlyQuest,0,1,2023-02-17
Golden Guardians,Dignitas,1,0,2023-02-16
TSM,FlyQuest,1,0,2023-02-16
100 Thieves,CLG,0,1,2023-02-16
Immortals,Cloud9,0,1,2023-02-16
Evil Geniuses,Team Liquid,1,0,2023-02-16
TSM,Golden Guardians,0,1,2023-02-15
Dignitas,Cloud9,0,1,2023-02-15
Team Liquid,CLG,0,1,2023-02-15
FlyQuest,Immortals,1,0,2023-02-15
Evil Geniuses,100 Thieves,1,0,2023-02-15
Golden Guardians,Immortals,1,0,2023-02-10
Dignitas,Team Liquid,0,1,2023-02-10
Evil Geniuses,Cloud9,1,0,2023-02-10
TSM,CLG,1,0,2023-02-10
100 Thieves,FlyQuest,0,1,2023-02-10
Immortals,Dignitas,1,0,2023-02-09
CLG,Golden Guardians,0,1,2023-02-09
Team Liquid,100 Thieves,0,1,2023-02-09
FlyQuest,Evil Geniuses,1,0,2023-02-09
Cloud9,TSM,1,0,2023-02-09
CLG,Immortals,0,1,2023-02-03
Team Liquid,Golden Guardians,1,0,2023-02-03
TSM,100 Thieves,0,1,2023-02-03
Dignitas,Evil Geniuses,0,1,2023-02-03
FlyQuest,Cloud9,1,0,2023-02-03
Evil Geniuses,TSM,1,0,2023-02-02
Immortals,Team Liquid,0,1,2023-02-02
100 Thieves,Dignitas,1,0,2023-02-02
Golden Guardians,FlyQuest,0,1,2023-02-02
Cloud9,CLG,1,0,2023-02-02
FlyQuest,Dignitas,1,0,2023-01-27
100 Thieves,Immortals,1,0,2023-01-27
Team Liquid,TSM,0,1,2023-01-27
Golden Guardians,Cloud9,0,1,2023-01-27
CLG,Evil Geniuses,1,0,2023-01-27
Immortals,TSM,0,1,2023-01-26
CLG,Dignitas,1,0,2023-01-26
Team Liquid,FlyQuest,0,1,2023-01-26
Evil Geniuses,Golden Guardians,1,0,2023-01-26
Cloud9,100 Thieves,1,0,2023-01-26
