teamA,teamB,scoreA,scoreB,date
Team Heretics,Team Vitality,1,0,2025-05-13
Rogue,Movistar KOI,0,2,2025-05-12
Team Heretics,GIANTX,0,2,2025-05-12
G2 Esports,Karmine Corp,1,2,2025-05-11
SK Gaming,Team Vitality,0,2,2025-05-11
Team Vitality,Karmine Corp,1,2,2025-05-10
SK Gaming,G2 Esports,0,2,2025-05-10
Movistar KOI,SK Gaming,2,0,2025-05-05
Fnatic,Team Heretics,2,0,2025-05-05
G2 Esports,Team Vitality,2,0,2025-05-04
GIANTX,Team BDS,2,0,2025-05-04
Karmine Corp,Rogue,2,0,2025-05-03
Fnatic,Team BDS,2,0,2025-05-03
Team Vitality,Team BDS,2,1,2025-04-28
SK Gaming,Team Heretics,0,2,2025-04-28
Movistar KOI,GIANTX,2,1,2025-04-27
G2 Esports,Fnatic,1,2,2025-04-27
Movistar KOI,Fnatic,2,1,2025-04-26
GIANTX,G2 Esports,2,1,2025-04-26
Team Vitality,Movistar KOI,2,0,2025-04-21
SK Gaming,Rogue,1,2,2025-04-21
Team BDS,G2 Esports,2,0,2025-04-20
Team Heretics,Team Vitality,2,0,2025-04-20
Karmine Corp,GIANTX,2,1,2025-04-19
Fnatic,Rogue,2,0,2025-04-19
Team Heretics,Karmine Corp,1,2,2025-04-14
GIANTX,SK Gaming,0,2,2025-04-14
Team BDS,Movistar KOI,0,2,2025-04-13
Team Vitality,Fnatic,0,2,2025-04-13
Karmine Corp,SK Gaming,2,0,2025-04-12
Rogue,G2 Esports,0,2,2025-04-12
Team Heretics,Team BDS,2,1,2025-04-12
Movistar KOI,Team Heretics,2,0,2025-04-07
GIANTX,Rogue,2,0,2025-04-07
Karmine Corp,Fnatic,1,2,2025-04-06
Team BDS,SK Gaming,2,0,2025-04-06
G2 Esports,Team Heretics,2,0,2025-04-05
Team BDS,Karmine Corp,0,2,2025-04-05
Rogue,Team Vitality,2,0,2025-04-05
SK Gaming,Fnatic,2,0,2025-03-31
Team BDS,Rogue,2,1,2025-03-31
Karmine Corp,Movistar KOI,2,1,2025-03-30
GIANTX,Team Vitality,0,2,2025-03-30
G2 Esports,Movistar KOI,2,1,2025-03-29
Rogue,Team Heretics,0,2,2025-03-29
Fnatic,GIANTX,2,0,2025-03-29
