teamA,teamB,scoreA,scoreB,date
Natus Vincere,GIANTX,0,2,2025-08-26
Team Vitality,Movistar KOI,0,2,2025-08-26
Team BDS,Team Heretics,1,2,2025-08-25
SK Gaming,G2 Esports,0,2,2025-08-25
G2 Esports,Team BDS,2,0,2025-08-18
Karmine Corp,Team Vitality,1,2,2025-08-18
Fnatic,G2 Esports,0,2,2025-08-17
Team Vitality,Natus Vincere,2,0,2025-08-17
Team Heretics,SK Gaming,1,2,2025-08-16
Movistar KOI,Natus Vincere,2,0,2025-08-16
Karmine Corp,Movistar KOI,2,1,2025-08-10
Fnatic,Team BDS,2,0,2025-08-10
Movistar KOI,GIANTX,2,1,2025-08-09
G2 Esports,Team Heretics,2,0,2025-08-09
GIANTX,Team Vitality,2,0,2025-08-04
SK Gaming,Fnatic,0,2,2025-08-04
GIANTX,Karmine Corp,1,2,2025-08-03
Team BDS,SK Gaming,2,0,2025-08-03
Team Heretics,Fnatic,1,2,2025-08-02
Natus Vincere,Karmine Corp,0,2,2025-08-02
