teamA,teamB,scoreA,scoreB,date
SK Gaming,Fnatic,1,0,2023-07-03
Team Heretics,G2 Esports,0,1,2023-07-03
KOI,Astralis,1,0,2023-07-03
Team Vitality,Excel Esports,0,1,2023-07-03
Team BDS,MAD Lions,1,0,2023-07-03
SK Gaming,MAD Lions,1,0,2023-07-02
Team BDS,Team Vitality,1,0,2023-07-02
Team Heretics,Fnatic,0,1,2023-07-02
G2 Esports,KOI,1,0,2023-07-02
Excel Esports,Astralis,1,0,2023-07-02
MAD Lions,Team Heretics,0,1,2023-07-01
Fnatic,Team BDS,1,0,2023-07-01
Excel Esports,G2 Esports,0,1,2023-07-01
Team Vitality,KOI,0,1,2023-07-01
Astralis,SK Gaming,1,0,2023-07-01
Fnatic,Team Vitality,1,0,2023-06-26
KOI,SK Gaming,0,1,2023-06-26
G2 Esports,Astralis,1,0,2023-06-26
MAD Lions,Excel Esports,0,1,2023-06-26
Team BDS,Team Heretics,0,1,2023-06-26
MAD Lions,Fnatic,0,1,2023-06-25
G2 Esports,SK Gaming,1,0,2023-06-25
Team Heretics,KOI,0,1,2023-06-25
Astralis,Team Vitality,1,0,2023-06-25
Excel Esports,Team BDS,1,0,2023-06-25
Astralis,MAD Lions,0,1,2023-06-24
Team Vitality,G2 Esports,0,1,2023-06-24
KOI,Fnatic,0,1,2023-06-24
Excel Esports,Team Heretics,1,0,2023-06-24
SK Gaming,Team BDS,0,1,2023-06-24
Team Heretics,Team Vitality,1,0,2023-06-19
G2 Esports,Fnatic,1,0,2023-06-19
MAD Lions,KOI,1,0,2023-06-19
Team BDS,Astralis,0,1,2023-06-19
Excel Esports,SK Gaming,0,1,2023-06-19
Astralis,Team Heretics,0,1,2023-06-18
Team BDS,KOI,1,0,2023-06-18
MAD Lions,G2 Esports,1,0,2023-06-18
Fnatic,Excel Esports,1,0,2023-06-18
Team Vitality,SK Gaming,1,0,2023-06-18
Fnatic,Astralis,1,0,2023-06-17
G2 Esports,Team BDS,1,0,2023-06-17
KOI,Excel Esports,1,0,2023-06-17
SK Gaming,Team Heretics,0,1,2023-06-17
Team Vitality,MAD Lions,0,1,2023-06-17
