teamA,teamB,scoreA,scoreB,date
Fnatic,G2 Esports,0,3,2024-07-28
G2 Esports,Team BDS,3,1,2024-07-27
Team BDS,Karmine Corp,3,2,2024-07-26
SK Gaming,Karmine Corp,1,2,2024-07-23
Team BDS,GIANTX,2,1,2024-07-23
G2 Esports,Fnatic,2,3,2024-07-22
Karmine Corp,MAD Lions KOI,2,0,2024-07-21
Team Heretics,GIANTX,1,2,2024-07-21
G2 Esports,Team BDS,2,0,2024-07-14
SK Gaming,Fnatic,0,2,2024-07-14
G2 Esports,Karmine Corp,2,0,2024-07-13
Fnatic,GIANTX,2,1,2024-07-13
Team BDS,MAD Lions KOI,2,1,2024-07-12
SK Gaming,Team Heretics,2,0,2024-07-12
