teamA,teamB,scoreA,scoreB,date
MAD Lions KOI,Team Vitality,1,0,2024-06-30
MAD Lions KOI,Rogue,1,0,2024-06-30
GIANTX,Karmine Corp,0,1,2024-06-30
Team Heretics,G2 Esports,0,1,2024-06-30
Team BDS,Fnatic,1,0,2024-06-30
MAD Lions KOI,Rogue,1,0,2024-06-30
Team Vitality,SK Gaming,0,1,2024-06-30
MAD Lions KOI,Team BDS,0,1,2024-06-29
SK Gaming,Karmine Corp,1,0,2024-06-29
G2 Esports,Team Vitality,1,0,2024-06-29
Rogue,GIANTX,0,1,2024-06-29
Fnatic,Team Heretics,0,1,2024-06-29
Karmine Corp,Team Vitality,1,0,2024-06-23
SK Gaming,MAD Lions KOI,1,0,2024-06-23
Fnatic,G2 Esports,0,1,2024-06-23
GIANTX,Team BDS,0,1,2024-06-23
Rogue,Team Heretics,1,0,2024-06-23
MAD Lions KOI,Fnatic,0,1,2024-06-22
G2 Esports,Karmine Corp,1,0,2024-06-22
Team Vitality,GIANTX,0,1,2024-06-22
Team Heretics,SK Gaming,0,1,2024-06-22
Team BDS,Rogue,1,0,2024-06-22
Karmine Corp,Team BDS,0,1,2024-06-16
SK Gaming,Fnatic,0,1,2024-06-16
GIANTX,MAD Lions KOI,1,0,2024-06-16
Rogue,G2 Esports,0,1,2024-06-16
Team Vitality,Team Heretics,1,0,2024-06-16
G2 Esports,GIANTX,1,0,2024-06-15
Team Heretics,Karmine Corp,1,0,2024-06-15
MAD Lions KOI,Team Vitality,0,1,2024-06-15
Fnatic,Rogue,1,0,2024-06-15
Team BDS,SK Gaming,0,1,2024-06-15
Team Heretics,MAD Lions KOI,0,1,2024-06-10
Rogue,Karmine Corp,0,1,2024-06-10
Team BDS,G2 Esports,1,0,2024-06-10
GIANTX,SK Gaming,0,1,2024-06-10
Fnatic,Team Vitality,1,0,2024-06-10
G2 Esports,SK Gaming,0,1,2024-06-09
Fnatic,GIANTX,1,0,2024-06-09
Karmine Corp,MAD Lions KOI,1,0,2024-06-09
Rogue,Team Vitality,1,0,2024-06-09
Team BDS,Team Heretics,1,0,2024-06-09
Karmine Corp,Fnatic,0,1,2024-06-08
MAD Lions KOI,G2 Esports,0,1,2024-06-08
Team Vitality,Team BDS,0,1,2024-06-08
SK Gaming,Rogue,1,0,2024-06-08
Team Heretics,GIANTX,1,0,2024-06-08
