teamA,teamB,scoreA,scoreB,date
Team Vitality,Excel Esports,1,0,2023-02-06
MAD Lions,G2 Esports,1,0,2023-02-06
SK Gaming,Fnatic,1,0,2023-02-06
KOI,Astralis,1,0,2023-02-06
Team BDS,Team Heretics,1,0,2023-02-06
G2 Esports,KOI,1,0,2023-02-05
Astralis,Fnatic,1,0,2023-02-05
Team Heretics,MAD Lions,0,1,2023-02-05
Team BDS,Team Vitality,0,1,2023-02-05
SK Gaming,Excel Esports,1,0,2023-02-05
KOI,Team Vitality,1,0,2023-02-04
Fnatic,MAD Lions,0,1,2023-02-04
G2 Esports,Team BDS,1,0,2023-02-04
Excel Esports,Team Heretics,0,1,2023-02-04
Astralis,SK Gaming,1,0,2023-02-04
Fnatic,Team Heretics,0,1,2023-01-30
G2 Esports,Team Vitality,0,1,2023-01-30
SK Gaming,KOI,1,0,2023-01-30
Team BDS,MAD Lions,1,0,2023-01-30
Excel Esports,Astralis,0,1,2023-01-30
KOI,MAD Lions,0,1,2023-01-29
Excel Esports,Fnatic,0,1,2023-01-29
Team Heretics,G2 Esports,0,1,2023-01-29
Team Vitality,SK Gaming,0,1,2023-01-29
Astralis,Team BDS,0,1,2023-01-29
MAD Lions,Excel Esports,1,0,2023-01-28
SK Gaming,G2 Esports,1,0,2023-01-28
Team Heretics,KOI,1,0,2023-01-28
Fnatic,Team BDS,0,1,2023-01-28
Team Vitality,Astralis,1,0,2023-01-28
MAD Lions,Team Vitality,0,1,2023-01-23
KOI,Fnatic,0,1,2023-01-23
G2 Esports,Astralis,1,0,2023-01-23
Team BDS,Excel Esports,0,1,2023-01-23
Team Heretics,SK Gaming,0,1,2023-01-23
Fnatic,G2 Esports,0,1,2023-01-22
Excel Esports,KOI,0,1,2023-01-22
Team Vitality,Team Heretics,1,0,2023-01-22
Astralis,MAD Lions,0,1,2023-01-22
SK Gaming,Team BDS,0,1,2023-01-22
Team Vitality,Fnatic,1,0,2023-01-21
MAD Lions,SK Gaming,1,0,2023-01-21
Astralis,Team Heretics,0,1,2023-01-21
KOI,Team BDS,1,0,2023-01-21
Excel Esports,G2 Esports,0,1,2023-01-21
