teamA,teamB,scoreA,scoreB,date
G2 Esports,MAD Lions KOI,3,1,2024-02-18
Team BDS,MAD Lions KOI,2,3,2024-02-17
MAD Lions KOI,Fnatic,3,2,2024-02-16
SK Gaming,Fnatic,1,2,2024-02-12
MAD Lions KOI,Team Vitality,2,0,2024-02-12
G2 Esports,Team BDS,3,0,2024-02-11
SK Gaming,Team Heretics,2,1,2024-02-10
MAD Lions KOI,GIANTX,2,0,2024-02-10
G2 Esports,Fnatic,2,1,2024-02-05
Team BDS,Team Vitality,2,0,2024-02-05
MAD Lions KOI,Fnatic,0,2,2024-02-04
SK Gaming,Team Vitality,0,2,2024-02-04
G2 Esports,GIANTX,2,0,2024-02-03
Team BDS,Team Heretics,2,0,2024-02-03
