teamA,teamB,scoreA,scoreB,date
Detonation FocusMe,Sengoku Gaming,2,0,2024-02-18
AXIZ CREST,SoftBank Hawks Gaming,0,2,2024-02-18
V3 Esports,Burning Core Toyama,1,1,2024-02-18
AXIZ CREST,Burning Core Toyama,2,0,2024-02-17
Sengoku Gaming,SoftBank Hawks Gaming,0,2,2024-02-17
V3 Esports,Detonation FocusMe,0,2,2024-02-17
AXIZ CREST,Detonation FocusMe,0,2,2024-02-11
Sengoku Gaming,V3 Esports,1,1,2024-02-11
Burning Core Toyama,SoftBank Hawks Gaming,0,2,2024-02-11
V3 Esports,SoftBank Hawks Gaming,0,2,2024-02-10
Burning Core Toyama,Detonation FocusMe,0,2,2024-02-10
AXIZ CREST,Sengoku Gaming,1,1,2024-02-10
V3 Esports,AXIZ CREST,1,1,2024-02-04
Detonation FocusMe,SoftBank Hawks Gaming,1,1,2024-02-04
Burning Core Toyama,Sengoku Gaming,1,1,2024-02-04
Detonation FocusMe,Sengoku Gaming,2,0,2024-02-03
SoftBank Hawks Gaming,AXIZ CREST,1,1,2024-02-03
Burning Core Toyama,V3 Esports,0,2,2024-02-03
Burning Core Toyama,AXIZ CREST,0,2,2024-01-28
Sengoku Gaming,SoftBank Hawks Gaming,0,2,2024-01-28
Detonation FocusMe,V3 Esports,2,0,2024-01-28
AXIZ CREST,Detonation FocusMe,0,2,2024-01-27
Sengoku Gaming,V3 Esports,2,0,2024-01-27
SoftBank Hawks Gaming,Burning Core Toyama,2,0,2024-01-27
SoftBank Hawks Gaming,V3 Esports,2,0,2024-01-21
Detonation FocusMe,Burning Core Toyama,2,0,2024-01-21
AXIZ CREST,Sengoku Gaming,0,2,2024-01-21
AXIZ CREST,V3 Esports,0,2,2024-01-20
SoftBank Hawks Gaming,Detonation FocusMe,0,2,2024-01-20
Burning Core Toyama,Sengoku Gaming,1,1,2024-01-20
