teamA,teamB,scoreA,scoreB,date
Detonation FocusMe,Sengoku Gaming,2,0,2023-07-16
SoftBank Hawks Gaming,Burning Core,2,0,2023-07-16
AXIZ,FENNEL,1,2,2023-07-15
V3 Esports,Crest Gaming Act,0,2,2023-07-15
SoftBank Hawks Gaming,AXIZ,2,0,2023-07-14
Sengoku Gaming,Crest Gaming Act,2,1,2023-07-14
FENNEL,Burning Core,2,1,2023-07-09
Detonation FocusMe,V3 Esports,2,0,2023-07-09
FENNEL,SoftBank Hawks Gaming,2,1,2023-07-08
AXIZ,Sengoku Gaming,2,1,2023-07-08
Detonation FocusMe,Crest Gaming Act,,,2023-07-07
V3 Esports,Burning Core,0,2,2023-07-07
SoftBank Hawks Gaming,Sengoku Gaming,2,0,2023-07-02
AXIZ,Crest Gaming Act,1,2,2023-07-02
Burning Core,Detonation FocusMe,1,2,2023-07-01
FENNEL,V3 Esports,2,0,2023-07-01
Burning Core,AXIZ,2,0,2023-06-30
FENNEL,Detonation FocusMe,0,2,2023-06-30
Sengoku Gaming,FENNEL,2,1,2023-06-18
Crest Gaming Act,SoftBank Hawks Gaming,0,2,2023-06-18
Detonation FocusMe,AXIZ,2,0,2023-06-17
V3 Esports,Sengoku Gaming,1,2,2023-06-17
Crest Gaming Act,Burning Core,2,0,2023-06-16
SoftBank Hawks Gaming,V3 Esports,2,0,2023-06-16
FENNEL,Crest Gaming Act,2,0,2023-06-11
AXIZ,V3 Esports,2,1,2023-06-11
Burning Core,Sengoku Gaming,1,2,2023-06-10
Detonation FocusMe,SoftBank Hawks Gaming,2,1,2023-06-10
