teamA,teamB,scoreA,scoreB,date
Estral Esports,Infinity eSports,1,2,2024-07-24
Leviatan,Movistar R7,1,1,2024-07-23
Infinity eSports,Six Karma,2,0,2024-07-23
Isurus,Estral Esports,1,1,2024-07-23
Six Karma,Isurus,0,2,2024-07-17
Infinity eSports,Movistar R7,1,1,2024-07-17
Leviatan,Estral Esports,0,2,2024-07-17
Infinity eSports,Leviatan,2,0,2024-07-16
Six Karma,Estral Esports,0,2,2024-07-16
Isurus,Movistar R7,0,2,2024-07-16
Leviatan,Isurus,0,2,2024-07-10
Infinity eSports,Estral Esports,1,1,2024-07-10
Six Karma,Movistar R7,0,2,2024-07-10
Movistar R7,Estral Esports,1,1,2024-07-09
Infinity eSports,Isurus,1,1,2024-07-09
Six Karma,Leviatan,1,1,2024-07-09
Six Karma,Infinity eSports,0,2,2024-06-25
Estral Esports,Isurus,0,2,2024-06-25
Movistar R7,Leviatan,1,1,2024-06-25
Infinity eSports,Movistar R7,1,1,2024-06-19
Estral Esports,Leviatan,1,1,2024-06-19
Isurus,Six Karma,2,0,2024-06-19
Estral Esports,Six Karma,2,0,2024-06-18
Isurus,Movistar R7,0,2,2024-06-18
Leviatan,Infinity eSports,2,0,2024-06-18
Infinity eSports,Estral Esports,1,1,2024-06-12
Six Karma,Movistar R7,0,2,2024-06-12
Isurus,Leviatan,2,0,2024-06-12
Leviatan,Six Karma,2,0,2024-06-11
Estral Esports,Movistar R7,1,1,2024-06-11
Isurus,Infinity eSports,1,1,2024-06-11
