teamA,teamB,scoreA,scoreB,date
Team Aze,Movistar R7,0,2,2023-03-08
Estral Esports,Six Karma,2,0,2023-03-08
The Kings,Infinity eSports,2,1,2023-03-07
Isurus,All Knights,2,0,2023-03-07
Movistar R7,Isurus,1,2,2023-03-01
All Knights,Team Aze,2,0,2023-03-01
Estral Esports,The Kings,2,0,2023-02-28
Six Karma,Infinity eSports,2,0,2023-02-28
Infinity eSports,Movistar R7,2,1,2023-02-22
All Knights,The Kings,2,1,2023-02-22
Team Aze,Estral Esports,0,2,2023-02-21
Isurus,Six Karma,2,1,2023-02-21
Infinity eSports,Isurus,0,2,2023-02-15
Movistar R7,Six Karma,2,1,2023-02-15
The Kings,Team Aze,2,0,2023-02-14
Estral Esports,All Knights,0,2,2023-02-14
Isurus,The Kings,2,0,2023-02-08
All Knights,Infinity eSports,0,2,2023-02-08
Movistar R7,Estral Esports,0,2,2023-02-07
Six Karma,Team Aze,2,0,2023-02-07
The Kings,Movistar R7,0,2,2023-02-01
All Knights,Six Karma,1,2,2023-02-01
Team Aze,Isurus,0,2,2023-01-31
Estral Esports,Infinity eSports,2,0,2023-01-31
Six Karma,The Kings,2,0,2023-01-25
Movistar R7,All Knights,2,0,2023-01-25
Isurus,Estral Esports,0,2,2023-01-24
Infinity eSports,Team Aze,2,0,2023-01-24
