teamA,teamB,scoreA,scoreB,date
Bilibili Gaming,Top Esports,3,2,2025-09-21
Anyone s Legend,Top Esports,1,3,2025-09-20
Anyone s Legend,JD Gaming,3,0,2025-09-16
Top Esports,Bilibili Gaming,2,3,2025-09-15
Invictus Gaming,Anyone s Legend,0,3,2025-09-14
JD Gaming,Weibo Gaming,3,1,2025-09-13
Ninjas in Pyjamas,Anyone s Legend,1,3,2025-09-12
Edward Gaming,JD Gaming,2,3,2025-09-11
Top Esports,Weibo Gaming,3,1,2025-09-10
Bilibili Gaming,Invictus Gaming,3,1,2025-09-09
Top Esports,Ninjas in Pyjamas,3,1,2025-09-08
Anyone s Legend,Weibo Gaming,2,3,2025-09-08
Invictus Gaming,Edward Gaming,3,0,2025-09-07
Bilibili Gaming,JD Gaming,3,2,2025-09-07
JD Gaming,LGD Gaming,3,0,2025-09-02
Weibo Gaming,Ultra Prime,3,0,2025-09-01
Team WE,Edward Gaming,1,3,2025-08-31
Funplus Phoenix,Ninjas in Pyjamas,2,3,2025-08-30
