teamA,teamB,scoreA,scoreB,date
Top Esports,LGD Gaming,3,0,2025-02-16
Funplus Phoenix,Invictus Gaming,0,3,2025-02-15
Bilibili Gaming,TT,2,3,2025-02-14
Royal Never Give Up,Ninjas in Pyjamas,0,3,2025-02-13
Ultra Prime,OMG,2,3,2025-02-12
Edward Gaming,LNG Esports,3,0,2025-02-11
Team WE,Anyone s Legend,1,3,2025-02-10
JD Gaming,Weibo Gaming,3,2,2025-02-09
Ninjas in Pyjamas,Funplus Phoenix,3,0,2025-02-08
Invictus Gaming,Royal Never Give Up,3,1,2025-01-25
Bilibili Gaming,LNG Esports,3,0,2025-01-25
Top Esports,Anyone s Legend,1,3,2025-01-24
OMG,JD Gaming,2,3,2025-01-23
LGD Gaming,Team WE,3,0,2025-01-22
Edward Gaming,TT,1,3,2025-01-21
JD Gaming,Ultra Prime,3,0,2025-01-20
Invictus Gaming,Ninjas in Pyjamas,1,3,2025-01-19
Top Esports,Team WE,3,0,2025-01-18
Edward Gaming,Bilibili Gaming,0,3,2025-01-17
LGD Gaming,Anyone s Legend,0,3,2025-01-16
Ultra Prime,Weibo Gaming,1,3,2025-01-15
Royal Never Give Up,Funplus Phoenix,3,1,2025-01-14
LNG Esports,TT,1,3,2025-01-13
Weibo Gaming,OMG,3,0,2025-01-12
