teamA,teamB,scoreA,scoreB,date
Weibo Gaming,Rare Atom,2,1,2023-03-26
Anyone s Legend,TT,0,2,2023-03-26
Team WE,Ninjas in Pyjamas,2,1,2023-03-25
JD Gaming,Ultra Prime,2,0,2023-03-25
Bilibili Gaming,OMG,1,2,2023-03-25
TT,Edward Gaming,0,2,2023-03-24
LNG Esports,LGD Gaming,2,0,2023-03-24
Funplus Phoenix,Top Esports,0,2,2023-03-23
Rare Atom,Royal Never Give Up,1,2,2023-03-23
Invictus Gaming,Bilibili Gaming,0,2,2023-03-22
LNG Esports,Ultra Prime,2,1,2023-03-22
Team WE,Weibo Gaming,1,2,2023-03-21
OMG,Top Esports,2,1,2023-03-21
JD Gaming,LGD Gaming,2,0,2023-03-20
Ninjas in Pyjamas,Royal Never Give Up,2,0,2023-03-20
LNG Esports,Invictus Gaming,2,1,2023-03-19
Funplus Phoenix,Edward Gaming,2,1,2023-03-19
Top Esports,Bilibili Gaming,0,2,2023-03-18
Rare Atom,JD Gaming,0,2,2023-03-18
Weibo Gaming,Ninjas in Pyjamas,2,0,2023-03-18
Edward Gaming,OMG,2,1,2023-03-17
Anyone s Legend,Funplus Phoenix,2,0,2023-03-17
Royal Never Give Up,Ultra Prime,2,0,2023-03-16
Team WE,LGD Gaming,2,1,2023-03-16
Anyone s Legend,LNG Esports,1,2,2023-03-15
TT,Top Esports,2,1,2023-03-15
Ninjas in Pyjamas,Invictus Gaming,2,1,2023-03-14
Rare Atom,Ultra Prime,2,0,2023-03-14
Bilibili Gaming,TT,2,0,2023-03-13
Weibo Gaming,OMG,2,0,2023-03-13
LNG Esports,JD Gaming,1,2,2023-03-12
Funplus Phoenix,Rare Atom,2,0,2023-03-12
Anyone s Legend,Edward Gaming,0,2,2023-03-12
Weibo Gaming,Royal Never Give Up,1,2,2023-03-11
Top Esports,LGD Gaming,0,2,2023-03-11
Invictus Gaming,Team WE,0,2,2023-03-11
Funplus Phoenix,OMG,1,2,2023-03-10
Ninjas in Pyjamas,Bilibili Gaming,0,2,2023-03-10
JD Gaming,TT,2,0,2023-03-09
Edward Gaming,LGD Gaming,2,1,2023-03-09
Ultra Prime,Team WE,0,2,2023-03-08
OMG,Anyone s Legend,2,1,2023-03-08
Top Esports,LNG Esports,0,2,2023-03-07
Edward Gaming,Weibo Gaming,2,1,2023-03-07
Royal Never Give Up,Bilibili Gaming,1,2,2023-03-06
TT,Rare Atom,2,0,2023-03-06
Ninjas in Pyjamas,Funplus Phoenix,0,2,2023-03-05
JD Gaming,OMG,1,2,2023-03-05
Invictus Gaming,Ultra Prime,2,0,2023-03-05
Edward Gaming,LNG Esports,2,0,2023-03-04
Top Esports,Royal Never Give Up,2,0,2023-03-04
Weibo Gaming,Anyone s Legend,2,0,2023-03-04
Bilibili Gaming,LGD Gaming,1,2,2023-03-03
Rare Atom,Invictus Gaming,0,2,2023-03-03
JD Gaming,Team WE,2,0,2023-03-02
Funplus Phoenix,TT,1,2,2023-03-02
Weibo Gaming,LGD Gaming,2,0,2023-03-01
OMG,Ninjas in Pyjamas,2,1,2023-03-01
Top Esports,Team WE,2,0,2023-02-28
Royal Never Give Up,Anyone s Legend,1,2,2023-02-28
Ultra Prime,Bilibili Gaming,0,2,2023-02-27
Edward Gaming,Rare Atom,2,1,2023-02-27
Weibo Gaming,LNG Esports,0,2,2023-02-26
OMG,Invictus Gaming,2,0,2023-02-26
Funplus Phoenix,LGD Gaming,1,2,2023-02-26
JD Gaming,Top Esports,2,0,2023-02-25
Ultra Prime,Edward Gaming,0,2,2023-02-25
