teamA,teamB,scoreA,scoreB,date
Bilibili Gaming,Top Esports,3,1,2024-04-20
Top Esports,JD Gaming,3,1,2024-04-14
Bilibili Gaming,Top Esports,3,2,2024-04-11
JD Gaming,Ninjas in Pyjamas,3,2,2024-04-10
Top Esports,JD Gaming,3,0,2024-04-07
Bilibili Gaming,Ninjas in Pyjamas,3,1,2024-04-06
Weibo Gaming,JD Gaming,0,3,2024-04-05
Ninjas in Pyjamas,Funplus Phoenix,3,1,2024-04-04
LNG Esports,Weibo Gaming,2,3,2024-04-03
Ninjas in Pyjamas,Team WE,3,2,2024-04-02
Weibo Gaming,Invictus Gaming,3,2,2024-04-01
OMG,Team WE,1,3,2024-03-31
