teamA,teamB,scoreA,scoreB,date
JD Gaming,LNG Esports,3,2,2023-08-05
LNG Esports,Bilibili Gaming,3,1,2023-08-01
JD Gaming,Bilibili Gaming,3,0,2023-07-30
Top Esports,LNG Esports,1,3,2023-07-29
JD Gaming,LNG Esports,3,2,2023-07-27
Bilibili Gaming,Top Esports,3,1,2023-07-26
LNG Esports,Weibo Gaming,3,2,2023-07-25
Top Esports,Edward Gaming,3,2,2023-07-24
Weibo Gaming,Ninjas in Pyjamas,3,1,2023-07-23
OMG,Edward Gaming,2,3,2023-07-22
Royal Never Give Up,Ninjas in Pyjamas,1,3,2023-07-21
Edward Gaming,Team WE,3,1,2023-07-20
