teamA,teamB,scoreA,scoreB,date
JD Gaming,Top Esports,0,2,2024-07-31
Funplus Phoenix,Bilibili Gaming,0,2,2024-07-31
Bilibili Gaming,Anyone s Legend,2,1,2024-07-30
Ninjas in Pyjamas,LGD Gaming,1,2,2024-07-30
OMG,Rare Atom,2,0,2024-07-29
Royal Never Give Up,TT,0,2,2024-07-29
Funplus Phoenix,Weibo Gaming,0,2,2024-07-28
Anyone s Legend,LNG Esports,1,2,2024-07-28
Invictus Gaming,Team WE,2,0,2024-07-28
Funplus Phoenix,Top Esports,0,2,2024-07-27
Edward Gaming,Ultra Prime,2,0,2024-07-27
LGD Gaming,LNG Esports,1,2,2024-07-27
Bilibili Gaming,Ninjas in Pyjamas,2,1,2024-07-26
Anyone s Legend,Top Esports,0,2,2024-07-26
OMG,TT,0,2,2024-07-26
Weibo Gaming,LGD Gaming,2,0,2024-07-25
Invictus Gaming,Royal Never Give Up,2,1,2024-07-25
Rare Atom,Team WE,2,1,2024-07-25
LNG Esports,JD Gaming,2,1,2024-07-24
Ultra Prime,OMG,1,2,2024-07-24
Top Esports,Ninjas in Pyjamas,2,0,2024-07-23
Weibo Gaming,Bilibili Gaming,1,2,2024-07-23
TT,Edward Gaming,1,2,2024-07-22
Rare Atom,Royal Never Give Up,2,0,2024-07-22
LNG Esports,Funplus Phoenix,0,2,2024-07-21
Team WE,Ultra Prime,0,2,2024-07-21
JD Gaming,Bilibili Gaming,1,2,2024-07-20
Top Esports,LGD Gaming,2,0,2024-07-20
Team WE,OMG,0,2,2024-07-20
Ninjas in Pyjamas,JD Gaming,0,2,2024-07-19
LGD Gaming,Funplus Phoenix,1,2,2024-07-19
Invictus Gaming,Edward Gaming,2,0,2024-07-19
Bilibili Gaming,LNG Esports,1,2,2024-07-18
Weibo Gaming,Anyone s Legend,2,0,2024-07-18
Royal Never Give Up,Ultra Prime,2,1,2024-07-18
Top Esports,Weibo Gaming,2,0,2024-07-17
Team WE,TT,0,2,2024-07-17
Funplus Phoenix,Ninjas in Pyjamas,2,1,2024-07-16
Rare Atom,Edward Gaming,2,1,2024-07-16
Bilibili Gaming,LGD Gaming,2,0,2024-07-15
Invictus Gaming,OMG,1,2,2024-07-15
LNG Esports,Top Esports,2,0,2024-07-14
Anyone s Legend,JD Gaming,1,2,2024-07-14
Ultra Prime,TT,0,2,2024-07-14
Weibo Gaming,Ninjas in Pyjamas,2,0,2024-07-13
Team WE,Royal Never Give Up,2,0,2024-07-13
Rare Atom,Invictus Gaming,2,0,2024-07-13
Top Esports,Bilibili Gaming,1,2,2024-07-12
Edward Gaming,OMG,1,2,2024-07-12
LGD Gaming,JD Gaming,0,2,2024-07-12
Ninjas in Pyjamas,Anyone s Legend,0,2,2024-07-11
Ultra Prime,Rare Atom,2,0,2024-07-11
LNG Esports,Weibo Gaming,2,1,2024-07-10
TT,Invictus Gaming,2,0,2024-07-10
JD Gaming,Funplus Phoenix,2,1,2024-07-09
OMG,Royal Never Give Up,2,0,2024-07-09
LGD Gaming,Anyone s Legend,0,2,2024-07-08
Edward Gaming,Team WE,0,2,2024-07-08
Ninjas in Pyjamas,LNG Esports,0,2,2024-07-07
Ultra Prime,Invictus Gaming,0,2,2024-07-07
JD Gaming,Weibo Gaming,0,2,2024-07-06
TT,Rare Atom,0,2,2024-07-06
Anyone s Legend,Funplus Phoenix,2,0,2024-07-05
Edward Gaming,Royal Never Give Up,2,1,2024-07-05
