teamA,teamB,scoreA,scoreB,date
Leviatan,RED Canids,0,2,2025-05-18
LOUD,Vivo Keyd Stars,1,2,2025-05-18
Fluxo,Isurus,0,2,2025-05-17
paiN Gaming,FURIA,2,1,2025-05-17
LOUD,RED Canids,2,1,2025-05-11
FURIA,Fluxo,1,2,2025-05-11
Leviatan,Vivo Keyd Stars,0,2,2025-05-10
Isurus,paiN Gaming,1,2,2025-05-10
Leviatan,Isurus,1,2,2025-05-04
paiN Gaming,Vivo Keyd Stars,2,1,2025-05-04
FURIA,RED Canids,2,0,2025-05-03
Fluxo,LOUD,0,2,2025-05-03
FURIA,LOUD,2,1,2025-04-27
Fluxo,RED Canids,0,2,2025-04-27
Vivo Keyd Stars,Isurus,2,0,2025-04-26
paiN Gaming,Leviatan,2,0,2025-04-26
Isurus,Leviatan,0,1,2025-04-21
LOUD,FURIA,1,0,2025-04-21
paiN Gaming,Vivo Keyd Stars,1,0,2025-04-21
RED Canids,Fluxo,1,0,2025-04-21
Vivo Keyd Stars,FURIA,0,1,2025-04-20
Isurus,RED Canids,1,0,2025-04-20
Fluxo,LOUD,0,1,2025-04-20
paiN Gaming,Leviatan,1,0,2025-04-20
Isurus,LOUD,0,1,2025-04-19
Leviatan,Vivo Keyd Stars,1,0,2025-04-19
Fluxo,paiN Gaming,0,1,2025-04-19
RED Canids,FURIA,0,1,2025-04-19
Fluxo,FURIA,0,1,2025-04-13
RED Canids,paiN Gaming,0,1,2025-04-13
Vivo Keyd Stars,Isurus,1,0,2025-04-13
Leviatan,LOUD,0,1,2025-04-13
FURIA,paiN Gaming,1,0,2025-04-12
Leviatan,RED Canids,0,1,2025-04-12
Isurus,Fluxo,0,1,2025-04-12
LOUD,Vivo Keyd Stars,0,1,2025-04-12
LOUD,paiN Gaming,0,1,2025-04-06
Leviatan,Fluxo,1,0,2025-04-06
Vivo Keyd Stars,RED Canids,1,0,2025-04-06
FURIA,Isurus,1,0,2025-04-06
LOUD,RED Canids,0,1,2025-04-05
Vivo Keyd Stars,Fluxo,1,0,2025-04-05
FURIA,Leviatan,0,1,2025-04-05
Isurus,paiN Gaming,0,1,2025-04-05
