teamA,teamB,scoreA,scoreB,date
PSG Talon,CTBC Flying Oyster,2,1,2024-03-03
Beyond Gaming,Frank Esports,2,1,2024-03-03
HELL PIGS,Deep Cross Gaming,0,2,2024-03-02
J Team,West Point Esports,2,0,2024-03-02
Beyond Gaming,PSG Talon,1,2,2024-03-01
Frank Esports,CTBC Flying Oyster,0,2,2024-03-01
West Point Esports,HELL PIGS,0,2,2024-02-25
J Team,Deep Cross Gaming,0,2,2024-02-25
Frank Esports,PSG Talon,0,2,2024-02-24
CTBC Flying Oyster,Beyond Gaming,2,0,2024-02-24
J Team,HELL PIGS,2,0,2024-02-23
West Point Esports,Deep Cross Gaming,0,2,2024-02-23
PSG Talon,Deep Cross Gaming,1,2,2024-02-18
Frank Esports,CTBC Flying Oyster,1,2,2024-02-18
West Point Esports,HELL PIGS,1,2,2024-02-17
Beyond Gaming,J Team,2,0,2024-02-17
CTBC Flying Oyster,PSG Talon,2,0,2024-02-16
Deep Cross Gaming,Frank Esports,0,2,2024-02-16
HELL PIGS,Beyond Gaming,1,2,2024-02-15
J Team,West Point Esports,2,1,2024-02-15
J Team,Deep Cross Gaming,2,1,2024-02-04
CTBC Flying Oyster,HELL PIGS,2,0,2024-02-04
PSG Talon,Beyond Gaming,2,0,2024-02-03
Frank Esports,West Point Esports,2,0,2024-02-03
CTBC Flying Oyster,J Team,2,0,2024-02-02
HELL PIGS,Deep Cross Gaming,0,2,2024-02-02
PSG Talon,West Point Esports,2,0,2024-02-01
Frank Esports,Beyond Gaming,2,1,2024-02-01
HELL PIGS,J Team,0,2,2024-01-27
Frank Esports,PSG Talon,2,1,2024-01-27
Beyond Gaming,Deep Cross Gaming,2,1,2024-01-26
CTBC Flying Oyster,West Point Esports,2,0,2024-01-26
Frank Esports,HELL PIGS,2,0,2024-01-25
PSG Talon,J Team,2,0,2024-01-25
CTBC Flying Oyster,Deep Cross Gaming,2,0,2024-01-21
Beyond Gaming,West Point Esports,2,0,2024-01-21
PSG Talon,HELL PIGS,2,0,2024-01-20
Frank Esports,J Team,2,0,2024-01-20
West Point Esports,Deep Cross Gaming,0,2,2024-01-19
Beyond Gaming,CTBC Flying Oyster,2,1,2024-01-19
