teamA,teamB,scoreA,scoreB,date
PSG Talon,SoftBank Hawks Gaming,3,0,2024-04-07
CTBC Flying Oyster,SoftBank Hawks Gaming,0,3,2024-04-06
SoftBank Hawks Gaming,Frank Esports,3,2,2024-03-31
CTBC Flying Oyster,PSG Talon,0,3,2024-03-30
SoftBank Hawks Gaming,Deep Cross Gaming,3,2,2024-03-28
Frank Esports,Beyond Gaming,3,1,2024-03-27
SoftBank Hawks Gaming,PSG Talon,2,3,2024-03-24
CTBC Flying Oyster,Frank Esports,3,0,2024-03-23
Frank Esports,Deep Cross Gaming,3,0,2024-03-21
PSG Talon,Beyond Gaming,3,1,2024-03-20
Detonation FocusMe,Deep Cross Gaming,2,3,2024-03-17
Detonation FocusMe,J Team,2,1,2024-03-16
Deep Cross Gaming,Ground Zero Gaming,2,0,2024-03-16
Antic Esports,J Team,0,2,2024-03-14
Detonation FocusMe,Frank Esports,1,2,2024-03-14
V3 Esports,Ground Zero Gaming,0,2,2024-03-13
Beyond Gaming,Deep Cross Gaming,2,0,2024-03-13
Frank Esports,Antic Esports,2,0,2024-03-12
Detonation FocusMe,J Team,2,0,2024-03-12
Ground Zero Gaming,Deep Cross Gaming,0,2,2024-03-11
Beyond Gaming,V3 Esports,2,0,2024-03-11
