teamA,teamB,scoreA,scoreB,date
CTBC Flying Oyster,PSG Talon,0,2,2024-07-28
Frank Esports,J Team,2,0,2024-07-28
CTBC Flying Oyster,Deep Cross Gaming,2,1,2024-07-27
West Point Esports,HELL PIGS,0,2,2024-07-27
PSG Talon,Deep Cross Gaming,1,2,2024-07-26
Frank Esports,HELL PIGS,2,0,2024-07-26
PSG Talon,Deep Cross Gaming,2,0,2024-07-21
J Team,West Point Esports,2,0,2024-07-21
Deep Cross Gaming,CTBC Flying Oyster,2,0,2024-07-20
J Team,HELL PIGS,2,0,2024-07-20
PSG Talon,CTBC Flying Oyster,2,0,2024-07-19
Frank Esports,West Point Esports,2,0,2024-07-19
HELL PIGS,PSG Talon,0,2,2024-07-14
Frank Esports,Deep Cross Gaming,1,2,2024-07-14
J Team,CTBC Flying Oyster,0,2,2024-07-13
HELL PIGS,West Point Esports,0,2,2024-07-13
CTBC Flying Oyster,PSG Talon,0,2,2024-07-12
J Team,West Point Esports,0,2,2024-07-12
PSG Talon,Frank Esports,2,1,2024-06-30
CTBC Flying Oyster,West Point Esports,2,0,2024-06-30
J Team,Deep Cross Gaming,0,2,2024-06-29
Frank Esports,HELL PIGS,2,0,2024-06-29
PSG Talon,Deep Cross Gaming,2,0,2024-06-23
J Team,Frank Esports,1,2,2024-06-23
HELL PIGS,CTBC Flying Oyster,0,2,2024-06-22
Deep Cross Gaming,West Point Esports,2,0,2024-06-22
J Team,PSG Talon,0,2,2024-06-16
Frank Esports,CTBC Flying Oyster,1,2,2024-06-16
HELL PIGS,Deep Cross Gaming,0,2,2024-06-15
PSG Talon,West Point Esports,2,0,2024-06-15
Deep Cross Gaming,CTBC Flying Oyster,0,2,2024-06-08
West Point Esports,Frank Esports,0,2,2024-06-08
J Team,HELL PIGS,2,0,2024-06-08
