teamA,teamB,scoreA,scoreB,date
PSG Talon,CTBC Flying Oyster,3,2,2023-09-09
Beyond Gaming,CTBC Flying Oyster,2,3,2023-08-27
CTBC Flying Oyster,Frank Esports,3,2,2023-08-26
PSG Talon,Beyond Gaming,3,2,2023-08-25
J Team,Frank Esports,0,3,2023-08-20
Deep Cross Gaming,CTBC Flying Oyster,1,3,2023-08-19
Chief Esports Club,Frank Esports,1,3,2023-08-18
Team Bliss,CTBC Flying Oyster,0,3,2023-08-17
PSG Talon,Deep Cross Gaming,3,0,2023-08-14
J Team,Beyond Gaming,0,3,2023-08-13
Deep Cross Gaming,Chief Esports Club,3,1,2023-08-12
Beyond Gaming,Team Bliss,3,0,2023-08-11
